n,hit,dist,nabla,sigma,hv
1637,85,985.68669029,125768705.628,987116.372834,92689450.9533
1806,88,839.05936868,154853386.422,982013.752131,92652731.6423
1861,85,857.048300077,154853386.422,1017267.88838,92669168.394
1591,91,165.275938578,125768705.628,984182.469381,92725192.3726
1703,86,1009.4966521,154843519.455,993054.747423,92681437.968
1496,79,658.896065589,125754344.977,1056463.26874,92344601.2404
1666,85,844.904119637,154853386.422,1008245.40115,92663657.2378
1673,83,956.926779024,154853386.422,1009229.82474,92625175.0114
1647,82,945.163896019,154853386.422,1020400.80155,92714029.6388
1854,90,387.584821832,154853386.422,996752.554132,92703005.7535
707,33,5347.88628277,152158261.588,1351676.44505,92352219.3087
1583,86,910.73243263,154853386.422,1004779.63264,92648415.4527
1538,78,1799.50118603,123236332.548,1027704.39941,92577849.396
1504,83,948.326395567,154853386.422,1014919.40532,92651192.414
1703,86,406.23462657,154843519.455,999456.77883,92709905.1738
1736,79,883.985408485,154853386.422,1040627.68343,92652467.4761
1762,89,347.210762579,125768705.628,991595.885552,92719523.0334
1615,86,1016.12335469,154853386.422,990429.521398,92665740.5391
1721,88,780.391915627,125768705.628,998777.63913,92684628.1605
855,38,5904.3321572,144195537.295,1263523.36707,92529410.7932
1777,84,190.232779514,154853386.422,1020555.1845,92717730.1432
1722,75,1332.8117314,154853386.422,1062643.33772,92676038.2823
1846,84,1397.47427354,154853386.422,998006.074944,92658776.711
1805,82,625.337354718,154853386.422,1032957.69373,92661262.3757
1611,89,405.611236094,154853386.422,992749.347193,92711435.759
1704,81,1386.0046816,125754344.977,1019914.92872,92632453.6595
1705,89,140.908503712,125768705.628,990616.973508,92719368.6147
1654,87,694.803659718,154853386.422,1000675.7359,92676511.2874
1742,88,469.127272872,154833482.229,998211.328457,92721145.6573
1734,86,184.867442041,154853386.422,1009842.02226,92716980.4105
1543,84,548.990620982,154853386.422,1014509.53539,92663700.3511
1596,82,238.635924378,123907690.884,1036718.86087,92705202.9047
1614,85,977.011446909,154853386.422,1009331.42111,92652891.3131
1572,81,1152.33255786,125768705.628,1020813.07414,92651213.243
1731,78,2316.00711659,154843519.455,1025799.11721,92635187.3833
1729,84,649.523148656,154853386.422,1012826.6308,92694240.1226
1766,79,830.834163922,154853386.422,1049489.33052,92670189.9379
1653,83,1268.53149964,125768705.628,1018656.08532,92629529.9267
1795,85,699.637419131,154853386.422,1006292.28234,92643581.2284
1565,83,990.056211024,154843519.455,1021183.38057,92649375.1095
1723,84,1293.86105294,125768705.628,1007082.40553,92632011.9211
1630,83,813.508126047,125768705.628,1016342.18929,92654331.8481
562,33,5676.29061827,126028147.257,1410526.34105,92290882.4038
1674,74,2018.25189219,125754344.977,1051889.37957,92607455.1373
1359,71,1262.12568489,126159438.746,1071142.46209,92489609.8708
1708,85,278.758295639,154853386.422,1027288.11519,92712748.3901
1642,86,1157.65473256,154853386.422,991698.013154,92670196.8575
1798,87,728.221219996,125754344.977,994921.608828,92708899.2725
813,35,4026.69444542,143479929.175,1448345.99059,92544686.1636
1600,83,382.97142887,125754344.977,1021605.38705,92721053.9215
1710,89,627.76222727,154853386.422,994830.723609,92671229.196
1685,84,578.581428974,125768705.628,1010860.6733,92680787.4129
1528,83,1698.97775666,154853386.422,995863.360231,92621293.1915
936,42,2310.56693094,125768705.628,1329023.59609,92545371.0979
1730,83,797.355660709,143496771.37,1006482.65377,92709889.9059
1618,85,1084.8461791,154853386.422,996507.389658,92661073.3448
1657,83,842.748240469,154853386.422,1023856.62429,92651871.2904
1554,90,173.193693828,154853386.422,995005.311712,92720065.8478
1713,86,192.703726733,125768705.628,1007346.53865,92721007.7024
736,34,4791.00436286,114905939.153,1435007.35215,91887768.6986
1654,85,839.167805756,143496771.37,1004745.48411,92681239.0085
1698,85,594.390702824,154853386.422,1018929.69214,92682198.9028
1696,79,1538.18694068,125752472.28,1019840.50134,92660873.0011
1764,91,174.986815428,154853386.422,981712.893133,92722554.0936
1444,77,972.661766578,126829141.06,1037860.10499,92681884.6667
1725,89,204.272727407,154843519.455,998305.215735,92722149.7427
1628,81,918.841990052,125754344.977,1029918.65064,92631857.8013
1671,90,71.7325868004,154853386.422,992595.073332,92714804.203
808,39,6568.95114174,154019798.975,1341186.66469,92171212.7209
1710,92,30.5977779742,125768705.628,987351.971343,92722976.2422
1612,80,935.277801216,154853386.422,1028946.82331,92663006.5167
1765,85,968.79454455,143496771.37,1013273.58334,92661047.1353
1813,84,364.687800706,154853386.422,1014561.74072,92699293.4352
1759,85,1094.3253022,143496771.37,981905.463099,92682361.9552
1705,80,601.068632954,143496771.37,1044219.28977,92651520.5817
1606,79,1945.31382554,125754344.977,1022986.96652,92626055.4288
1700,82,306.212565797,154853386.422,1029095.06153,92712925.5034
1756,84,1230.3189353,154853386.422,1006877.36217,92626345.1274
1765,78,1687.82508993,125754344.977,1025785.91803,92618986.072
1696,91,363.400031606,154853386.422,981813.99478,92695617.5115
1629,79,787.890784198,125754344.977,1032768.84766,92675813.2019
1686,87,535.488688178,154853386.422,1002937.32073,92680014.6892
1775,88,190.397260411,154853386.422,1001950.17253,92718440.6279
1723,83,1354.28011793,125768705.628,1015141.61832,92655625.5596
1657,88,438.509133866,154843519.455,1001845.25777,92717228.5133
1859,85,319.647198104,154853386.422,1012243.92535,92643815.9687
1747,87,449.000000176,154853386.422,996458.343867,92707739.8955
1620,80,826.056126099,154823615.858,1055343.14324,92637331.6967
1562,80,837.219282649,154853386.422,1035497.68395,92644352.6564
1702,82,1469.4403105,125754344.977,1021298.75849,92619251.6572
1567,85,1710.27416408,125768705.628,992898.364431,92675957.8814
1559,77,905.67079925,154853386.422,1041652.24781,92650470.6736
415,15,18199.9605461,143496771.37,1773625.2815,91481939.117
1406,75,931.913270972,154853386.422,1065678.29376,92633868.7791
