n,hit,dist,nabla,sigma,hv
837,48,2486.7750404,146760851.487,1269912.03977,92431767.0904
864,43,4470.39793266,154843519.455,1237122.38992,92558300.1893
778,38,4944.29134366,146448764.304,1328982.29906,92365508.4826
802,40,4205.82658355,142164862.261,1291128.54403,92516086.7663
820,32,5117.01755598,138686358.665,1415388.41291,92139697.6795
841,37,9196.64128605,125752472.28,1310598.9627,92317634.6251
811,38,5359.2713261,154833482.229,1323615.74508,92472661.0097
731,48,2382.41259357,133752119.363,1272718.18448,92273960.0966
870,41,5709.10881236,125768705.628,1253122.5671,92431613.0637
779,37,6143.66400248,154843519.455,1349362.57341,92426702.936
848,40,7100.85878012,142346075.021,1333299.2984,92448118.05
898,46,3216.51661486,137317277.859,1293515.53944,92566565.1924
814,46,3576.37103456,153679636.402,1261562.0762,92599334.2547
775,34,6740.62858553,142673959.683,1433124.16759,92137046.7676
852,40,6038.82643613,154853386.422,1282930.22479,92393304.7189
900,48,3805.43926957,146388845.442,1173884.0351,92335760.8945
882,32,7152.29603139,125754344.977,1420371.41225,92424668.381
713,32,8494.97038187,154733615.08,1385162.99384,92366633.4322
865,43,7274.31818405,154853386.422,1312344.35672,92618948.1046
922,45,2809.89552534,146760851.487,1285244.89085,92628721.6471
864,42,5452.66049612,125768705.628,1291060.49252,92418991.7074
806,36,5590.61230541,123392285.456,1357474.51275,92473362.6875
870,44,3514.86382608,124600928.647,1282162.90231,92484353.3372
815,40,4579.519244,154853386.422,1329481.55541,92295914.4642
844,48,2625.06462653,154843519.455,1231517.1912,92533800.7522
804,38,5048.0235371,125752472.28,1359243.86883,92151365.4891
838,44,3116.74198582,154853386.422,1294639.62802,92116980.6354
825,36,5429.879554,143479929.175,1347914.95765,92231477.7997
831,47,3480.54795658,154843519.455,1296632.38205,92318336.4933
795,34,4711.28829103,154853386.422,1438218.34855,92568188.3562
838,43,7625.60889048,154853386.422,1253030.69728,92331009.2181
855,38,6042.04833331,132439281.773,1292164.29836,92493827.6099
304,6,17993.496317,137345293.81,1864818.44368,91568987.7776
840,38,7056.09129325,154853386.422,1266341.10947,92428110.918
823,42,4512.28226804,123665600.213,1378234.09969,92493997.2565
791,40,4764.79311202,140967259.345,1304940.37671,92428153.4742
789,45,2994.35039123,154853386.422,1288928.91071,92421762.7581
753,39,7304.46667674,143479929.175,1440957.20667,92302499.9908
856,42,4360.32738006,124600928.647,1274578.59715,92496184.4215
813,40,6891.42968974,122089769.335,1312349.90013,92410931.8006
852,39,3587.44016789,138686358.665,1386232.823,92203227.8871
806,37,5647.39087482,132509854.616,1311392.99322,92200155.4427
745,40,5046.84804772,125768705.628,1367724.3004,92489216.2116
825,44,3609.27958065,153418425.855,1265331.24079,92439305.2613
797,44,5936.46207358,125752472.28,1286520.33685,92482304.103
785,36,4668.24583699,154843519.455,1390254.71032,92500938.6656
879,46,6006.14583737,125752472.28,1266120.39331,92538925.4567
613,33,5562.90086487,117275564.509,1363312.24887,92179996.9808
780,37,5008.67602175,154853386.422,1343195.17304,92499432.4229
800,42,7667.54580616,154853386.422,1234415.86406,92443784.7669
773,40,6514.97758654,153349056.855,1307979.99131,92095343.8264
884,39,5577.10902654,137005012.266,1302684.22698,92493101.7994
825,37,5658.42412846,143479929.175,1339005.30476,92334575.8668
862,48,3164.04395592,143496771.37,1224364.43334,92500064.6625
882,46,6550.08387662,154853386.422,1197096.62152,92555543.5431
410,15,17391.838932,125752472.28,1798641.13491,92020010.2588
877,49,3633.19420861,143496771.37,1221490.48273,92043428.3281
836,50,4080.74218858,136985931.942,1190367.64928,92394629.035
813,45,5143.2951291,125754344.977,1210393.16174,92338564.7329
872,48,4995.89267982,154853386.422,1173876.22263,92436996.9747
895,43,5812.39611622,154853386.422,1318644.05732,92648589.2785
816,50,3692.9637477,132509854.616,1229136.48447,92508941.4166
894,41,3925.35768194,125768705.628,1294478.39863,92446612.373
840,34,7498.48299076,153969270.796,1319695.85914,92274861.626
819,43,5809.74293896,138686358.665,1260199.95045,92454594.0302
907,45,4533.26849747,133752119.363,1235127.45859,92309381.6349
862,44,3146.37920634,154853386.422,1294359.96057,92370891.7379
640,27,9973.42566144,153418425.855,1400666.65065,91821927.7365
848,46,9485.23347233,133752119.363,1216156.72872,92440494.6339
706,31,7335.43173661,145551860.234,1449489.02767,92110366.8355
830,39,6263.52161467,154843519.455,1283193.7137,92423775.682
766,32,8484.04783529,125738112.516,1441440.22307,92296788.9138
801,35,9016.24292063,154853386.422,1420477.52317,92143519.117
838,43,6420.87590246,154853386.422,1296242.74517,92138089.0598
880,48,3057.010714,125752472.28,1263126.4553,92604565.3811
878,45,4987.91729473,154833482.229,1302233.98655,92522353.0073
926,40,4932.74615719,142327696.499,1335399.9508,92387890.8433
846,36,7435.27133562,154853386.422,1324874.02763,92424431.066
882,50,2194.09825721,114816706.685,1240346.60824,92483407.8991
725,36,5891.46639445,153408601.701,1392844.90705,92389431.9993
753,43,7889.94642972,154853386.422,1322348.64503,91985097.818
847,44,2896.32632161,132458234.535,1262004.80528,92481840.9293
868,36,5872.50910516,125768705.628,1284706.07871,92541790.8151
824,41,2914.51600217,138658221.149,1339931.72707,92412405.7907
879,38,5881.85825711,146760851.487,1318545.29034,92472592.3171
841,39,5079.15854037,131615713.16,1332061.28877,92601644.2793
825,34,5352.11160113,133715841.711,1386088.25065,92349614.8499
802,41,5011.8494315,154843519.455,1319941.33805,92531264.702
893,43,5384.76703361,144828068.794,1220626.78056,92330827.8715
794,31,7373.130447,115105976.181,1474188.48163,91537207.207
870,38,4166.2364338,133532631.449,1252787.84829,92217939.8433
852,50,3424.67121916,125768705.628,1240240.7725,92641218.9066
835,38,4861.33949491,117221615.23,1278931.81127,92501628.6082
899,46,4618.32790772,126829141.06,1216003.08539,92512120.2964
759,39,5213.27049387,124586631.69,1365530.87625,92584316.3739
812,49,2495.30450082,138686358.665,1259532.39218,92167495.3271
750,37,7072.80773558,126159438.746,1304739.67216,92357212.3823
799,41,9203.71529831,136934603.215,1231565.57499,92389630.5925
837,41,6743.72290535,143478281.576,1315761.56162,92349747.8422
