n,hit,dist,nabla,sigma,hv
668,31,6647.43627142,136881218.031,1367535.63811,92311944.3909
1152,61,4162.29477197,138686358.665,1082088.33281,92558119.3254
1074,48,4560.2706683,154843519.455,1200507.01193,92477580.5992
1089,71,2724.12152434,154019798.975,1068526.06531,92660097.2432
1099,53,3355.71475586,154853386.422,1175082.76457,92623011.9865
1234,66,2296.32629278,154843519.455,1092368.07296,92604891.5838
1145,56,3777.60956045,154853386.422,1108440.16853,92659089.1684
1134,59,3341.75071695,143496771.37,1099264.2268,92571896.215
1075,57,2122.14852635,125754344.977,1197988.09589,92196279.157
1192,64,3180.96760461,125768705.628,1113036.30586,92586009.6752
1083,59,3192.22753673,125768705.628,1120513.91189,92624079.1217
1082,64,1225.23894922,125768705.628,1140535.05306,92678652.1584
1230,61,2104.53511903,125768705.628,1154726.69869,92528586.309
1075,52,3024.69635558,154853386.422,1169339.92758,92618277.4941
1032,47,4255.42144805,138219494.652,1264696.55099,92129146.8657
1070,63,1644.00000694,154853386.422,1119713.46051,92702211.7206
1139,59,1549.47200699,125768705.628,1151640.83587,92568225.1986
1176,51,2666.6184983,125754344.977,1189100.73149,92239614.9498
717,31,6113.65290341,154843519.455,1383090.29413,92489037.1537
1053,58,2651.54355758,154853386.422,1154895.66652,92552412.5937
1160,64,2105.85003499,125768705.628,1115616.20692,92578671.9516
919,53,1335.12892042,154853386.422,1274155.15785,92541861.3882
1151,61,1828.40118485,138686358.665,1151248.29413,92630081.6761
1024,48,2697.1373271,154853386.422,1257072.21903,92577381.164
1120,61,2354.60175738,125768705.628,1133054.16602,92510655.2902
1188,66,974.209635854,153358879.228,1125687.73391,92566821.7431
1159,53,4547.62538785,125752472.28,1155547.80514,92618355.0371
1091,57,3943.5596634,125768705.628,1149502.07557,92526986.2857
1152,65,1965.41874495,153418425.855,1108677.87425,92611276.2072
1122,50,2417.31960817,154833482.229,1259481.22021,92521227.291
1052,57,3055.79293511,123220392.077,1154457.39888,92464251.6038
521,19,8593.24445907,153584491.252,1610005.817,91903281.3763
1044,54,3323.35241521,154853386.422,1201233.20917,92244963.4676
1122,55,2767.56003054,154843519.455,1175795.56183,92590756.7103
1059,51,3310.28981861,154843519.455,1193431.94349,92599918.2559
1091,63,2415.68047235,125768705.628,1118858.16283,92486123.8995
1126,54,3001.66993479,143496771.37,1219609.74476,92596006.0158
360,7,15735.7322877,134758247.877,1985896.51106,91377372.4695
1024,57,2589.16408948,125754344.977,1168140.51806,92572227.8051
1025,61,3669.43614548,123236332.548,1119587.62185,92547087.2478
1047,60,2253.06767267,153418425.855,1129009.62113,92528006.4602
1157,58,3513.95954918,154853386.422,1135429.23959,92564877.0317
1142,65,2179.92801363,143479929.175,1119568.97109,92521651.1483
1040,54,4681.65499006,125754344.977,1142034.62351,92464147.8456
1118,64,3083.62966621,133752119.363,1090825.51637,92477151.9642
1085,55,5997.87661127,125754344.977,1179358.3984,92630494.235
1031,47,1877.70943514,154843519.455,1303603.77303,92603169.115
1145,63,2095.87749398,154843519.455,1128589.78052,92631934.6316
1135,62,1673.54110353,143479929.175,1126748.73121,92509007.1885
1100,60,1135.1743123,154843519.455,1175513.38932,92630544.869
1084,61,2239.88921279,125768705.628,1126935.67933,92604513.0952
1075,49,5584.755372,152332655.96,1201619.60862,92395936.6776
1191,62,2848.7896846,125768705.628,1111520.72725,92532522.8487
1045,46,3587.73498715,145390156.724,1245413.15249,92573662.2804
1156,55,4930.50452645,127105283.471,1148704.64655,92341805.5854
1160,56,1586.70572256,153418425.855,1176565.4394,92563460.7196
1084,50,3786.0940869,127105283.471,1208874.98075,92187788.1787
1084,48,4603.70398622,138668477.231,1215644.01876,92558644.8158
1114,55,1978.98493184,125754344.977,1164018.62345,92530676.0122
1153,50,3850.89477268,136930044.193,1231357.64768,92529039.1591
856,52,3685.60707063,125752472.28,1226964.61927,92152430.7414
1036,60,1657.07808081,154853386.422,1173565.47633,92310588.9188
774,34,7324.55512589,145390156.724,1340743.02808,92394368.5923
1079,59,1763.69815089,125029720.044,1188500.99146,92612833.0823
1027,57,2170.91562552,154833482.229,1193990.0865,92624969.1993
1059,54,2340.14286617,125768705.628,1201341.78829,92616082.9889
1087,54,2356.39158688,142346075.021,1209526.22745,92523388.7197
1035,52,3817.67188671,125768705.628,1179274.0458,92583765.9539
1222,62,1990.86841835,146760851.487,1124483.85533,92561066.6652
1103,58,3846.59415962,124586631.69,1146409.36991,92580997.4772
1118,65,1039.31341762,154853386.422,1140128.18076,92646150.56
666,28,6043.16367859,153564707.338,1435388.01965,92263599.948
1041,62,1339.86012836,154853386.422,1149847.54223,92613677.672
1079,61,927.504532846,154853386.422,1174572.4618,92657424.3721
1080,48,4415.24917618,133752119.363,1223958.70779,92517442.1365
1184,62,1986.56744926,154843519.455,1117501.0012,92614188.0769
1073,62,2241.05608778,153418425.855,1154690.75013,92635889.9333
814,33,5045.10737581,125768705.628,1401368.07501,92298683.1954
1128,65,2261.41354502,125768705.628,1098273.60334,92636713.1296
