n,hit,dist,nabla,sigma,hv
1885,90,294.933185743,154853386.422,988381.370031,92716594.8605
2105,95,135.426125751,154853386.422,969124.594923,92717914.1187
1962,95,159.71855026,154853386.422,967065.495818,92725380.3511
1792,84,663.650234974,125768705.628,1022129.90609,92676996.7024
1947,92,558.660874558,154843519.455,988708.626161,92667892.8863
1583,76,775.085643848,154853386.422,1050527.53346,92703121.3236
1954,85,964.756823247,154853386.422,1005926.07316,92650717.706
2017,95,275.970085731,154853386.422,977568.604241,92721174.7431
2182,93,179.163045111,125768705.628,976753.840167,92716233.875
1919,96,86.7881371721,154853386.422,963982.632507,92720413.3069
2050,90,147.293723782,154853386.422,999010.064787,92717910.6346
1951,96,120.337553129,154853386.422,961967.665154,92725503.5182
1204,47,3962.14287102,154853386.422,1192472.83599,92531571.4121
2094,90,189.188362116,154853386.422,991465.57523,92721589.7189
944,45,2742.15751937,124600928.647,1284141.46039,92516884.7895
1072,56,3047.04923514,138686358.665,1167478.81281,92455141.694
1922,86,843.356664276,154853386.422,1002545.6629,92662777.5435
2126,92,397.06626332,125768705.628,968167.158788,92693022.8553
1811,88,970.943360016,154853386.422,985025.15359,92661924.4017
1932,91,1124.70365282,125768705.628,967187.239422,92634274.7749
2041,87,602.501144084,154853386.422,990588.123725,92693501.6834
2261,92,516.735935784,154853386.422,974299.146099,92697053.134
1793,94,193.811161425,125768705.628,970128.192459,92724357.6797
2000,86,643.788023542,154853386.422,1016844.80771,92662902.5768
2046,93,473.855608461,154853386.422,972204.292048,92694399.2542
2101,95,0.0,125768705.628,975370.462198,92722985.3648
2314,92,536.637918981,125768705.628,961071.034865,92692847.7038
2045,91,318.939597448,154853386.422,990564.394535,92707933.9071
2026,92,349.386123693,125768705.628,975331.009926,92697636.9647
2178,94,126.440172535,154853386.422,968164.801728,92719330.8491
1886,87,1395.38951971,154853386.422,987168.145113,92656226.2561
2012,90,819.68980982,154853386.422,975426.092303,92664414.1086
2120,95,96.7446824626,154853386.422,966036.837649,92725970.7064
2040,92,324.524017718,154853386.422,978650.857887,92721453.2117
1956,84,796.735028045,154853386.422,1012889.59885,92649785.9725
1981,93,0.0,154853386.422,991479.799829,92719775.9454
2392,94,477.090721219,153679636.402,961992.760671,92717265.6707
2134,93,190.855895471,154853386.422,985950.701544,92713419.7919
1956,85,1717.8577862,154853386.422,972463.805001,92654420.3804
1595,70,1869.20210439,154843519.455,1065306.74241,92527165.0016
2074,92,218.725275075,154853386.422,982762.094331,92721455.0176
1925,93,711.522127687,154853386.422,960978.328397,92698272.276
2257,95,251.976445647,154853386.422,969108.606096,92719121.4034
2249,88,836.321433437,154853386.422,996953.777856,92651339.9651
1942,96,46.6567164556,125768705.628,967051.384894,92725997.8104
1435,57,1987.15239134,125738112.516,1178685.92817,92534558.5674
1208,51,6385.57190296,126042539.175,1245081.35296,92232884.9804
2109,94,527.276236121,154853386.422,969117.301677,92683355.7103
2058,87,702.006822942,154853386.422,1005921.89682,92659859.8136
2204,91,484.309212293,154853386.422,980658.334809,92709648.6751
2159,93,554.273690642,125754344.977,961131.460577,92720617.2198
2083,94,158.73260885,154853386.422,976482.303396,92721578.4665
1780,89,617.042894492,154853386.422,994989.892179,92676749.6675
1879,85,766.852277731,154853386.422,1005934.38607,92659059.1119
1983,95,243.549147043,143496771.37,968086.980642,92722002.3499
2231,94,99.1515152774,154853386.422,974265.559357,92726047.8762
1894,86,406.100000215,125768705.628,1009752.04535,92711278.2848
2083,93,771.67025812,125768705.628,969124.823553,92699118.943
1912,94,117.652362382,125768705.628,970177.381969,92724643.7225
2018,95,97.8142549852,125768705.628,973346.628884,92723901.2758
1928,96,73.3773987267,125768705.628,974393.868197,92721713.3814
2022,95,298.012877165,154853386.422,970365.535574,92709455.0475
2156,92,814.295281473,125768705.628,972287.297961,92697802.4238
2147,94,73.6129050589,154853386.422,971246.015279,92724568.7906
1835,91,334.061403794,125768705.628,980810.006344,92708267.5653
1999,93,793.899362461,154853386.422,969125.892618,92669561.5958
2182,94,7.41484716157,125754344.977,978521.975704,92725817.7938
2102,92,1474.11767426,154853386.422,960108.256853,92649390.095
2075,88,879.575225986,125768705.628,992503.161834,92659492.1574
873,54,1323.55738221,154843519.455,1211566.5335,92658093.4198
2177,91,273.282896958,154853386.422,980845.969763,92718861.3726
2162,95,244.138594491,154853386.422,967166.403558,92722194.8277
1919,86,780.535307807,154853386.422,1007035.75296,92676534.1319
1168,60,1815.23653293,154853386.422,1155619.03177,92571856.2663
2077,94,80.7866382035,154853386.422,972333.865371,92719749.2986
1855,87,663.720480898,125768705.628,1005942.81075,92654666.7044
1877,95,276.931335093,154853386.422,970120.135965,92701406.4289
1983,94,70.6000000863,125768705.628,976434.261168,92723070.1911
1797,90,787.214442189,154853386.422,987158.434089,92682820.7219
2184,92,269.041215157,138686358.665,975340.336147,92723224.2698
2345,88,1301.65286294,154853386.422,986506.713394,92656640.3767
2105,85,817.318812273,125768705.628,1010671.7472,92665467.8978
2157,91,487.644256668,154853386.422,975337.332666,92693861.6184
1400,55,7711.17097798,125754344.977,1220674.22822,92575900.577
2070,94,330.086499221,154853386.422,961979.977886,92723865.3666
2173,94,98.7298476375,154853386.422,977466.949792,92720444.2119
2195,92,166.683516619,154853386.422,989217.447017,92719560.5339
747,31,5984.34300899,139548686.485,1469957.8667,92396375.0367
2060,93,800.273690436,154853386.422,968253.134066,92677413.7167
1801,95,1.25108341825,125768705.628,974290.797887,92725799.2501
1999,90,682.000004747,154853386.422,991498.96553,92668016.2971
1904,89,598.369374479,125768705.628,1001382.64114,92680421.4205
2211,91,551.564556269,154853386.422,987035.524258,92686750.8287
1961,92,257.279121096,154853386.422,981665.41553,92722435.6222
2272,93,311.325482503,138686358.665,969107.531185,92720810.0587
2382,96,97.2038217795,154853386.422,965027.43512,92724555.2012
1427,68,1528.86968379,154823615.858,1085158.51292,92666401.7136
2085,94,162.0735931,154853386.422,974270.981398,92724930.2462
1857,94,126.360086771,154853386.422,982711.727999,92722121.4969
2066,94,254.091494181,154853386.422,966044.547706,92701689.3483
