n,hit,dist,nabla,sigma,hv
754,40,5546.6408494,154843519.455,1367980.61245,92046439.7397
825,44,5422.02867533,143461440.363,1305593.32538,92291131.4101
760,34,4312.39381512,131393313.136,1444271.25126,91634395.1066
436,17,16859.8133355,118270525.078,1790775.45551,91818319.6362
854,40,6501.88451669,126659949.63,1279381.35798,92440936.7185
801,39,4340.21032143,132685100.577,1320852.28463,92466656.0427
710,35,7226.93073674,153260027.862,1404608.82551,92382036.7958
817,38,5519.49805316,134813489.243,1352675.09214,92379299.6462
643,21,9015.82660396,114742300.928,1642838.14874,91883011.16
785,36,6383.17889554,143496771.37,1346366.74547,92505012.5251
816,43,5835.03322782,154843519.455,1298832.13519,92506791.9599
865,50,4084.39118099,138686358.665,1211076.96137,92467271.2655
761,37,4184.80839648,125752472.28,1417888.25538,92379381.227
743,40,4558.8604834,153418425.855,1315920.5176,92230587.4333
785,33,9273.02336659,143479929.175,1309790.19828,92413377.8341
826,42,4514.42281726,143496771.37,1288296.10568,92515593.4196
818,45,3006.30514904,125752472.28,1284983.29495,92527959.8637
698,35,6763.84298491,152639562.865,1381544.01128,92072852.5596
534,24,8353.93814948,153418425.855,1528712.1699,92372522.3318
809,35,6577.73776164,124600928.647,1370842.52441,92381864.2889
776,40,3454.75199845,143478281.576,1323756.83074,92554780.8302
787,44,3947.34646454,154843519.455,1259929.44142,92561598.1236
699,36,2295.56957799,132509854.616,1378748.96002,92484782.1675
846,41,4546.15111995,123236332.548,1299740.01515,92160895.2458
781,36,7952.97466306,153408601.701,1306636.04091,92194081.9142
827,39,5057.60075908,125768705.628,1320506.76771,92451119.9985
870,47,3704.59798875,154823615.858,1267601.32961,92385253.0861
887,42,5014.78572049,154833482.229,1235986.5101,92438210.2661
713,31,10447.9325348,125768705.628,1419729.70093,92219783.9894
839,44,3294.72987636,113271937.508,1293330.50813,92249602.3518
717,30,8764.41631928,118378771.22,1434170.33586,92110889.6768
666,35,6391.09690594,154019798.975,1310548.52512,92437884.71
