n,error,dist,nabla,sigma,hv
1828,79,4624.84419445,46116858.0652,181056.87542,50404473.8741
1507,90,494.478836047,49479512.7286,162142.15577,51217735.4393
1070,68,1486.53054687,51501851.2378,185439.883537,51148521.4316
2854,77,1401.54142034,51523112.2667,171414.80536,51177764.3024
1301,69,2618.79937367,46116858.0652,187393.589775,51107275.3983
1824,88,349.432507004,41901859.7638,166516.851496,51206240.3086
1211,76,1158.68769829,46006068.2692,233425.350165,50717990.4788
791,30,20515.5905551,51523112.2667,258636.199127,50294860.1033
1718,78,12833.4534028,49479512.7286,166860.772636,50427026.5205
2050,87,702.076504406,54593674.5195,166427.261005,51166215.6477
1721,84,295.173789572,48330790.1249,170686.02564,51193937.8894
1705,90,382.59568755,49479512.7286,164791.488365,51214593.6768
1040,60,14373.722562,39121289.5586,233532.648623,50045666.2658
1272,67,13855.2939492,46006068.2692,182544.870207,50324551.5139
1493,78,859.018018097,49479512.7286,175086.985769,51198135.2624
993,60,1377.47422833,51523112.2667,190746.529161,51149186.4305
2002,78,9558.65775616,51523112.2667,164578.933018,50630001.3984
1530,80,1686.13529497,39096290.9797,179889.409171,51072326.5263
1780,92,343.98148156,49691283.2068,162382.385955,51221629.7366
1741,81,2878.5227275,44746357.415,179965.128076,51108543.5752
2025,85,922.011143006,43130412.3272,168193.71253,51188673.5131
1548,88,778.286495597,50511896.3078,165066.23552,51205309.85
1347,65,4181.40789598,51523112.2667,178619.578024,50800670.1007
1323,88,548.663102511,49479512.7286,164460.653661,51203133.3509
1977,80,2867.43895386,49479512.7286,176747.496592,51117475.6136
1220,68,15742.0598978,49479512.7286,202497.180041,50146893.8362
1883,82,1229.20930252,49479512.7286,185239.780798,50992698.0766
1832,87,2228.58465618,49479512.7286,162800.367787,51172340.9586
1105,66,1901.77918091,49479512.7286,177442.668364,51177538.5285
1973,79,12529.1741301,49479512.7286,143648.860405,50856670.5396
1587,74,13846.9510324,49479512.7286,200660.341622,50707100.6451
1003,53,19198.9057772,54234449.4622,227384.519009,50142471.6856
1054,67,4125.87417887,49479512.7286,279419.381414,49658500.9808
1026,65,9027.4121409,43130412.3272,203129.5237,50512717.1584
1654,81,1686.54227639,50511896.3078,170481.46502,51055623.6182
719,32,24668.0564673,44089218.7191,267526.044529,49741643.4614
1888,91,1288.05835573,49479512.7286,162293.331311,51207423.1241
1788,80,2829.74212057,49479512.7286,176000.971264,51030133.7834
1094,77,1391.66867635,49479512.7286,174261.175701,51176216.3886
1997,76,13264.2886604,43769207.3212,179532.208252,50698952.3799
1214,69,1669.24290231,49415732.6755,178682.300462,51151742.2296
1118,59,2298.28057611,49479512.7286,194273.815533,51164753.0354
1936,86,1042.47945238,54394905.0809,166206.355226,51174365.7355
955,60,3512.83904142,49479512.7286,183414.457657,51149236.076
1087,50,17459.5859901,51523112.2667,239386.557976,50288796.5778
1643,79,10557.8212446,49479512.7286,209914.156576,50583531.4645
1761,84,1753.89887672,49479512.7286,171684.499619,51167594.7098
1613,77,4892.96774218,49479512.7286,179660.892366,50777670.9039
1077,69,6428.57492563,49479512.7286,198331.337304,50262607.0537
1904,78,6299.61253572,49479512.7286,160273.290791,50998626.9598
1781,77,15471.6839522,51523112.2667,196147.419204,50170247.8784
1790,87,902.479784692,46494719.8523,164559.469867,51158469.8211
1535,82,286.798834709,44271782.3984,156483.523056,51143496.6339
916,56,4634.0433228,49479512.7286,229520.638989,50726153.4727
2037,86,219.871866494,49479512.7286,168934.626303,51216883.266
637,29,7991.09890304,54178352.9012,231532.753988,50981971.9381
1587,76,1735.98192856,49468056.8723,157891.893447,51178926.3537
1774,79,6259.18457425,49479512.7286,186061.186862,50725285.3476
1617,83,262.533141226,49479512.7286,172335.165972,51186570.483
2016,86,476.463889199,50511896.3078,149965.138881,51214110.0227
1820,86,241.075209051,49479512.7286,169670.67411,51193088.6896
636,38,9158.23404395,39846345.3732,218260.965072,49944371.5219
751,51,6713.26562669,41859563.1927,235218.581605,50838927.803
1726,90,484.612732549,51523112.2667,163018.696568,51211676.9352
1785,76,11630.970977,50511896.3078,172209.699918,50841292.0421
956,61,11202.6129037,49468056.8723,252532.183857,50037211.1503
780,40,6984.2255524,54593674.5195,232820.778783,50871674.9583
1584,82,1230.70454561,42031257.1927,171421.639645,51138461.3234
1509,91,129.780748729,43769207.3212,163806.595814,51216805.3579
1745,80,776.476342921,54593674.5195,175839.168726,51112060.1823
