n,error,dist,nabla,sigma,hv
1390,73,2841.04892972,43388869.913,179182.287251,51049171.3688
1332,64,16195.3102508,46063520.4675,197517.147354,50464365.0675
1216,74,1019.69969141,39331499.6851,177243.759409,51122215.7288
1386,65,14035.8898076,40127360.2561,171726.384037,50452825.5447
1484,79,599.324405187,38775962.7514,173063.008603,51168606.2713
1291,69,5452.35093235,49459095.7293,195237.50541,50923186.6994
1255,63,35629.3164192,59830524.4579,226020.664059,50400657.8564
1335,68,11779.6366205,46006068.2692,194380.129747,50681049.2827
1381,66,16783.8862886,48512592.2537,191531.684345,51123785.9365
1329,70,894.900662718,50511896.3078,187949.534002,51063161.5805
1294,63,3925.04128652,54571055.9772,189419.4013,50863643.9824
1400,72,1800.67289738,49479512.7286,160412.17283,51131037.3888
1434,66,1900.67320453,50500156.8411,181658.497692,51113869.2019
1272,60,5319.54850644,43100937.6151,184077.242853,50993423.3402
1422,80,873.364942735,49479512.7286,169853.829152,51186760.6954
1316,67,2017.6081514,42570784.3169,179932.752845,51100294.2778
1292,62,13455.8274879,47527246.5146,164525.042836,50708990.1036
701,44,6498.98775586,41985320.4987,189724.910028,50977089.9229
1111,60,9770.77044124,40266496.8105,199152.720773,50455946.8994
307,5,37955.1339324,40755110.8187,354601.770882,49618626.4411
1289,70,1676.17538519,50511896.3078,181599.10065,51079552.6845
1314,69,2871.27244709,49479512.7286,184284.595407,51092472.3543
332,12,18780.4189199,38608957.0428,364445.84713,49897906.7709
1075,44,10756.6770447,51944477.5196,211085.659283,50852683.0774
1244,59,3664.00685141,43662130.1009,197801.006533,50623464.3841
1325,69,17057.5370385,43388869.913,204066.397026,50112917.8799
1430,69,16358.9095761,42031257.1927,203855.591733,50046827.7738
1216,68,7167.94920654,49479512.7286,177677.456729,50855134.7744
1270,72,2330.51796452,54247090.4744,174959.28167,51103912.3139
1203,69,4695.65495312,38766821.0725,204099.329271,50630570.342
870,46,13158.0500157,49479512.7286,200636.788152,50653459.031
1339,77,535.049231184,50511896.3078,179819.786348,51182826.4534
1102,70,3685.0000011,51523112.2667,231407.49285,50732966.5956
1503,63,4197.55921132,54247090.4744,193895.611082,50618577.685
1223,66,1447.61563698,49670757.8927,165713.247665,51151722.3994
1292,67,13175.8483972,46063520.4675,201469.034548,50773091.9468
1308,66,3865.11041024,51523112.2667,176695.204347,51170468.7029
1116,58,11194.2285825,45300609.3563,230540.035095,50108136.8806
1256,65,6740.17143049,49479512.7286,191711.902417,50881274.3508
813,46,8648.64427317,49415732.6755,168911.620246,50845694.1321
1220,44,23551.013379,46006068.2692,173436.445647,50409852.3683
1141,56,4497.56727345,41901859.7638,171099.311425,51086361.2402
1517,67,4261.8567081,46106062.3261,176817.580007,51121808.4432
1359,72,2045.83430301,42653772.8432,170167.226644,51152506.041
1391,60,13886.6869337,47527246.5146,220605.542864,50010661.0428
789,39,6217.13656523,54224581.6732,220543.424343,50967246.0592
1428,75,1566.08814657,49479512.7286,179301.770902,51092858.4842
1211,58,9673.39032323,43769207.3212,181661.699423,50897474.7511
1227,60,3472.26333401,44746357.415,164282.945025,51132945.5865
630,26,10814.7247215,49468056.8723,221286.803565,50826369.6792
1308,75,4298.45858012,43769207.3212,174860.777733,51064215.9056
1126,71,1418.146876,51523112.2667,180718.150068,51084251.5551
1258,67,1115.63545193,42031257.1927,186407.547743,51137423.0016
1433,72,1115.3533131,42002533.6276,165672.067069,51157537.465
1358,67,2463.58496743,46116858.0652,186753.137091,51111333.6703
1311,70,2008.19811409,47527246.5146,160912.013491,51109707.1421
1260,73,740.859425459,54247090.4744,178483.043655,51139170.1709
1256,62,12254.6363659,46494719.8523,221879.906697,49859637.4958
1233,78,1225.07627268,49479512.7286,169281.979738,51205304.5717
1407,60,2382.33565298,41296006.634,192541.314979,50757996.7236
1285,62,9680.12420613,49479512.7286,176390.091391,50222524.8172
717,35,5237.40444595,40168843.9423,217629.259057,51006278.1063
1468,63,3502.64900742,46006068.2692,181864.09885,51036978.6092
1206,82,977.661017424,49479512.7286,169725.560395,51208583.2857
1376,68,4421.63141093,41859563.1927,230269.507704,50686735.2322
605,29,23603.5948762,44218557.362,314812.181816,50266328.0453
1419,75,1180.13293087,43388869.913,175698.789642,51105847.2839
1212,67,8839.12381172,41901859.7638,238550.995582,50338419.8909
1393,59,17385.5128213,49479512.7286,179444.237452,50662383.6397
1173,77,2982.87135477,46063520.4675,183010.084069,51004068.2825
1351,61,3799.81587522,49479512.7286,179413.946207,51117274.5403
1059,53,3051.87022945,43769207.3212,186206.188115,50971901.8821
1423,66,5811.23492246,41804966.0914,198638.313327,50137695.5724
1196,73,2971.10574031,48330790.1249,189326.853904,51075554.6682
1191,76,2260.42987831,46116858.0652,157232.64118,51115340.1609
1410,59,3275.16901475,50446547.1075,170993.426759,51132116.516
1414,66,1741.20257377,43662130.1009,180772.423951,51110921.1604
1334,57,6432.24510299,54247090.4744,183801.942284,50901119.781
1452,74,1171.1319023,51511175.5423,175892.286462,51166170.7522
1186,60,8851.9672146,44146687.5821,215930.105077,50316205.4922
1379,71,3444.50464464,49479512.7286,161150.318632,51120416.5778
320,7,29354.1508046,39416275.6873,343269.609749,49053372.8731
1369,67,3408.09478476,54593674.5195,189590.958628,50923931.1708
1339,75,1640.63663841,43130412.3272,193397.122601,51090241.5883
1198,70,5871.45535773,51523112.2667,165587.68851,50868989.4806
1090,52,11272.9126359,49479512.7286,210526.229508,50878963.7138
1100,60,5516.8106318,43835200.8628,194025.200785,50864532.8832
1408,65,1824.58576098,49776170.3163,192722.120378,51091360.0432
1314,63,2430.08014073,47145652.3226,196948.093188,50962311.0095
1329,75,1988.92559546,49468056.8723,156554.884799,51173440.0759
1157,72,2536.72100448,54138002.4273,177102.540969,51127946.314
942,55,4771.02573727,54247090.4744,196697.906625,51071220.8304
1476,78,376.597015149,51523112.2667,173712.53946,51170425.8031
1266,56,4410.72887527,51523112.2667,205011.001103,51044860.0649
1356,65,1777.35690313,42814897.6748,189823.667193,51060696.765
1354,77,1357.51343329,51523112.2667,173230.893531,51197991.4952
862,39,26033.9280601,41359556.2859,248975.327469,49925829.8015
1265,77,897.576577398,42031257.1927,177414.153505,51153714.9184
823,40,33878.9304534,57423077.7894,254235.960638,50756946.192
1403,62,11252.860607,41909335.6125,178661.479772,50957627.3403
