n,hit,dist,nabla,sigma,hv
2102,92,360.955850022,125768705.628,991497.848722,92714609.3479
2005,87,686.247794367,154853386.422,989445.292777,92682756.1532
2107,91,288.084262035,154853386.422,986207.829105,92670861.0991
2078,95,125.957081677,154853386.422,970118.660571,92721933.9733
1989,89,798.058464796,125768705.628,974297.914233,92686677.8473
1936,93,365.359312141,154853386.422,974282.523077,92697229.7777
1905,89,236.169683531,154853386.422,995932.883488,92723796.1379
1979,95,41.221030043,154853386.422,970140.25911,92726829.5943
2021,95,473.031518822,154853386.422,959969.992644,92699480.8442
2088,89,635.206994025,154843519.455,985025.212113,92685572.6762
1878,92,607.047516351,154853386.422,980783.490155,92701703.4802
1988,92,787.66808282,154853386.422,970312.604059,92663617.2548
1926,87,818.862248396,154853386.422,994603.879824,92652471.4447
2191,96,775.21208166,154853386.422,955017.299437,92699236.9789
2247,97,292.918581934,154853386.422,956966.102244,92712372.7831
2062,91,1120.45360993,154853386.422,969432.280668,92687322.094
2465,89,663.275330835,154853386.422,990224.364997,92681876.6836
2087,84,1020.85779785,154843519.455,1002574.16237,92669054.8815
1892,91,758.481725182,154853386.422,978530.105981,92662737.7193
2223,94,519.372844835,154853386.422,979727.822709,92700974.4036
2227,94,535.344087629,154853386.422,971166.456685,92703656.7267
2082,96,0.0,125768705.628,972193.139,92726406.1843
2331,95,98.7526883233,154853386.422,978525.290014,92721619.4389
2059,97,238.453976603,154853386.422,958025.184293,92724149.8122
2246,95,148.586866228,125768705.628,963996.88858,92724053.9537
2145,97,29.6326963907,154853386.422,964998.896232,92726975.7549
1863,88,742.342288229,154853386.422,998092.127037,92653415.398
1982,93,682.125804155,154853386.422,974404.745783,92665194.2788
2353,89,309.512420616,125768705.628,1002479.58179,92679528.3216
2031,96,122.833689984,154853386.422,967089.968498,92725254.6777
1857,92,581.002164823,154853386.422,974449.788527,92716753.217
2246,94,285.450221205,154853386.422,974434.978177,92697464.0893
1949,97,90.3018883548,154853386.422,958974.528495,92725926.0185
2224,95,129.337607061,154853386.422,968083.711682,92726568.5008
