n,hit,dist,nabla,sigma,hv
1560,84,346.916273066,125768705.628,1024683.14657,92684867.4767
1599,84,827.233650804,125768705.628,1019788.66251,92658515.3786
1608,78,1945.12532564,154853386.422,1026180.08228,92608200.8217
783,37,6758.07116417,146760851.487,1341059.9106,92409444.4894
1673,86,674.08428265,154853386.422,1007057.07371,92701350.4427
1622,78,429.3071069,154853386.422,1076563.2053,92682007.7869
1649,84,810.794488911,154853386.422,1013973.37536,92661813.4005
1632,85,926.823534608,154853386.422,1003659.97077,92655672.6156
977,46,4872.7153059,142346075.021,1273564.47683,92548639.1753
1751,83,1399.54713364,154853386.422,1011595.27717,92676736.7583
1418,71,2050.73270107,126042539.175,1049438.40636,92595733.2764
1575,80,824.932535469,154853386.422,1035686.58275,92652849.1949
1637,84,543.087271261,143479929.175,1017065.04883,92671095.6353
1501,80,1641.09348697,154853386.422,1019794.85049,92617399.6858
1708,83,502.683215548,154853386.422,1025750.2798,92710926.5976
1557,82,1933.95587919,125768705.628,991596.355529,92605626.4978
1619,83,1113.47729895,125768705.628,998374.293734,92673039.6071
1678,85,661.858855783,125768705.628,1029137.68763,92649929.8073
1686,77,1665.11838841,143496771.37,1037529.28412,92614632.627
1697,87,191.259174664,154853386.422,1002718.33497,92608455.4973
1710,81,852.021303795,125768705.628,1019352.95025,92689197.742
1635,80,1032.83841355,154853386.422,1020995.03781,92648700.2449
1622,83,1172.44604131,154853386.422,1022319.57357,92634551.1373
1740,83,1131.11806377,154853386.422,1007427.49392,92691411.9748
1791,84,938.041575468,154853386.422,1006273.58808,92653563.2578
1754,84,927.292911236,125768705.628,1009604.16734,92665385.2177
1724,75,639.258233632,154853386.422,1053617.39095,92719933.3039
1645,81,1645.58222085,143496771.37,1000632.23869,92614405.9213
1726,80,756.569348336,154853386.422,1040555.91605,92652376.0335
1530,84,558.169811343,154853386.422,1024537.38523,92694526.2957
432,13,11622.226031,141528135.517,1794314.55579,92214429.0132
1711,84,553.240300199,125754344.977,1009328.56663,92706500.1194
1607,90,661.424530909,154853386.422,979717.262539,92697655.7033
1642,86,1067.39277686,125768705.628,1002460.17089,92653028.5882
1706,85,1142.42923452,133752119.363,1008768.25077,92667071.1032
1608,82,1467.60832403,154853386.422,1017892.61974,92619627.8168
745,33,5760.88845487,122042082.246,1447513.6473,92343005.2673
1797,89,323.501123859,154853386.422,992681.258307,92722623.5448
1665,80,1316.63765488,125752472.28,1025350.2788,92606325.5819
1115,53,3035.60561728,154843519.455,1166223.11211,92624264.4904
1028,38,6093.59480411,124600928.647,1286581.73401,92520176.8045
1707,85,294.755294362,154853386.422,1015842.54964,92653944.1202
1753,81,2140.9888238,125768705.628,998216.16869,92632791.2569
1085,53,1341.14478427,145672601.608,1242960.08171,92256166.5417
1443,79,1248.89655697,154853386.422,1038869.48065,92662296.4173
1867,86,913.682544543,125754344.977,997045.751942,92654961.6946
412,14,13180.7986235,146741948.938,1854024.83196,91218357.036
1680,90,886.117927152,154853386.422,978615.291468,92689067.0614
693,30,5581.0625157,134829040.793,1534228.03061,91907598.8719
1812,85,964.693368772,154853386.422,1009587.88528,92640752.2133
1633,80,834.971223195,125768705.628,1033078.52605,92677572.205
1619,75,1227.76904334,154853386.422,1069490.15077,92572411.1028
1609,85,1535.95682529,154853386.422,1005756.04574,92603847.864
1491,80,959.762255101,154853386.422,1036704.8043,92642606.5524
1806,86,1547.95034188,125768705.628,994841.047878,92694022.6626
1593,86,1134.13275423,154843519.455,1001629.59641,92626223.6337
1581,84,1667.59419932,154853386.422,999602.13962,92611582.8656
1475,78,1795.85944808,154853386.422,1016521.63188,92524731.283
1590,83,794.631728912,154843519.455,1012311.53285,92666201.3733
1622,81,1918.95806753,154843519.455,1011147.7709,92666253.7294
1673,88,315.67342861,154853386.422,993749.748242,92711134.3151
1608,78,1000.55528792,125754344.977,1045535.96815,92647107.6151
1597,82,863.219052651,125768705.628,1029385.53301,92649239.7184
1552,79,876.692335341,143496771.37,1032190.14332,92671786.5619
1730,86,682.295481266,154853386.422,998194.825104,92667055.5851
1637,85,492.827931322,125754344.977,1009948.72151,92671630.2208
1787,88,877.468155276,154853386.422,981685.803894,92695929.7788
1535,84,1117.58352921,154853386.422,1010715.67541,92642315.062
1565,80,287.536232429,154853386.422,1028843.40488,92719200.1134
1749,82,981.174426075,154853386.422,1018245.01171,92660943.2837
1769,85,691.263051006,154853386.422,1006114.72059,92660759.8173
1638,79,495.428933303,154853386.422,1044389.0103,92676471.2025
648,35,6446.69698481,143478281.576,1440503.59238,91757390.1938
1601,77,1168.20824039,146760851.487,1038163.77759,92642953.0381
1711,89,1047.71828617,154843519.455,978594.119603,92687362.9342
1730,88,582.715555724,154853386.422,987302.170311,92699103.2043
1672,86,473.446516801,154853386.422,1017241.2744,92683675.5169
1714,79,1331.87321103,154853386.422,1033606.2169,92645976.5013
1666,84,939.452279657,125768705.628,1006067.89648,92649534.7569
1625,87,434.077273286,154853386.422,999269.268057,92713844.2519
1585,82,1012.90047629,154853386.422,1019556.51652,92561063.1918
1558,88,504.647982196,143496771.37,991558.431694,92698973.829
1841,90,1246.35959679,154853386.422,973365.484346,92671806.0633
1624,88,107.071264545,154853386.422,1004161.68664,92720132.9845
1646,81,850.952945279,125768705.628,1015642.27009,92709761.9954
1658,87,547.363864297,153418425.855,989268.517349,92686501.2579
1582,74,1108.53125603,138686358.665,1068076.75719,92710004.689
1696,82,1371.57870413,154853386.422,1009679.55312,92707816.0
1580,85,823.273787022,125754344.977,1008455.85116,92664775.7265
1740,84,1147.33721472,154853386.422,1022567.49668,92651964.6006
1715,88,227.517089455,154853386.422,999298.674589,92694245.2825
1684,77,744.937033405,125768705.628,1050737.13001,92682464.7571
1677,86,995.131435526,154853386.422,988278.109542,92675325.9131
665,27,8754.38862963,124586631.69,1477152.0589,92202203.8404
1749,81,1188.6674641,154853386.422,1028267.00407,92620764.0528
1676,79,683.041570312,154853386.422,1056779.7299,92630994.5706
1507,77,1721.39235073,154843519.455,1031782.27823,92644213.254
1773,78,897.424696575,125768705.628,1048247.45968,92645561.2294
1633,80,1160.3636393,125768705.628,1032033.44299,92680589.0077
1556,81,774.272294342,125754344.977,1035740.14268,92642228.0683
