n,error,dist,nabla,sigma,hv
1998,87,580.928890723,154853386.422,987257.01321,92703972.3366
2040,86,935.42531319,154853386.422,1004008.78469,92695267.2163
1928,95,153.576017347,154853386.422,969170.813792,92714778.3379
1858,92,596.805108861,154853386.422,971407.704225,92696113.0832
1991,92,234.501094427,143479929.175,979552.27365,92723137.9154
2178,91,102.939325973,154853386.422,992574.563553,92725022.7838
1675,83,820.148241401,125754344.977,1023411.97434,92581008.5099
2001,86,821.616076639,125768705.628,996941.421262,92668036.0682
1898,92,215.914285907,154853386.422,982088.589615,92716532.834
1873,92,524.096983177,154853386.422,972188.256333,92708476.5315
1930,92,540.329718016,154843519.455,982738.499183,92714763.7369
1931,90,415.135560627,133752119.363,987137.375236,92693400.6765
2075,89,473.489979428,125768705.628,995723.620342,92685270.7594
1789,81,1314.51066312,125768705.628,1025873.49535,92647591.0172
847,38,4780.89960544,113214832.54,1339699.20936,92521445.041
2000,94,114.161310879,154853386.422,971149.12916,92725130.7588
1981,84,2885.46354494,125768705.628,977558.929803,92640282.2453
1999,87,660.919467987,125768705.628,997927.908751,92679881.0554
1905,91,482.250549712,154853386.422,989423.726905,92703052.0295
2117,90,75.4954562563,154843519.455,998164.126161,92722759.3507
1787,90,328.129686838,154853386.422,981736.791501,92713566.1775
1877,94,408.822547368,154853386.422,957035.374719,92723628.4756
1694,87,277.428922933,133752119.363,1002710.91167,92713092.2711
717,29,9958.05441194,125768705.628,1452214.74567,91764939.2737
1797,85,863.723987061,154853386.422,1003636.93934,92648577.1474
1949,89,1116.87232222,154853386.422,981679.697291,92666900.8394
1908,91,862.65955173,154853386.422,969282.000096,92691586.6514
1957,92,866.872340808,154853386.422,966046.006424,92702819.2145
1772,80,617.893116076,154853386.422,1039052.73036,92675122.0794
1968,85,1156.67111251,154853386.422,983893.92233,92663337.2946
1823,82,1335.41082744,125752472.28,1023492.63217,92626003.6248
2043,91,510.929364707,154853386.422,985149.893706,92681660.671
2099,93,602.728449444,154853386.422,972219.883933,92717850.7471
2064,90,245.934519016,154843519.455,978522.396809,92718041.6042
1839,92,285.352297867,125768705.628,979566.206828,92711315.4751
1249,56,3904.6508724,146741948.938,1116912.01227,92543436.592
1894,81,768.90168376,143479929.175,1032914.75656,92652035.0385
1820,87,574.143837541,143479929.175,1000562.33948,92701621.0195
1737,91,193.258851516,125768705.628,992544.503984,92717832.7174
1887,92,354.226297958,154853386.422,972254.10668,92685522.4099
1913,91,396.33554126,154853386.422,983948.471573,92722949.5742
1769,93,9.19823788553,154853386.422,982781.522692,92725727.7003
1912,85,798.534096021,154843519.455,1005910.12838,92652681.16
1878,83,852.159013314,154843519.455,1005080.96719,92658354.5874
1775,88,437.892944902,125768705.628,999316.746384,92675538.4712
1922,90,460.265629932,154853386.422,996776.641735,92681751.8383
1601,79,1832.58910384,143479929.175,1028300.96269,92595555.6199
1768,86,1231.22273251,154853386.422,1005853.24536,92646190.8611
2034,89,388.419864808,125754344.977,994905.205808,92701697.6976
1914,85,1473.15059019,154853386.422,1000223.22125,92622067.5356
1803,87,1256.84869057,154853386.422,988296.357865,92657178.7967
2033,91,713.329718157,143479929.175,975465.931059,92717347.5566
