n,hit,dist,nabla,sigma,hv
2144,93,204.961456525,154853386.422,969100.195241,92721385.5528
1960,95,16.5075269654,125768705.628,971217.352154,92719428.0295
2235,96,58.5053534057,154853386.422,969111.985529,92725306.8851
1868,95,129.852565643,125768705.628,968079.467506,92723486.8824
1782,87,822.03341265,154853386.422,995884.890808,92652519.7713
2147,93,308.873367083,125768705.628,978546.586896,92688020.1718
869,38,5256.54045152,125768705.628,1287529.53019,92430625.1675
2115,94,98.6666667934,154853386.422,977475.225044,92724930.4072
2326,94,511.484148571,154853386.422,963041.547443,92684798.1388
932,47,7892.34686435,154843519.455,1298858.17428,92314483.2892
1986,97,86.2588940408,154853386.422,956972.55583,92725714.649
1963,87,766.792329913,154853386.422,1002568.72159,92653318.9578
2066,93,294.04301115,154853386.422,971274.756554,92722994.512
1013,51,2583.11731113,138803657.366,1212315.63106,92546993.6687
2128,87,868.412951373,154853386.422,996997.925441,92651411.6757
2367,94,215.319742729,154853386.422,971411.79318,92721197.6539
2144,90,905.857147627,154853386.422,981831.448663,92666670.2442
558,20,6421.83648174,124823550.517,1698149.47211,92156416.942
1850,85,795.310117493,133752119.363,993200.311186,92650101.1396
2215,95,753.912155946,154853386.422,957951.963487,92699601.9774
1184,54,2626.00623994,143496771.37,1192389.35191,92583296.1213
1921,94,242.793103577,154853386.422,972354.014825,92700804.9604
1156,56,2917.5391882,133734864.411,1172561.21548,92546683.2107
1870,90,945.249459973,154853386.422,979679.710279,92689746.0221
1136,55,2199.96573353,146741948.938,1197190.27941,92258303.3798
2175,94,349.306210101,154853386.422,969259.209542,92717272.7422
1994,94,163.758549189,125768705.628,975407.120745,92722516.2705
2222,92,1047.30342688,154853386.422,975417.559355,92664868.3863
1885,94,121.681129615,154853386.422,975318.613452,92724525.1022
1898,83,868.764023585,125768705.628,1019903.47132,92650794.98
679,25,13531.4018839,143496771.37,1497441.99084,91975097.5675
2087,89,254.324444737,125768705.628,987064.043381,92722596.6093
2172,94,379.032120055,154853386.422,969171.444965,92706925.9568
1917,89,768.166689643,154843519.455,988235.101537,92690668.234
2116,94,383.754839147,138219494.652,971188.57511,92708763.5046
2149,87,990.993412995,125768705.628,989299.964877,92654368.8279
1846,85,863.060953223,154853386.422,1002439.69861,92653013.3801
1507,65,2842.23342969,143496771.37,1086545.63107,92630105.9937
2079,89,922.960357293,154853386.422,990240.398013,92652452.5291
2031,92,958.171847678,154853386.422,960359.323121,92681124.9552
2126,87,880.713968966,154853386.422,1001437.38683,92651915.1508
1981,97,133.23739508,154843519.455,959975.944623,92725779.2297
1998,96,300.756308727,154853386.422,959960.061986,92696198.5129
1986,89,1349.47742661,154853386.422,978572.224569,92575932.4972
2179,92,154.515351282,125768705.628,988053.534857,92719559.2223
2204,93,118.438864757,154853386.422,978472.350063,92724654.207
1994,88,645.856502499,154843519.455,999156.802695,92688238.7608
2041,95,190.197054154,154853386.422,964143.57485,92717851.2621
1835,85,745.688792084,125768705.628,1009327.95074,92651437.1995
2197,94,264.162126603,154853386.422,960983.036399,92720981.1165
1954,96,84.4798313344,154853386.422,965021.96742,92725541.3904
2077,95,331.98113424,154853386.422,959212.311083,92721668.7081
2261,84,917.24203779,125768705.628,1008212.94284,92646632.2099
2067,95,272.721276893,154853386.422,966013.708554,92723532.9452
2179,89,1451.81437285,154853386.422,969392.414373,92646030.8361
2083,93,133.496732119,142346075.021,977444.893259,92719638.2076
