n,hit,dist,nabla,sigma,hv
1660,80,639.613526771,133752119.363,1036995.50766,92679101.643
1575,84,835.417639846,154853386.422,1008631.02362,92681518.1221
1580,66,2952.87431881,125768705.628,1094013.35088,92698205.5566
1577,78,684.746192898,154853386.422,1061007.62218,92698794.5506
1447,78,252.716838286,143479929.175,1065464.72108,92708581.2966
1635,83,603.71663304,154853386.422,1013305.18921,92628170.7523
1529,77,412.722958037,125768705.628,1050555.81763,92696140.9077
1619,81,809.864285869,154853386.422,1021552.61545,92715851.6581
1592,80,145.551378597,154853386.422,1050108.42345,92714628.1362
1683,62,1246.27083376,125768705.628,1151479.0042,92647309.6898
1524,79,926.167070921,133752119.363,1030685.61275,92643821.4447
1601,87,565.769231565,154853386.422,996199.449789,92713574.5401
1601,80,1154.29768335,154853386.422,1010219.67774,92663957.8312
1585,78,2431.40828809,125768705.628,1010506.083,92606079.3165
1468,64,2221.38420516,154833482.229,1093074.22408,92672597.8005
1505,79,1362.51709883,125768705.628,1041768.05319,92630181.9798
1486,70,1059.57796479,133752119.363,1084788.95743,92658392.7989
1591,76,517.675192534,154853386.422,1058625.8401,92713675.0764
1609,79,1875.48325606,154823615.858,1024514.02784,92690909.8195
1556,75,1793.8678587,154833482.229,1045859.42841,92689957.4186
1760,74,2235.42402349,143496771.37,1036411.60305,92697916.4748
1525,71,1369.66411075,125768705.628,1083686.64079,92615552.1023
1434,71,2388.91231256,153418425.855,1055663.54336,92616571.4515
1464,83,1352.02125111,154853386.422,1017057.70826,92692255.3735
1458,82,1788.82089533,125768705.628,1006551.856,92591178.3361
1548,83,910.847580273,154843519.455,1014158.96124,92651364.5486
1571,82,502.616307349,143496771.37,1025409.85215,92715393.7331
1572,70,1478.74018827,125768705.628,1072593.0674,92676404.2195
1531,79,1834.79686859,154853386.422,1002765.60398,92619612.277
1561,83,157.089588881,125768705.628,1029991.06114,92712276.7487
1597,75,1239.0700055,125768705.628,1048705.59708,92651217.3928
1602,80,1243.0505847,154853386.422,1003974.96289,92683048.9134
1521,77,860.032582504,122228996.303,1056276.63545,92693458.6947
908,43,3420.03510476,126042539.175,1262758.61797,92437142.4645
1564,84,658.798150704,125768705.628,1016085.37564,92668507.5635
1443,70,1560.08536143,125768705.628,1086701.972,92647608.9261
1473,78,943.36816452,154853386.422,1054224.82829,92632948.2842
1466,75,1079.87786303,143496771.37,1063969.26282,92681574.5869
1743,83,886.123550244,125768705.628,1018458.81297,92671911.1754
1391,78,316.550258484,154833482.229,1050928.60427,92701841.0052
1614,82,382.990363788,153418425.855,1027855.25488,92711593.7482
1475,84,668.704232019,125768705.628,1014276.10161,92668898.7707
396,13,19262.5592264,106589344.401,1752031.02514,91979081.1514
1593,85,317.74056621,133752119.363,1016865.5248,92715607.7667
1606,78,1410.94660427,125754344.977,1033009.88938,92689120.3232
1619,82,271.349420763,154833482.229,1027577.26047,92720152.8363
1554,80,821.628029948,125768705.628,1038662.95919,92663127.5982
1710,80,1030.27538777,125754344.977,1037187.99145,92568132.3378
1469,75,1125.23079906,154853386.422,1069325.6247,92642757.6763
1506,85,496.542057929,154853386.422,1012040.96601,92698427.7765
1675,74,603.066201385,125768705.628,1087778.43121,92653141.006
1552,78,2023.44292027,154853386.422,1019087.20104,92637813.8431
1528,79,676.341653975,125768705.628,1052169.75984,92648402.5446
1541,82,2002.03574506,154853386.422,996934.969241,92584674.5689
1695,85,458.921844356,154853386.422,1003874.53857,92682685.8414
426,14,16387.3811238,123881451.048,1951063.67336,91885735.928
1541,77,809.875312214,125768705.628,1053682.18577,92705924.2109
1545,84,1919.13848484,154853386.422,989584.494782,92629704.5735
1553,77,1746.19288809,154853386.422,1029589.18678,92572391.6774
1567,81,1445.31768695,154853386.422,990443.231591,92656179.8721
1459,80,1006.31669931,154853386.422,1035179.18428,92642352.4749
377,11,18078.0148849,143478281.576,1869533.88336,91420041.1971
1431,75,726.587020476,154853386.422,1076963.86823,92612923.8876
1196,56,2329.19634536,154833482.229,1180403.66612,92532926.7633
1555,78,1101.25309696,154853386.422,1046941.49499,92675632.9743
