n,hit,dist,nabla,sigma,hv
2238,95,260.209302867,154853386.422,970284.744113,92718767.7158
2767,97,472.25625461,154843519.455,955975.420721,92687202.045
2364,97,160.9291676,125768705.628,956011.371194,92724084.4559
2042,89,998.950115227,125768705.628,982788.402398,92658740.4659
2244,97,80.1538464975,154853386.422,954998.009576,92725808.4303
2525,93,324.451613163,154853386.422,978537.124669,92718436.6078
2307,97,95.142857265,154853386.422,967245.136309,92723838.2109
988,37,6902.28049982,154823615.858,1361141.34264,92564043.4282
2646,97,95.3431580172,154853386.422,960991.992339,92725888.0768
2238,95,296.656653962,154853386.422,970310.262606,92710608.0771
2216,98,95.2860324812,154853386.422,956979.234652,92725292.2006
1998,94,147.806526267,154853386.422,976398.567934,92696345.3803
2906,96,87.667374462,154853386.422,963982.625907,92726018.4044
2494,96,248.255274509,154853386.422,961973.252722,92724125.2352
2318,96,153.358050972,154843519.455,963974.176756,92725687.9231
2248,91,905.525755968,154853386.422,977503.137474,92656955.4084
2056,88,918.376945157,154853386.422,993659.682529,92657166.2056
2351,93,482.89655646,154853386.422,979605.555544,92680608.5112
2320,96,154.697034049,154853386.422,964126.552624,92725895.4638
2519,97,95.9491526656,154853386.422,964136.297289,92725720.205
2411,97,325.341004308,154853386.422,957989.65612,92706078.1411
2199,94,599.273309778,154853386.422,964167.604644,92674220.8518
2171,90,857.350542276,154853386.422,978554.215158,92661161.3791
2271,93,497.195279107,154853386.422,970122.568831,92711042.7363
2321,92,185.777779723,125768705.628,984898.799756,92716897.632
2833,97,300.138947494,154853386.422,961053.629065,92710294.0696
2335,90,872.293109702,125768705.628,979628.579716,92672754.8161
2538,98,94.3500001212,154853386.422,955980.834084,92726408.0509
1548,73,1436.99251939,154843519.455,1053549.9006,92657570.7704
2638,97,8.22834989496,125768705.628,963015.196881,92725560.2013
2168,92,415.405230412,154853386.422,977466.775768,92694670.4235
2291,96,461.909668752,154853386.422,959981.579306,92698155.6995
2422,95,102.338329889,154853386.422,969087.227803,92721129.7855
2115,93,99.3157896012,154853386.422,980770.88831,92719827.0888
2675,97,0.0,154853386.422,963133.118584,92727516.9094
2388,96,96.1528663655,154853386.422,964993.120936,92725925.0782
2260,97,31.1518987609,154853386.422,961991.553959,92719705.0782
1020,61,1402.50737491,154853386.422,1151529.46139,92648605.7755
2411,97,247.21218512,154853386.422,959968.476846,92724148.779
2628,95,374.91755225,154853386.422,962969.853251,92699058.4973
2470,98,0.0,154853386.422,959952.771453,92727734.8317
2448,97,183.493723986,154853386.422,957965.759398,92725549.3222
2476,97,245.663883334,154853386.422,956975.755073,92724132.2352
2365,96,96.5628999108,125768705.628,967049.959671,92724422.2028
2284,98,94.9433963483,154853386.422,958964.854903,92725884.9199
2107,98,0.0,125768705.628,961967.9675,92727821.0879
2038,90,641.710821381,154853386.422,991308.116986,92656646.1027
2334,98,263.59336126,154853386.422,954009.038371,92724680.0924
