n,hit,dist,nabla,sigma,hv
591,25,7162.9123767,125768705.628,1563558.99875,91931001.4248
567,23,6497.44571907,135437513.48,1645196.23624,92144280.2251
589,31,3496.68933375,122228996.303,1477439.9791,92476026.5156
591,31,4981.46848288,122226604.093,1441851.32968,92083534.9326
372,17,15547.4263767,143478281.576,1889151.78634,91903235.7111
662,32,8207.60795419,125316300.682,1409864.33163,92261911.532
606,33,6218.95420137,122213154.067,1382106.48105,92315402.0089
597,23,6303.73215067,122039652.064,1755194.47317,91654724.2774
624,27,8219.37670049,154853386.422,1426520.82905,92298294.9172
592,22,11649.0102175,154833482.229,1599627.67056,91778568.2301
643,32,5537.00001794,133752119.363,1428519.6508,92252565.941
626,27,7286.21533183,154853386.422,1514857.9356,92226959.815
635,28,12125.6119575,138686358.665,1487795.26663,92477531.6947
618,30,5741.91603506,145551860.234,1429867.87892,92082364.2842
604,32,8059.81782452,133245508.564,1474226.7808,92260762.6153
596,25,6795.98524426,131328181.6,1532771.76607,92130483.9367
654,34,7034.05408738,125768705.628,1340293.85043,92447516.6214
609,22,10258.5454612,133734864.411,1608475.42133,91948654.7828
626,29,5919.30291014,124600928.647,1494240.04849,92234082.2382
629,24,8210.01743275,154853386.422,1439993.73846,92139118.2846
473,20,9843.93785956,137557108.095,1551126.41272,91846968.3534
612,32,6051.05992529,119154367.948,1460011.78128,92283725.3999
530,20,8034.26834613,134689040.242,1685407.11642,91863144.5892
609,24,5583.60368097,124823550.517,1672149.03934,92427085.5231
616,28,5921.5110357,126401087.195,1447397.56062,91844852.8563
538,25,6427.30209234,154833482.229,1534540.94796,92505010.1801
525,22,11464.340757,123236332.548,1645852.955,92052991.449
599,26,6613.33855038,137894142.988,1519921.84847,92265249.9822
602,25,10013.0700005,153659846.332,1517850.62332,92158407.4497
647,37,3914.70335364,122564913.643,1364450.57981,92362333.8932
622,29,8621.9777904,125643341.383,1427296.1419,92396331.6248
602,26,9224.74264464,154853386.422,1550406.32257,92230094.572
581,32,7042.12611391,123758407.092,1403144.67355,92455115.0125
642,18,11395.2024593,123236332.548,1682679.87957,92126948.5325
614,29,9097.41365357,132964264.753,1436710.61104,92430849.4645
536,18,11155.7143017,112837512.106,1810278.99172,91507437.875
567,33,4651.6807552,125343165.39,1501291.75192,92356420.6592
599,20,12276.4864249,125768705.628,1567475.01583,91845817.2007
581,25,5369.66123934,110829597.239,1583208.59525,91983569.164
639,25,14535.7544834,142720863.127,1456302.551,92042666.5693
658,33,6595.52824468,117275564.509,1350912.74274,92390618.8676
623,29,8298.72696995,125459037.046,1409901.90413,92059009.65
652,33,8294.77080457,153358879.228,1332249.17735,92391860.8707
605,25,8883.90183625,132621765.941,1445015.2749,91961840.8395
670,30,5934.45050485,127890844.833,1472353.65943,92324122.5304
672,27,12437.6750172,136472511.929,1378113.72992,92226461.9839
601,22,12037.5324581,131679525.278,1536932.66614,92108555.8858
565,32,5017.797118,154843519.455,1562042.4797,92154292.307
565,32,4684.40275447,153418425.855,1429782.05331,92405031.766
613,26,10169.0432888,123385204.311,1477193.6472,92295195.9932
614,28,7797.82565037,143496771.37,1580961.56531,92252349.9559
607,26,12566.3923487,137005012.266,1532153.94981,92329444.8543
582,24,8138.98156933,154843519.455,1465023.40652,92354540.6213
652,39,7002.8754987,123907690.884,1355062.83696,92047530.1229
588,20,9878.82476413,137216638.942,1608781.34135,91729841.974
619,29,13208.0952483,143496771.37,1407750.94495,92334876.9033
686,36,3136.38705793,132490898.989,1326550.53026,92293917.0655
607,24,6141.27667605,125754344.977,1574549.35417,92333183.2238
579,29,8187.58572883,121757891.08,1561966.79265,91688287.3797
609,25,9900.47453844,154853386.422,1534498.6057,91991082.5199
582,27,9981.44278791,143496771.37,1498817.61459,92082423.0496
662,33,6543.13585345,124586631.69,1371065.32775,92430912.3163
618,31,5718.1179376,133733095.706,1446434.2495,92410602.7885
617,25,5135.96070313,133714151.49,1606572.93375,92137088.1539
599,30,4705.47144668,117441131.484,1472835.42913,92439278.6263
612,26,6655.14286382,124552365.282,1480984.6348,91977025.8758
611,30,5281.0268282,137542903.412,1434634.65874,92303017.9025
637,31,10129.5962707,133752119.363,1442182.28805,92369497.02
629,32,4558.61928907,154833482.229,1463126.45391,92475140.7398
573,25,10773.9268466,125029720.044,1505790.21561,91841429.5277
545,15,11241.5513817,126501590.998,1960802.86697,90589077.3012
630,35,5329.54812294,126042539.175,1378114.27024,92508334.06
618,25,8938.76042034,154009957.195,1562063.18845,92287537.6968
632,28,7722.57674992,117580670.121,1458823.96186,92192929.5961
627,30,9256.0815593,143461440.363,1440217.84421,92168119.2209
692,29,7179.57619999,123524883.128,1367827.29718,92132385.6096
530,18,12189.3407885,154853386.422,1627651.264,91573271.3186
630,28,11714.5597097,143496771.37,1383854.04265,92116918.3634
646,35,5779.41598771,142346075.021,1395119.24946,92288896.8822
658,23,11863.009761,125085170.088,1498976.05155,92363772.8966
535,16,15248.2447736,114178618.059,2156504.00082,90533964.6943
615,22,9576.59349651,131450380.619,1520071.55154,91922389.0633
644,27,12289.8425296,145551860.234,1331839.54231,92412641.5264
480,23,6333.15909573,120165859.481,1661969.07824,91973573.364
606,26,11723.1962768,154733615.08,1467802.46803,92188801.9254
589,28,7839.82761316,120125179.34,1477427.20585,91796266.7107
656,31,6060.28951276,142346075.021,1406295.03232,92400059.3948
638,28,6895.68247521,136862632.754,1516050.87354,91875636.4946
