n,hit,dist,nabla,sigma,hv
476,19,9273.09950908,124796215.058,1654279.4824,91807583.929
1399,75,1380.06718896,154853386.422,1066036.0193,92570894.7519
1311,73,656.555851152,125754344.977,1087217.00845,92666015.3466
1307,68,3173.65894196,125752472.28,1064118.48988,92646920.3144
1327,76,1650.45783996,154853386.422,1038593.03464,92527397.2687
1399,75,819.409215407,125754344.977,1066492.59202,92613544.8218
1433,72,2483.15256836,125768705.628,1039297.66688,92590910.494
1419,78,1854.02339134,118378771.22,1017345.00066,92639967.7651
1284,70,2025.54570353,125768705.628,1062619.65804,92573712.4062
1491,78,2035.07417469,125768705.628,1030439.00399,92654567.631
1394,77,1170.68582766,154853386.422,1045341.66328,92654707.5829
754,34,5783.62791264,114240269.4,1453482.93588,92028872.6267
1465,72,1684.88890892,125754344.977,1091256.06905,92601526.8028
1543,66,2413.95244567,154843519.455,1087271.20649,92506710.1515
1323,62,1216.17647905,124600928.647,1145393.12434,92632575.3991
1339,65,1435.99717353,143496771.37,1123527.30919,92643762.5351
1341,75,1999.83872883,127105283.471,1049710.57708,92660420.7154
1298,66,1246.83103952,125768705.628,1110574.19943,92642126.64
1296,72,1028.82133387,125768705.628,1098053.5449,92671072.9891
573,29,9966.81499956,134606220.677,1441239.25227,92199975.0879
1319,74,973.44964956,154853386.422,1075915.93397,92593302.0059
1297,68,1126.91235483,154843519.455,1104087.4461,92635109.5315
1373,76,1255.96332767,125768705.628,1035919.69932,92693422.2989
1453,74,2083.04137112,125768705.628,1040595.16538,92635388.8098
1507,80,1332.58812231,125768705.628,1021836.95836,92614397.8335
1355,72,1203.95707492,154843519.455,1060682.03302,92664354.2364
1474,80,299.945024028,154843519.455,1061221.03423,92685985.769
1312,68,2300.33510883,154853386.422,1076927.9397,92614969.7546
1369,71,1270.64676069,154853386.422,1081442.89782,92638054.2883
1404,77,1408.16465337,146760851.487,1029946.36188,92710885.5334
1380,73,1966.60637042,154853386.422,1043121.95044,92613867.9403
