n,hit,dist,nabla,sigma,hv
1385,65,2951.65499977,133733095.706,1114499.12475,92573314.4278
1215,34,6414.39394142,143496771.37,1434281.73027,92069557.4785
1198,70,2098.67268326,154853386.422,1073837.48849,92662295.1969
1296,60,2709.89947677,125752472.28,1105467.92001,92614884.1622
1199,68,1209.08356105,138686358.665,1088645.14038,92667181.8943
1258,64,2340.39607939,143479929.175,1117691.97242,92573623.6014
490,19,8576.97624154,124809225.092,1688067.95217,92069003.2144
1128,60,2385.88923252,154853386.422,1166129.09134,92656301.6401
1194,66,1700.84987137,143496771.37,1106594.26577,92619335.1981
1176,59,2491.42774462,153408601.701,1153550.08206,92599255.5883
1273,67,871.955059671,138668477.231,1127782.22929,92682680.9272
1197,46,3553.68167543,125738112.516,1231416.58205,92576720.946
1002,54,2311.13491314,153418425.855,1218229.94558,92537668.969
1254,62,1691.02071277,125768705.628,1143520.98923,92635655.3862
1127,49,3434.48277476,154853386.422,1255223.07461,92476076.7909
1303,69,784.097038014,154853386.422,1125573.31076,92330929.3085
1373,74,1324.83040586,154853386.422,1053618.36456,92670353.3164
1158,56,2237.9221579,153418425.855,1190288.45832,92531259.5142
1266,72,2284.80878946,125768705.628,1065424.69916,92574687.2859
1287,71,1386.21845175,117456382.136,1081804.12228,92634421.2925
880,41,4778.59846389,143479929.175,1318376.20579,92550529.4667
1291,63,3033.80109859,123236332.548,1085920.22884,92441571.9752
1308,66,1423.01391604,154853386.422,1105214.44711,92707271.793
1258,59,3126.43387277,154843519.455,1159572.46525,92652106.9788
1380,68,2458.2292047,154833482.229,1068038.7179,92525372.4912
1243,56,1484.1359372,153418425.855,1208739.57687,92590860.5786
1309,68,1737.69496703,154853386.422,1086822.40882,92625873.8878
1298,67,1836.36716072,154853386.422,1095917.05591,92671014.0775
1240,68,1695.35677896,125768705.628,1077430.22742,92644600.1411
1164,64,2018.08889508,154853386.422,1115966.74386,92576313.9496
1145,47,4159.78085853,126021669.17,1257866.25829,92143636.1819
1305,68,1245.18997313,125754344.977,1121419.65129,92352733.8452
1268,54,3873.62271414,134732042.226,1193079.06917,92095402.3444
1317,65,1006.45483231,125768705.628,1133874.62457,92651550.2253
1332,71,1587.62240242,143496771.37,1077257.41374,92598323.0629
1334,67,1209.09422302,138686358.665,1109673.72901,92647254.2827
1217,65,1731.44324342,153659846.332,1113177.58876,92632323.4635
844,45,3033.87319857,154843519.455,1280779.07587,92448486.0856
1315,55,8704.47226448,154853386.422,1170639.30581,92531627.0404
1275,70,945.93716647,154853386.422,1108575.57245,92644459.2486
1212,64,1516.77904563,125768705.628,1122628.7933,92634048.5586
1292,66,2017.32979362,125768705.628,1083552.98181,92585269.3566
1272,68,1951.79736338,125768705.628,1082715.60047,92659508.0587
1251,70,1181.8527144,154853386.422,1070528.83385,92684947.7679
1163,66,4024.41555216,125738112.516,1083911.51111,92653957.2387
1281,66,786.968750695,154853386.422,1135417.03779,92641422.4257
1293,73,976.859651615,125768705.628,1061689.11836,92679202.2131
1250,64,2295.27482956,154853386.422,1124477.87427,92583630.0027
1246,65,2850.23757557,154843519.455,1095378.54402,92584241.2446
1215,65,2255.30543941,125768705.628,1088803.27048,92575751.1797
1103,56,5156.57828307,125752472.28,1210945.23108,92550500.539
1262,66,2782.53370834,154853386.422,1066520.47467,92542020.6256
1145,55,1884.72897738,125768705.628,1212855.80507,92481769.3894
1266,73,1298.71431298,154823615.858,1074845.07469,92659868.7195
1214,62,3271.70380837,124600928.647,1103846.22599,92549208.8824
949,47,4105.95191092,133752119.363,1235237.93171,92555321.0495
1225,62,2077.171429,153408601.701,1147807.46411,92640656.5807
1289,59,2466.32753866,138803657.366,1127123.95907,92671487.7764
1172,56,2631.03551917,125752472.28,1148472.21783,92496051.3096
1192,42,4736.65715527,125754344.977,1292918.65454,92032889.8855
1338,67,1835.11202989,143496771.37,1101992.6007,92612857.7295
1259,57,4910.69648871,143496771.37,1098533.5288,92387624.8965
1253,67,4019.79169444,154853386.422,1068328.9677,92546635.6618
1189,62,1724.74928658,133752119.363,1131590.60175,92622434.0777
1161,66,2187.17225738,154853386.422,1113600.32537,92615215.8986
1287,63,3595.02235486,125768705.628,1112062.17602,92628586.8643
1118,56,3747.65831607,154019798.975,1184356.82638,92574856.894
1332,65,1714.55775249,133752119.363,1125231.35521,92616882.5167
805,36,7330.11251168,153760236.698,1381734.03986,92389480.5407
1310,70,1595.29396601,153418425.855,1073172.06475,92608648.7785
1344,73,2870.45701864,125754344.977,1048035.06632,92522562.6788
1239,63,1980.94770784,132667949.639,1133613.0518,92607873.7821
1290,58,3044.95484283,143496771.37,1137242.24805,92461571.1505
1289,66,2551.51454035,143479929.175,1089323.45192,92263434.3664
1338,62,4855.36391736,125768705.628,1182821.07299,92548327.6161
1280,64,1974.63045237,138214907.209,1096561.62035,92598200.0559
1286,71,2070.42931972,154853386.422,1069119.12707,92593410.317
