n,error,dist,nabla,sigma,hv
2820,93,404.258569647,154853386.422,968261.050858,92695555.6559
2977,98,96.0669457539,154843519.455,957960.913216,92726382.1613
2352,84,1091.90890795,125752472.28,999906.469338,92686126.7165
2759,98,94.0416682193,154853386.422,955987.582022,92725839.3169
1782,73,1720.93941509,154853386.422,1059723.24869,92635781.6648
3074,98,85.3416682193,154853386.422,955982.456381,92725930.4984
2866,98,259.851259303,154853386.422,952057.519876,92719704.8291
3035,98,94.5469729815,154853386.422,956977.013767,92726139.9675
2682,98,94.1538462748,154853386.422,954995.560796,92726408.9811
1947,76,1250.07713396,138658221.149,1028280.34663,92629345.0619
2814,96,224.995771809,154853386.422,970285.059129,92717727.5602
832,40,4481.49606873,132667949.639,1337537.44198,92507616.8936
3273,98,170.341666811,154853386.422,955976.298974,92726089.5136
1537,71,1411.87306356,143496771.37,1073907.67527,92625578.0037
2970,98,504.663922203,154853386.422,951079.466191,92684136.8202
2731,98,93.8461553956,154853386.422,955002.550289,92726247.4104
3317,97,8.81012658234,125768705.628,961967.683997,92726835.5799
3110,96,518.035347382,154853386.422,962236.133845,92679319.1948
2626,91,870.13090618,154853386.422,977529.93737,92656339.4866
2336,75,797.16154276,146760851.487,1060250.51206,92688962.5557
3083,96,286.429478309,154853386.422,960959.610784,92695114.4837
2760,98,94.5469729815,125768705.628,956980.021143,92726408.9811
2939,97,0.0,154853386.422,962964.017322,92727825.5195
1564,75,1591.15039007,125768705.628,1049603.37476,92618738.1547
2509,98,94.7447699962,154853386.422,958115.849644,92726352.8483
1215,42,5614.19522581,126829141.06,1240024.68134,92514094.3592
2664,96,471.416846759,154853386.422,961120.554537,92676534.2628
2975,96,542.574117486,154853386.422,956984.897598,92685398.9944
2468,91,713.709961243,154853386.422,981695.105895,92655507.7904
2443,88,810.423167404,154853386.422,995840.092489,92653182.8697
2843,95,728.277666395,154853386.422,956976.902852,92673813.344
2394,97,95.142857265,154853386.422,967237.660895,92723772.967
2885,96,96.1528663655,154853386.422,965011.596551,92725262.2922
2385,90,668.980137181,154853386.422,991470.078328,92657545.318
3244,97,95.6054853705,154853386.422,961977.527447,92724983.6418
2843,98,0.0,154853386.422,957963.3221,92727613.1757
2758,98,94.5469729815,154853386.422,956969.037466,92726408.0337
2551,98,94.7447699962,154853386.422,957967.671054,92726095.8428
2970,97,95.5443039202,154853386.422,961977.101638,92725998.356
3014,96,486.238000197,154853386.422,964231.253792,92683407.9977
2528,94,471.723409448,154853386.422,966023.585225,92692458.7335
2892,98,94.5469729815,154853386.422,956969.662499,92726402.0958
2915,95,242.049149874,154853386.422,975398.388181,92692581.5569
2618,98,94.0416682193,154853386.422,955981.013256,92726182.313
2694,99,0.0,154853386.422,955980.297605,92727819.6987
2966,98,94.1538462748,154853386.422,954995.560796,92726408.9811
2970,98,94.1538462748,154853386.422,954995.560796,92726408.9811
3063,98,94.7447699962,154853386.422,957974.692115,92726063.4402
2794,89,137.406741767,125768705.628,992626.649037,92717632.5825
2882,98,0.0,154853386.422,958957.873429,92727447.9093
4126,97,179.104168695,125768705.628,955999.44562,92723556.2228
2652,88,887.134533973,154853386.422,999033.472618,92653556.6311
2600,89,1694.30299107,154843519.455,964017.559167,92678568.2375
2857,97,95.5443039202,154853386.422,961998.807013,92725729.6234
2729,98,94.9433963483,125768705.628,958977.413067,92726033.5059
2797,98,94.5469729815,154853386.422,956969.228057,92726408.9608
2434,82,925.869491675,125768705.628,1011379.10717,92684048.3155
2723,98,252.275362561,154853386.422,953035.553343,92724416.004
2299,84,563.683104055,143496771.37,1014363.59563,92714132.9624
2467,98,94.3500001212,154853386.422,955984.253444,92726196.267
2744,97,86.2400015689,154853386.422,960962.883731,92725714.8647
3098,95,673.842771828,154853386.422,966227.06015,92673226.0311
2651,94,316.163461302,154823615.858,971207.61234,92701523.0687
3131,98,94.5469729815,154853386.422,956977.96526,92725860.3739
2520,99,0.0,154853386.422,956968.498215,92727825.8898
3112,97,13.8921776721,154853386.422,962966.809961,92724612.0781
2072,69,940.738890601,125768705.628,1102710.34366,92688286.5299
2879,98,94.3500001212,154853386.422,955981.071072,92726319.8689
2615,98,85.3416682193,154853386.422,955989.926862,92725841.1697
2502,87,16.1401869181,125754344.977,1011913.47316,92722364.7727
3009,98,94.5469729815,154853386.422,956969.132548,92726408.6734
2401,98,94.1538462748,154853386.422,954995.560796,92726408.9811
2523,92,509.054466376,154853386.422,985037.573471,92704125.076
2651,96,603.271611053,154853386.422,957322.638663,92689464.8775
2940,98,267.95218755,154853386.422,954996.799122,92700804.8384
2564,98,85.5198345412,154853386.422,956981.295198,92723953.5012
3183,98,94.3500001212,154853386.422,955980.644596,92726407.0353
2841,95,760.34730381,154853386.422,957963.28537,92616423.4647
2763,98,94.5469729815,154853386.422,956974.352602,92726071.1422
