n,error,dist,nabla,sigma,hv
1510,69,2078.13826387,49468056.8723,179308.51843,51157800.1467
864,35,23291.055369,43773979.2517,182319.078353,49915567.7015
967,54,8739.50000483,42645115.0552,214251.43216,50050079.8452
670,20,23394.6989891,49468056.8723,226315.977094,50104746.6379
1225,71,1922.74853068,49479512.7286,178350.013721,51155159.4826
1488,77,1037.14285809,46647396.1656,175748.195233,51160551.6353
1181,60,13114.1369066,54247090.4744,227407.429108,50211866.7298
1279,57,6376.96057409,47516157.0037,180886.627833,50752356.7558
1251,66,6696.092881,38794124.2881,183276.810683,51099654.938
1271,72,795.239130889,47981170.879,178374.894464,51134629.957
1255,68,9965.68484919,49479512.7286,171963.876442,50686811.6936
1308,54,2141.80000145,43665321.359,192272.489145,51170204.9674
1040,64,2764.11076093,46056733.912,160972.005427,51117104.5713
1375,70,1285.70700786,50511896.3078,180112.974863,51178651.1454
1571,72,4856.44680869,43427228.4642,187958.423611,51083219.8082
1374,73,537.882353605,51523112.2667,192749.460701,51049195.3087
1419,65,1825.28475687,42649054.7943,199811.51038,51112887.4123
1140,57,1755.28057594,49479512.7286,191724.581509,51163220.3765
1270,71,1443.22539712,43061405.5389,178718.092764,51128384.7512
1396,81,706.402332448,48221134.471,174501.56761,51193068.7202
1080,67,2789.40184171,50511896.3078,178363.177402,51162587.882
1127,60,2906.73883233,41656237.7093,175811.323356,50728275.5548
1350,67,9106.78419505,41901859.7638,177756.127723,50493682.6923
1285,62,5400.69204156,49468056.8723,199971.286696,50931121.2917
1422,61,23366.6591642,44993078.0368,227197.206191,50609741.8652
1185,61,3331.16140398,49479512.7286,174942.457701,51022583.5137
1465,74,1885.25298782,54593674.5195,176020.202035,51165304.1218
1558,74,2590.61300345,49479512.7286,177508.789338,51117082.5443
1206,76,1799.99416982,49479512.7286,171063.320091,51087135.4242
650,20,48151.2099651,50577991.828,305084.227308,50717194.2173
1210,72,2422.78125008,49479512.7286,179481.696316,51168344.2452
438,11,32100.7071547,49563207.1103,366636.763075,49366279.5324
1240,71,4821.14067592,54593674.5195,177269.620614,51108681.8457
