n,error,dist,nabla,sigma,hv
2016,82,385.055024597,154853386.422,1029135.06341,92708939.5284
2061,92,1034.60844349,154853386.422,961072.272586,92672014.7686
2087,88,332.300227435,154853386.422,1008092.88184,92690770.5685
2086,93,612.713085944,154853386.422,961979.001653,92694613.1861
867,42,3589.58740626,124857891.533,1285405.62923,92494961.1487
2013,92,697.30736407,154853386.422,974262.086043,92675850.7834
1175,53,3181.16771087,125768705.628,1182379.08498,92403737.0128
2044,91,695.771766474,133752119.363,983794.742357,92663668.4274
1886,86,331.592079614,125768705.628,1010986.70127,92684753.3313
2316,89,1400.47337036,154853386.422,967202.331116,92670706.9216
1998,92,713.778014689,154853386.422,970298.074803,92690752.3882
2011,92,174.549668963,154853386.422,983858.581542,92715735.6868
2032,92,307.631583765,154853386.422,980712.115966,92694822.2162
1013,46,3602.71074159,138686358.665,1266777.35003,92592383.3695
1887,84,1504.01572523,125768705.628,999231.36818,92611694.8374
1983,94,839.795811967,154853386.422,968262.46806,92694453.3568
2014,91,351.145374969,125768705.628,982826.630773,92704956.4055
1401,59,1779.892139,125768705.628,1153306.83492,92252935.2559
1968,88,964.821196901,125768705.628,984021.928244,92659778.1883
507,23,11226.1781804,120171466.738,1724220.20798,91369647.8761
2059,92,304.401315935,125768705.628,980656.868474,92718442.1534
1935,86,760.464859044,154853386.422,1004801.0792,92650088.3167
1967,91,107.906667121,125768705.628,987090.698825,92722675.0553
1966,86,699.033507601,138686358.665,997030.301921,92680297.0494
2111,89,503.828447274,125768705.628,1002341.80523,92676858.1512
2064,93,283.468817374,125768705.628,980406.787678,92715660.9784
1892,83,1384.31250523,154853386.422,997016.852018,92649692.8297
1967,85,1475.41059843,154853386.422,993259.887823,92658827.6031
1666,85,806.95434306,154853386.422,1008076.90854,92644601.7573
2181,90,420.66964792,125768705.628,989328.955813,92680657.1607
2171,86,281.168981753,154853386.422,1007600.61875,92715887.9317
1589,69,1349.57070786,125768705.628,1080654.11267,92619792.2903
2040,85,1622.07048968,154853386.422,992283.1368,92635884.9852
1992,86,1650.73365556,143479929.175,986125.041574,92627048.6869
1973,94,386.738217944,154843519.455,970283.453616,92714871.8557
2210,95,0.766254329684,154853386.422,974321.390987,92726031.3233
1837,85,772.632188882,154853386.422,1011633.63716,92652008.7568
2022,93,57.0436682072,154853386.422,978555.719557,92725138.9448
1755,90,591.834443951,154853386.422,983814.056735,92684459.107
2124,89,1237.96008986,133752119.363,991067.386809,92700859.1389
2052,85,919.72377094,154853386.422,1008252.29088,92650366.371
1926,91,1708.34737464,143496771.37,961127.294726,92689583.5068
2023,88,553.546880216,154853386.422,989511.217574,92677648.4885
1943,90,548.488894541,154853386.422,987320.204855,92654940.6269
1977,85,1653.03100155,154853386.422,992591.043667,92624440.9371
2131,91,666.004357731,154853386.422,977715.729017,92702088.9334
1332,62,1592.22884732,125768705.628,1120845.32334,92526569.8154
1954,95,252.517167633,154853386.422,977546.169525,92715737.7867
1916,91,173.301553468,154843519.455,986010.025938,92722517.804
1710,93,812.766830553,154853386.422,960216.788263,92685823.913
2086,92,301.126637762,154853386.422,978673.897,92721850.8811
1704,72,1017.84023227,125768705.628,1076841.65745,92647379.5237
1834,89,532.196837427,154853386.422,995915.608147,92679669.2508
1928,79,1501.15217936,154853386.422,1042003.26169,92653379.4548
1981,91,180.903085916,125768705.628,982749.305089,92720810.1479
2185,93,776.470107996,125768705.628,968099.012468,92697975.2919
2085,91,277.072529137,154853386.422,981692.617207,92716722.7165
1882,87,783.538466672,154853386.422,1003513.62111,92651570.9474
1865,87,716.622177335,154843519.455,996020.734843,92668361.2356
1945,89,750.336285263,154853386.422,984933.849265,92691808.3243
1852,89,678.922055458,154853386.422,988343.995897,92665553.9037
1766,88,674.072567176,154853386.422,1004754.73726,92654086.3059
1854,90,406.890616836,125768705.628,979824.064781,92691543.9187
1959,86,692.662850531,125754344.977,1010518.40854,92657909.5682
1871,89,534.826668656,125768705.628,987079.624277,92696077.137
1967,91,547.443478546,125768705.628,976388.536192,92724116.2705
2065,90,331.991091483,154853386.422,988311.704697,92721530.6459
2086,91,197.605666696,125768705.628,977603.266,92720690.5926
1781,90,982.049147257,154853386.422,968213.666337,92715282.6553
2149,95,98.0259741519,154853386.422,974331.382966,92726129.9922
2005,92,219.213509249,154853386.422,977485.340101,92723933.9612
