n,error,dist,nabla,sigma,hv
1598,88,768.266224166,154853386.422,990548.153191,92669034.6255
2013,93,437.740827059,154853386.422,973257.17328,92684750.4915
1891,89,573.328863854,154853386.422,997880.884771,92681294.0698
2075,94,651.932208293,154853386.422,964003.725316,92682407.7155
1920,90,1011.34337037,133752119.363,970127.321417,92691849.7811
1907,93,583.115389464,125768705.628,975601.697961,92687234.6643
2123,95,154.221989158,154853386.422,962995.781374,92725462.787
667,32,7531.76395024,115610275.995,1433373.93572,92128702.6718
1914,94,602.771367646,154853386.422,968146.257677,92722427.7287
1950,94,698.231422649,133752119.363,972317.445522,92702214.4206
1868,86,1516.24506098,125754344.977,991331.000835,92640889.6993
1981,94,165.817596963,154853386.422,970149.804311,92724579.8233
2092,85,639.614319139,154833482.229,1007640.53036,92709759.0157
2226,90,409.759009011,154843519.455,993682.871276,92717174.3527
2214,95,665.644842435,154853386.422,963045.621912,92690869.9953
1839,92,130.603104343,125768705.628,986170.196206,92717035.4848
2139,96,96.7692308935,154853386.422,968085.41421,92725893.0355
1031,41,7061.11878271,142673959.683,1321606.59116,92434796.469
2012,88,1033.99342749,154853386.422,980817.389012,92649447.1855
2052,92,172.314287469,125768705.628,989308.828882,92714412.9004
1913,88,656.510162722,154853386.422,1002332.97018,92656225.9764
2120,94,809.184344267,154853386.422,963995.742775,92694179.296
2113,89,708.042505851,133733095.706,998074.568008,92672276.3579
1881,94,155.974359341,154853386.422,968252.563131,92719290.7212
2181,93,163.620695321,125768705.628,972205.950293,92721089.2039
2064,88,906.515766046,154853386.422,993810.460179,92702795.7455
2174,90,34.4168565198,154853386.422,999528.304072,92723764.8742
1985,85,1056.79081011,125768705.628,1011475.52628,92653894.2198
2019,95,870.556511884,154853386.422,965273.071681,92668894.4961
2024,94,895.832308754,154853386.422,958963.011305,92696872.423
1803,89,867.509829464,154853386.422,985050.317098,92653524.2897
925,48,3094.35960056,143479929.175,1239838.99724,92536467.2328
502,19,10228.9588347,144420954.753,1913578.31986,91293236.6102
2035,86,686.91948842,154843519.455,997899.82818,92681467.5932
1974,91,383.643017193,154853386.422,986222.439853,92710446.3931
1826,86,876.006783214,125768705.628,1001453.59849,92652675.0108
2135,87,329.151031584,154853386.422,1001523.83625,92722891.2919
1950,86,889.247196527,125768705.628,1000291.1658,92651387.7438
1924,88,943.110871656,154853386.422,993485.254046,92614464.4546
2118,85,764.686779843,154853386.422,1016300.73142,92651729.0182
881,45,4250.37729363,137398788.192,1300538.80662,92540216.6645
1826,85,903.804500226,125768705.628,1000141.03557,92656233.8783
1954,95,867.567873067,125768705.628,956985.996722,92683076.6198
2009,95,97.8142549852,154853386.422,973263.820174,92725571.3098
1975,89,655.239378771,154853386.422,990529.503072,92658522.7485
1929,94,338.036331531,154853386.422,968333.145443,92665987.1231
2008,94,183.684571643,154843519.455,970119.412228,92722387.8491
2160,90,798.21179207,154853386.422,978569.912926,92712786.2193
1896,93,631.946120944,154853386.422,972207.28122,92712492.0591
795,34,8105.91429675,153418425.855,1379845.56246,92102851.9287
1687,88,446.07273203,154853386.422,1005923.98799,92662240.0635
2081,92,301.585907982,133752119.363,984130.753213,92693274.6204
1933,85,696.842829763,154853386.422,1007073.02601,92652152.0327
1711,84,1086.21412842,154843519.455,1007074.59892,92649723.7501
2052,93,452.340518848,154853386.422,972180.186593,92724429.6465
2153,93,1497.46218666,125768705.628,959977.940224,92714890.1195
1843,88,676.223451761,125768705.628,992604.244991,92702925.221
1953,93,140.848812456,154853386.422,973220.337069,92725236.7921
2017,90,868.474950739,154853386.422,984866.884908,92631185.3479
1972,92,113.820196508,125768705.628,980611.163925,92716785.4601
1796,92,418.673223442,154853386.422,977441.025517,92708346.3383
1959,90,624.975776008,125768705.628,982925.746095,92668475.2882
1944,90,934.159827602,125768705.628,980734.287885,92692650.702
2304,94,180.819956645,138686358.665,975335.779093,92720018.6263
1258,52,2584.52274065,124552365.282,1202972.07244,92450689.9714
1957,92,469.272533515,125768705.628,981725.839596,92676479.7533
2090,92,202.528261271,154853386.422,976426.619631,92724451.0689
1964,91,695.515222188,154853386.422,983824.052785,92655345.0374
1024,52,2740.88645296,132685100.577,1190337.75545,92463866.5604
2078,93,835.494714611,154853386.422,965016.113794,92695597.2194
829,41,3241.13600682,123907690.884,1338791.13576,92500319.7606
2014,85,718.655200803,125768705.628,1011686.87409,92651570.7553
2233,94,225.99353461,154843519.455,979574.554319,92704906.6233
1823,89,320.9616253,154853386.422,994986.812191,92715391.6667
1966,95,492.96617786,125754344.977,962992.198129,92689968.029
1864,96,733.252089291,154853386.422,952110.719914,92697791.0671
1922,91,646.829699008,125754344.977,978522.934948,92664538.6494
1881,90,497.909493943,154853386.422,991506.243222,92706871.9988
1967,86,401.177018178,154853386.422,1004065.27129,92652059.228
2019,95,772.786168277,154853386.422,966233.207536,92692311.4081
1953,90,859.098258252,154853386.422,985971.081328,92655340.4933
1931,87,914.695387378,125768705.628,991500.608387,92692946.7814
1936,95,126.077587811,125754344.977,973493.927632,92705975.6451
1075,60,1961.52853604,125768705.628,1155834.59777,92541390.7785
1008,44,7746.64656159,137935240.23,1169503.1011,92410808.8408
