n,error,dist,nabla,sigma,hv
923,42,21500.4533805,46116858.0652,214872.389502,49821664.4529
1014,52,7949.24446795,40995732.4332,213900.789729,50228117.9298
1020,49,9647.55952569,50634509.666,207294.113448,50919492.8167
926,51,14451.2533901,39846345.3732,252127.25461,49444421.2749
935,50,1623.22406857,39314939.1257,212274.236452,50972165.426
896,52,4693.70666833,54247090.4744,188902.369612,50973007.4013
988,54,2289.11494294,49459095.7293,205516.402214,51026052.4679
1057,46,13422.4569307,39314546.3208,216385.609638,50568297.2365
1030,53,8930.75912654,41849766.0183,245366.029579,50401993.8769
899,49,7938.90769421,48209940.532,223356.13662,50436606.8819
1033,53,3813.19485349,41958187.9053,174918.675443,51124056.8555
552,29,7814.51741513,42384756.0501,240837.011937,50439206.8394
1086,46,18445.9246597,49479512.7286,169861.675591,50320106.0186
880,47,6806.98431603,46116858.0652,256682.888973,50258761.8491
977,54,9641.57857272,46116858.0652,214696.78381,50322013.853
959,58,2946.69005022,44742214.3824,218039.044651,50946243.9068
970,42,6399.20851118,46056733.912,257963.523781,50725541.0226
996,60,1418.8178703,40852375.1949,191742.211962,50910909.4927
879,43,12896.5673951,51523112.2667,220805.214804,49495743.8222
728,44,3540.5060741,43662130.1009,203615.681988,51056022.4111
962,51,1781.3386472,38730331.7243,205321.390491,51040731.1586
952,40,22896.7309129,42031257.1927,202254.977166,49940038.3469
729,39,5602.69585775,49459095.7293,236721.321119,50619139.3715
1043,49,6577.2153857,49691283.2068,203015.037257,50851938.2438
739,47,2068.15044304,43662130.1009,227250.009621,50906354.0818
900,44,24683.1637033,40745766.5004,251927.501871,50067392.3468
1010,58,3531.94385992,40514575.6731,222561.199423,50886853.6361
1038,48,6500.70652279,42002533.6276,193695.076275,50899596.9047
846,37,8500.09523982,54322143.6789,190178.237186,50971479.8501
948,51,16328.9705925,39582063.06,204773.063366,50345581.1243
846,43,17457.5351194,50511896.3078,241875.807592,50018757.912
976,50,14137.9254301,40605126.2161,210391.296261,50551038.2531
866,46,4101.28400155,51523112.2667,186368.080731,50944094.6919
986,60,24538.3709799,53123350.3723,200210.280075,50865018.1963
757,31,25257.3497986,38721195.0142,258483.508913,49572100.7136
519,14,30200.0387181,40593082.5531,271214.654762,50291467.3983
867,42,4004.40553211,41384546.6863,222886.38134,50809664.099
937,48,17891.5205508,39100485.421,239945.457464,50083259.6452
955,50,4619.45490375,37729151.8184,230448.359773,49992518.6701
874,39,24534.5863495,54726622.2532,244873.089835,50890193.0298
723,30,7421.99033931,49415732.6755,232941.409591,50997403.2797
996,43,2508.36364108,43168155.2391,205235.915535,51066271.5559
1012,43,6092.86245537,51501851.2378,175055.522464,51029305.5826
872,54,3343.18587426,42643765.8838,176336.360503,51111828.4938
913,49,13035.2452134,42031257.1927,202846.024422,50492347.9794
553,17,30464.3651034,48293124.8546,198918.042249,49623067.211
945,49,5082.04905806,39677084.1027,205979.056375,50793291.6321
902,45,4542.19247128,51523112.2667,210098.921665,50720332.963
987,41,22947.3469442,54593674.5195,233202.863003,50120758.0795
874,58,2370.59139932,51501851.2378,192493.092569,51023774.0893
982,57,15373.6453909,41907233.8768,203167.149306,50977787.1514
917,54,13582.2240814,40749251.964,248690.140209,50214784.487
908,60,4935.90681143,54247090.4744,254789.405442,50074549.1681
963,50,17393.3675506,51523112.2667,191343.513804,50719167.1909
847,36,10468.0090532,57340294.9168,231318.520608,51014473.3779
963,45,14736.904413,43608359.7798,201576.491841,50818654.3609
907,50,4027.2023365,38775962.7514,187324.073782,51048257.5196
672,31,36555.2511664,42981872.3819,237977.178076,50761897.0131
1029,50,11912.6114922,54593674.5195,202328.161118,50073911.0016
1020,48,8885.47601649,50511896.3078,200553.707041,51014032.9151
905,45,5406.52245234,37720191.3194,205191.813397,50793066.1492
972,59,3184.70438421,38813574.2941,229395.609543,49800993.5976
1014,45,19785.7147669,44746357.415,231869.627338,50080850.7753
655,32,5377.56179846,49227593.82,248070.650142,50860990.4681
1035,54,2828.40876332,54593674.5195,177832.257235,51119619.1029
1035,58,2197.82857267,38941270.1251,200896.313382,51059114.0546
976,51,6789.61538763,52906325.2155,210489.007998,50505126.9048
963,55,9926.24468205,39846345.3732,238211.770956,49932391.4895
897,35,11078.4449012,46052731.9067,191891.930332,50831927.1351
862,48,4350.04531984,41384546.6863,212144.481036,51013115.877
883,26,16278.8663618,42643765.8838,247221.985862,50587834.7947
948,45,6114.19841617,41235011.2971,183635.445491,50544454.7137
916,59,6330.15772584,42031257.1927,260624.25322,49780699.8167
1053,48,20984.7740874,44746357.415,215969.383301,50256591.3114
632,29,31948.9285742,48457635.272,213752.368988,49855400.7094
794,37,4097.26442498,49459095.7293,219788.362479,51013755.8456
809,38,12196.2700433,49479512.7286,228594.976912,50626258.1085
993,55,23352.7692325,49989841.2904,194904.75286,51072351.9561
853,29,25645.240606,44031817.7016,243721.194727,49881404.9622
994,45,19110.884041,41921956.8271,206806.263184,51026287.6906
1009,40,35167.2440969,52515160.4435,254299.11769,50960507.9636
932,52,6278.35055454,51523112.2667,196880.201506,51055146.7502
968,51,13037.6456567,50500156.8411,183255.976862,50424195.8079
969,52,12164.5757633,51523112.2667,245445.067815,49521547.7537
673,35,21648.6388912,50511896.3078,187562.841828,50018391.0092
275,10,15154.6759283,54249142.6468,436148.236346,49585437.4007
847,41,14087.0625053,49459095.7293,243841.78643,50035041.047
841,48,3791.757938,49479512.7286,215898.825208,51015343.6974
997,53,13434.1418693,43399458.086,197507.712737,50704687.3632
979,55,3576.72222558,54252146.6119,187265.114807,51089362.4694
941,50,5154.98902355,49416982.7097,191000.107812,51035621.1913
879,56,2012.83395438,54247090.4744,197305.439331,51109813.5308
1040,59,4040.51916513,41235011.2971,183534.133963,51002038.5956
951,50,3263.58593928,49468056.8723,207090.352567,50976326.2104
825,42,5553.0502163,49353088.5035,267269.123081,50236007.7078
796,51,2498.4615392,50511896.3078,192420.86181,50999419.2892
797,45,5740.50000074,39723147.0998,212262.614119,50852721.9082
838,33,10448.0776289,43204133.1412,239981.217557,50419413.2257
804,47,4208.48739594,49479512.7286,217237.004226,50966083.1006
672,28,9290.01069562,39878392.042,203727.203812,50928104.6746
