n,error,dist,nabla,sigma,hv
1474,83,741.88983075,49479512.7286,152340.621977,51196747.7131
2379,94,151.591623264,51523112.2667,145229.692303,51214078.2982
2203,91,164.478723673,50511896.3078,162931.686738,51187357.8765
2204,82,8166.81938055,46494719.8523,169311.225975,51035006.4754
2372,96,58.8092785088,49479512.7286,159882.396997,51227979.5831
1412,65,15164.4382038,48330790.1249,213730.211157,50251904.9264
2280,92,187.627968355,49479512.7286,146128.530162,51221868.1438
1911,83,1609.39130458,41859563.1927,173064.878055,50894864.3554
2541,94,0.0,48221134.471,163902.668573,51191551.0267
1457,88,1218.33333396,49479512.7286,162425.932073,51192570.957
2621,91,282.629333659,53592832.8425,147143.355003,51204660.3739
2688,82,1223.13742729,54247090.4744,160366.527795,51064089.1103
890,34,17983.4176724,50500156.8411,259828.003613,50046801.1222
2701,94,44.2572944896,42031257.1927,146212.790557,51212094.3217
2361,92,334.488189077,44942198.3294,161859.820795,51211465.0336
2161,92,83.2500002209,42031257.1927,146995.533489,51210678.4167
1825,78,5290.71098275,49479512.7286,186283.919725,50896535.88
2776,92,45.3709680503,51523112.2667,147200.136966,51216538.897
1780,68,1853.38256192,45300609.3563,167733.458238,51152062.8773
1540,91,344.134564852,51523112.2667,162434.072204,51215822.5611
1945,69,2576.84415844,41384546.6863,165127.909016,51009598.7698
789,32,7942.78802011,41384546.6863,237568.596184,50710757.9063
1846,63,4168.13015981,49479512.7286,164953.126443,51133444.1729
1569,83,606.031339045,41859563.1927,170412.339948,51183074.7025
2513,94,151.08072919,49479512.7286,160795.781798,51224466.3712
1069,57,9002.82178473,54593674.5195,210004.659573,50665766.7566
2478,92,122.660427974,42031257.1927,163578.610183,51212643.7209
2062,88,379.171662231,49479512.7286,165867.2787,51210655.7453
2848,93,173.129287925,51523112.2667,162208.990085,51216651.3479
849,35,11129.5154356,43034015.93,214417.747176,51018661.9455
2526,91,581.195710495,46494719.8523,163326.930458,51215878.0998
2086,90,607.639037815,49479512.7286,163306.699662,51154124.3997
2363,92,223.89973765,54593674.5195,162341.317647,51209135.2345
1479,76,7971.90257944,51523112.2667,219766.368392,50560069.9385
2638,92,202.497340582,49479512.7286,146177.065448,51224896.8909
1707,78,1404.21407695,49479512.7286,157758.06665,51096914.5409
1449,77,649.167183255,49479512.7286,163654.106283,51137366.981
914,46,5402.45600084,49679764.6177,206742.460857,51057231.6203
2541,91,245.257895045,49479512.7286,162377.459529,51222340.0079
2141,84,2242.8384404,51523112.2667,172296.820197,51089247.0438
2489,91,474.186666687,46116858.0652,147061.336199,51213230.8513
1807,92,98.5893333425,49479512.7286,163193.196748,51219588.6172
1805,87,590.950138806,54247090.4744,167919.232477,51195972.7269
2493,92,135.473404475,50511896.3078,163024.872497,51218951.2559
2718,91,1333.00263881,51523112.2667,163765.403537,51202858.5656
2402,93,43.3156500263,49479512.7286,146155.240647,51218567.9868
2732,95,119.901041684,49479512.7286,161112.220761,51224720.5739
2188,93,123.5873016,49479512.7286,145757.036946,51225606.6919
786,46,6251.40573841,49479512.7286,208960.829437,50997821.9294
1947,93,832.142105512,49479512.7286,161753.966329,51215999.2096
2576,89,804.512064595,49479512.7286,163398.464008,51204073.0242
1898,78,16826.8635388,49691283.2068,191490.363395,50175255.7129
1794,91,259.655080482,51523112.2667,146974.867571,51220424.012
1926,57,1787.48809549,42031257.1927,213596.446732,51050318.144
1542,92,220.844335883,42653772.8432,162145.05038,51210446.6486
2398,91,430.814814917,51523112.2667,162555.033285,51212716.8528
2614,93,108.788359789,49479512.7286,146830.447132,51224187.8086
2515,94,125.109375009,49479512.7286,161281.641921,51224582.0189
1752,77,2436.6878726,54593674.5195,174520.165575,51133264.0822
2465,91,281.136729278,49691283.2068,165117.227883,51216590.706
1227,73,12186.6843594,45358905.7895,169175.578529,50874659.5863
1314,83,849.742120687,51523112.2667,171934.53677,51176575.5379
879,47,8280.69531435,49479512.7286,191934.856965,50395849.677
2118,92,631.390957461,49479512.7286,148799.042719,51205272.2227
1661,86,640.489011014,49479512.7286,166404.596251,51215583.087
1077,43,16752.7424271,38804420.1846,255505.045858,49573864.3532
2151,80,8718.61475434,49479512.7286,183289.743969,50872125.3876
2017,75,17282.9178756,51523112.2667,161564.854302,50389171.4008
1482,77,16960.3812965,49479512.7286,193385.571515,50176364.4624
1096,42,16003.2481768,43605251.1347,198847.353844,50725340.1144
2489,91,532.791556939,49479512.7286,163109.702465,51220399.2545
1331,69,689.324503652,49459095.7293,164464.185696,51183653.4711
2034,88,494.325069613,49479512.7286,170121.784128,51086698.5408
1859,81,818.654867322,43173993.015,159612.483825,51139744.0652
1861,85,994.898362497,50511896.3078,168524.750756,51072410.2729
2729,92,521.642297717,49479512.7286,162101.245724,51217401.1056
2223,91,121.262872645,49479512.7286,148903.902225,51219534.7476
1887,73,3968.23170746,49459095.7293,176930.594111,51174672.7193
