n,hit,dist,nabla,sigma,hv
2267,97,0.0,154853386.422,962975.279759,92727466.9623
2395,84,804.181201081,125768705.628,1015641.81398,92693527.5882
2755,97,217.149159873,154843519.455,959947.564726,92724710.3481
2052,92,605.907729937,154853386.422,977654.318697,92676180.2782
2672,93,396.311688447,125768705.628,974296.92557,92698161.9668
2155,98,85.1642427136,154853386.422,955150.715852,92726336.2469
2538,97,164.538784197,154853386.422,958956.424254,92724919.4782
2215,88,540.210413217,125768705.628,1003481.29933,92666153.5057
2462,97,644.995882504,154853386.422,951080.6775,92684385.1726
2805,98,94.3500001212,154853386.422,955984.283484,92726551.336
2597,95,401.708601875,125768705.628,958971.841419,92691399.8156
2591,98,0.0,154853386.422,961969.987693,92727347.2445
2415,98,212.465701058,154853386.422,954992.913297,92701964.6351
2300,97,0.0,125768705.628,967046.106055,92724433.544
1664,62,2890.87871657,154853386.422,1109499.81167,92477307.9259
2497,98,86.4250015526,154853386.422,955981.108467,92726375.1298
2387,97,95.5443039202,125768705.628,961971.107214,92726179.6056
1750,75,1743.83093952,154853386.422,1037286.8979,92494971.1631
3124,97,206.534447161,154853386.422,956986.57549,92725558.988
1824,71,2243.15752775,146448764.304,1047490.26255,92633370.4342
2505,98,0.0,154843519.455,957959.860808,92727938.1878
2350,93,406.373102083,125768705.628,982757.955147,92695651.6117
2474,90,370.977728306,154853386.422,995868.362509,92705139.9605
2155,88,655.096851561,154853386.422,1001261.18265,92654599.496
2138,95,248.461377986,125768705.628,977483.355579,92690962.6337
2161,96,391.651167585,154853386.422,963127.292612,92685402.8726
2290,89,652.159197519,154853386.422,999195.657496,92654413.0669
2213,96,96.9044788927,154853386.422,965146.474526,92720503.0903
2281,94,785.865268613,125754344.977,960965.663844,92675762.0019
2331,93,757.642861703,125754344.977,967257.955434,92678030.8231
2332,95,541.738050472,125768705.628,955021.672466,92695141.862
2339,98,0.0,154853386.422,959109.928624,92727772.0833
2039,96,44.2068246134,154853386.422,967207.208708,92724858.7868
2522,98,94.7447699962,154853386.422,957970.676985,92725884.8458
2144,88,661.770606548,125768705.628,995842.63674,92668938.7097
2427,88,776.470986947,154853386.422,996979.615514,92652801.561
2262,96,86.7881371721,154853386.422,964144.300168,92725340.43
2282,97,95.5443039202,154853386.422,962112.116711,92725932.0119
2584,94,301.644401314,125768705.628,972225.29955,92679538.7716
2229,93,294.175589847,154853386.422,969280.235586,92718911.7401
1780,75,1760.03025443,125768705.628,1050493.38697,92640294.0584
1984,89,647.801786399,154853386.422,995847.477647,92655603.325
2434,97,270.199166062,154853386.422,958951.008586,92701230.0374
1538,58,4036.14685075,132490898.989,1125354.77784,92274999.1745
2690,98,0.0,154853386.422,961129.86447,92727159.8539
2400,95,911.193369151,154853386.422,955150.991491,92682142.1855
1648,64,2270.14287443,154853386.422,1074820.78435,92598197.1558
2624,97,95.142857265,154853386.422,960113.300705,92726093.8251
1393,61,2428.58149492,154843519.455,1120055.1694,92475805.7416
2336,98,94.5469729815,154853386.422,956974.400714,92726073.0677
2493,98,85.1642427136,154853386.422,954995.897765,92726388.5467
2406,88,791.244993771,154853386.422,995709.791212,92656108.0575
2217,95,263.45052791,154853386.422,961117.320097,92723964.6286
2227,95,278.666666941,154853386.422,965184.635524,92716002.0943
2389,97,363.043568498,154853386.422,961266.241043,92717678.3923
2301,97,95.7463003344,125768705.628,962986.432823,92724084.785
2536,97,85.878408271,125768705.628,958973.914918,92726069.4846
2271,89,623.508973303,154853386.422,999014.327279,92657095.3738
2246,97,86.4219425005,154853386.422,961990.980798,92724119.4266
2540,94,491.751077678,154853386.422,970267.195969,92686067.1523
2474,97,4.4608879493,154853386.422,962966.193913,92727548.464
2346,98,94.9433963483,125768705.628,958966.638562,92726401.4539
2467,98,94.1538462748,154853386.422,955041.645197,92720229.8322
2509,97,0.0,154843519.455,965015.712691,92725550.0454
2283,96,724.99792117,154853386.422,963381.544612,92677316.404
2122,94,357.875541196,154853386.422,970136.945202,92690845.2003
1686,67,2329.58041545,154843519.455,1100826.88932,92603848.7097
2258,93,487.704995412,154853386.422,982923.664878,92681284.6955
2211,96,207.581395489,154853386.422,970278.254812,92707665.2583
2154,98,274.174640742,154853386.422,954990.047952,92701519.9194
2130,92,551.448806558,154853386.422,977442.523853,92664104.3532
2258,96,301.711297591,154853386.422,957960.173893,92724469.6292
2281,97,500.912506157,154853386.422,963227.529398,92682768.7181
2376,94,374.494651417,154853386.422,976449.281481,92690363.2885
2340,96,629.825107557,154853386.422,950109.746658,92695122.8299
2142,80,1495.96716197,138219494.652,1014463.19501,92651741.977
2302,98,0.0,154853386.422,961957.792096,92727432.1517
1993,92,532.635966554,154853386.422,988244.42507,92693767.1762
2191,97,228.023065509,154853386.422,966233.883957,92698593.323
2296,98,0.0,154853386.422,957959.929031,92727825.6134
2202,97,262.92243187,154853386.422,958951.929846,92722109.0077
2129,92,732.088557548,154853386.422,980645.465958,92664996.9963
2437,95,306.033684698,154853386.422,960967.658626,92723952.0719
2113,93,578.26237032,154853386.422,971154.89216,92674382.016
2570,96,542.838917241,154853386.422,957965.046181,92680026.014
2284,98,85.5198345412,125768705.628,956982.147085,92726342.815
2257,94,452.873122903,154853386.422,978531.751901,92678226.664
2169,95,241.168086817,154853386.422,966176.959361,92723246.9516
2229,97,246.177824513,154853386.422,957982.044129,92724602.6644
2537,97,157.753139648,154853386.422,957965.654889,92724530.3603
2173,90,598.687091361,154853386.422,987157.819393,92702541.2379
1605,60,1647.99704949,135407585.317,1147270.96215,92641364.9811
2491,98,94.9433963483,154853386.422,959114.560184,92725720.5076
2300,97,93.8947369645,154853386.422,960954.730333,92724099.235
2831,98,94.5469729815,154853386.422,956969.027011,92726408.6484
2261,96,157.92827162,154853386.422,962128.298451,92721815.08
2484,97,185.983158058,154853386.422,960969.219802,92723370.6999
2158,94,165.462527162,154853386.422,969264.996457,92721271.2567
2422,98,94.7447699962,154853386.422,957970.525242,92725885.1202
2120,94,253.605603701,154853386.422,972359.335325,92722346.5367
