n,error,dist,nabla,sigma,hv
2309,94,908.509400757,125768705.628,957016.899453,92687538.4373
2130,97,264.029473689,154853386.422,960966.252267,92720741.6798
2037,97,207.705021402,154853386.422,957961.202021,92724226.1105
1931,87,825.993217798,154853386.422,1003681.23686,92651265.1649
654,39,3025.70175714,124796215.058,1416163.2578,92149796.6158
2255,95,663.699810722,154853386.422,963010.966952,92700477.0779
2209,92,236.598253537,125768705.628,985917.258014,92706939.9725
1964,89,771.100004811,154853386.422,994618.450986,92661551.461
2523,93,150.152363481,125768705.628,970178.880719,92721509.3964
1981,94,88.8590037858,154853386.422,975476.965199,92724528.3681
2206,96,97.9104479112,125768705.628,967069.223048,92725126.359
1877,92,624.912398033,154853386.422,975421.003114,92677981.199
2159,93,561.825907153,154853386.422,965176.575459,92687883.6773
2138,89,825.632856522,154853386.422,980626.432288,92669357.0157
1816,93,197.090519173,125768705.628,972386.680536,92718667.1688
2228,96,545.198749412,154853386.422,958120.296316,92682010.0437
1907,95,318.836134965,154853386.422,959947.738396,92723842.4953
2128,95,162.576017257,154853386.422,969127.438335,92722616.6774
2254,93,295.430107848,154853386.422,971503.272057,92723661.5385
1270,57,2510.99073844,125752472.28,1171260.36649,92622005.2715
2038,93,287.536640538,125768705.628,972358.290103,92707735.0887
2377,95,409.932208193,154853386.422,964009.362397,92690875.325
2288,97,153.033826763,154853386.422,962960.70363,92725933.3212
2140,96,740.893994214,154853386.422,955016.278197,92698580.43
2313,96,36.2680851969,125768705.628,966175.509755,92725983.7181
1943,92,290.248900174,154853386.422,982842.936768,92720657.2061
2155,92,379.708065681,154853386.422,985014.804812,92674261.4855
1877,88,672.03604088,154853386.422,1001249.85356,92667643.8936
2072,94,492.808606878,154853386.422,978616.312211,92681850.6494
1783,87,758.805873931,154853386.422,1002522.59574,92653156.3318
2275,97,66.6312502634,154853386.422,956160.310518,92727091.6108
2058,96,281.237896802,154853386.422,960999.598056,92723810.1655
2124,92,423.850554038,154853386.422,989159.932226,92682830.1619
2048,97,39.1652542748,154853386.422,963983.116746,92725850.1482
1949,89,841.160797694,154853386.422,1003394.9608,92630687.1341
2078,93,0.0,125754344.977,986168.047873,92725927.9658
2138,87,264.711986414,154853386.422,1012827.90412,92685331.0964
893,30,4945.93843944,151158384.383,1489507.97338,92127271.3896
2041,89,788.024449348,125768705.628,994587.240697,92653985.2801
1728,88,998.864040212,154853386.422,980655.150751,92654577.3121
2049,95,221.156448797,154853386.422,970324.352376,92720822.5321
2060,93,458.110633741,154853386.422,975343.731221,92682472.0154
2203,94,0.0,125768705.628,978528.083315,92726581.4715
2114,96,10.2373082636,125768705.628,964000.184787,92726874.4822
2287,96,184.368974787,125768705.628,958973.881228,92724962.4441
2054,91,546.474837889,125768705.628,987005.463885,92699830.2544
1318,54,3587.01223036,154833482.229,1156537.85376,92606665.8076
1275,65,948.53295439,125754344.977,1129070.05962,92595647.7358
2274,96,249.307203638,154853386.422,963981.783872,92718937.487
2137,96,35.0128134335,154853386.422,967082.421338,92723781.1089
2019,86,755.054428233,154853386.422,1004643.31877,92653565.2246
1406,62,1439.91179435,127105283.471,1149544.90889,92672247.2308
776,30,7828.19526118,154853386.422,1347049.67447,92261321.2715
2068,97,237.375804393,154853386.422,957001.588939,92723300.4819
2060,94,52.1731603715,125768705.628,974383.904538,92725147.6074
296,8,19504.5360092,152272312.294,1985986.92831,91327870.4388
2079,96,518.375004726,125768705.628,956004.444209,92687272.6679
1142,62,1549.9583339,125752472.28,1165959.28938,92558727.7428
1866,85,787.564521214,154853386.422,1012881.13367,92656826.7033
780,41,4620.58393789,146448764.304,1269791.98747,92299732.4145
2357,90,658.255464975,154853386.422,978775.157383,92666866.5767
999,49,3822.30850921,125754344.977,1227863.70553,92497850.4987
2143,96,1134.45419672,154853386.422,945304.936638,92692802.6245
905,48,3438.02714896,125768705.628,1234682.47364,92466847.7303
2118,86,401.577033612,154853386.422,1003972.16146,92713228.6298
2223,88,686.777534468,125768705.628,1000316.86368,92654749.5891
1730,87,823.691614858,154853386.422,1004781.38897,92652061.9407
1895,92,992.261511085,154853386.422,965376.939558,92675217.5087
1958,92,342.291053922,154853386.422,987162.109641,92693438.5168
995,39,4749.77308504,138686358.665,1297649.50469,92504789.6942
2298,96,124.789029922,154853386.422,961961.802056,92725668.9598
2253,96,422.356848344,154853386.422,954013.957333,92719538.5108
2136,97,0.0,154853386.422,965017.15299,92727383.208
2082,88,817.833338749,154853386.422,994588.552823,92629631.6928
2147,92,737.708537081,125754344.977,973362.477051,92666370.6809
1882,87,1414.28730826,154853386.422,988110.233885,92627775.6378
2270,93,273.596982902,154853386.422,972203.078334,92716678.4476
1960,92,526.308190474,154853386.422,972368.494341,92716790.3978
2381,95,165.160676923,154853386.422,963013.300072,92719395.181
1859,87,785.488744836,154853386.422,1001251.93593,92652910.055
1999,93,237.02165116,154853386.422,974293.377629,92697979.2919
2105,91,795.319062943,154843519.455,969132.728562,92672630.2982
511,19,8041.59304839,145398844.894,1637761.05511,92152727.9559
2112,92,362.015457267,154853386.422,984018.400799,92671830.711
1852,90,267.684565718,125768705.628,998066.981367,92699076.3532
1471,72,2686.1478733,146760851.487,1047062.62388,92538110.5547
2019,92,90.2929531997,154853386.422,982789.763296,92722044.0902
2173,95,368.246835835,125768705.628,961971.163785,92710290.5532
2291,95,98.7526883233,154853386.422,971341.710671,92725417.6063
2049,88,1047.31225278,154853386.422,985909.999622,92656282.8509
1891,85,778.979315308,154853386.422,1011706.6017,92649915.5031
2187,89,658.687798768,154853386.422,978707.090746,92661098.5225
1959,96,153.358050972,154853386.422,963997.455038,92725662.5328
2222,96,86.0893621404,154853386.422,966010.9597,92726171.1316
2054,92,436.880624177,125768705.628,974691.668052,92691929.7151
2092,93,19.9037199994,125768705.628,979546.974438,92725309.2177
2073,93,261.862365758,143496771.37,971146.143261,92722267.1609
1980,91,781.245124221,154853386.422,976830.398812,92678666.4875
2024,91,564.881585153,154853386.422,980797.460043,92686081.3284
1900,85,943.870542793,154853386.422,996989.910701,92651787.5967
