n,hit,dist,nabla,sigma,hv
2326,93,653.451617446,154853386.422,978541.348307,92661893.0815
2225,95,283.921610266,154853386.422,964012.374494,92723222.2742
2257,93,198.82826102,154853386.422,983798.267192,92714046.035
2352,97,186.424371357,154843519.455,959949.647863,92724544.1639
2849,96,206.974468088,154853386.422,966016.560878,92713523.5443
2325,92,477.76253348,154853386.422,985021.174883,92672098.0941
2446,95,96.79576648,125768705.628,973350.040993,92721543.3892
2579,98,170.03958338,154853386.422,955991.993352,92720069.1801
2254,88,706.756156935,154853386.422,997899.677527,92652886.1311
2264,97,90.1129722704,154853386.422,957972.48398,92725683.585
2777,95,250.057223766,154853386.422,963975.278397,92722980.9463
2494,92,778.786475343,154853386.422,970482.713656,92663354.703
2351,90,720.089324776,154853386.422,984900.280058,92681020.7053
2223,98,207.523908756,154853386.422,954990.375132,92724775.7035
2293,91,628.745059821,154853386.422,989311.440955,92659132.0808
2655,97,196.807054091,154853386.422,954020.296474,92723814.2582
2524,94,846.500004643,154853386.422,961972.948613,92673711.2442
1778,78,802.52463784,125754344.977,1041272.05307,92660722.6147
2289,96,254.268912069,154843519.455,967413.219667,92692923.7903
2478,97,648.615724115,154853386.422,952082.607505,92700651.3604
2547,96,96.9444602195,125768705.628,968135.414496,92724925.7388
1358,73,616.829849103,146760851.487,1081061.41526,92699651.6364
2205,91,560.453564141,154853386.422,980628.445911,92708535.6132
1989,91,757.633047496,154853386.422,977672.628199,92697519.7062
2425,97,60.2500000819,154853386.422,959959.253614,92725844.6016
2844,97,263.50413394,154853386.422,952053.423377,92724710.1562
2865,97,96.4378948593,154853386.422,960953.620152,92726208.4528
2593,97,0.0,154853386.422,972317.961428,92724867.8704
2428,97,0.0,154853386.422,970429.992021,92724743.3931
2626,96,89.9042553601,154853386.422,966028.57771,92726111.7396
2464,96,97.2881357423,154853386.422,963983.675266,92725066.4228
801,35,5631.76800468,138686358.665,1337648.82943,92410207.2801
2464,97,95.3431580172,154853386.422,960960.03299,92725948.0422
2337,91,529.494652132,154853386.422,969273.564857,92682969.4128
2231,97,0.0,154853386.422,963994.060116,92727161.256
2365,89,730.420231204,125768705.628,992736.306241,92671891.9332
2118,94,44.0762527267,154853386.422,977588.13333,92724703.5277
2252,92,494.730853437,125768705.628,987012.987841,92693676.2736
2389,96,493.714307659,154853386.422,960205.416865,92696327.3262
2502,97,56.4252632431,154853386.422,960966.347237,92725032.8854
1450,62,1441.40179361,133752119.363,1141474.1816,92634812.7336
1991,89,643.075897994,154853386.422,996815.467232,92670518.52
2462,87,760.186941789,154853386.422,1001413.73754,92652966.452
2841,95,26.2210301264,154843519.455,970131.203277,92725811.4671
2110,92,366.660907279,154853386.422,980795.902501,92710896.9706
2335,92,675.72414255,154853386.422,979590.156723,92658725.0014
2487,94,32.8934782771,154853386.422,976369.122377,92724575.2074
2417,96,478.71309785,154853386.422,962239.232227,92715846.665
2510,92,159.704349315,154853386.422,976518.204863,92724496.5008
2294,96,538.874744474,125768705.628,956999.30146,92684795.3678
2347,96,513.997908321,154853386.422,958953.632029,92685854.6783
2461,95,308.462849682,154853386.422,972482.148694,92692251.683
2905,96,264.774756847,125768705.628,960975.587561,92721446.8946
2542,96,163.618644321,154843519.455,963976.697068,92724709.8585
2412,98,0.0,125768705.628,961967.786488,92726737.1751
2333,94,141.147826129,154853386.422,976558.379532,92719705.9797
2190,97,160.594595526,154853386.422,955152.044497,92725681.8798
1006,45,2040.99621758,154843519.455,1345457.56671,92240167.4767
2682,95,124.059702216,146760851.487,967039.194756,92723896.5421
895,33,8219.79647301,138686358.665,1410135.90593,92544184.337
2276,93,142.135506392,125768705.628,971329.390502,92721620.3936
2336,97,246.177824513,154853386.422,957966.632687,92724078.0863
2537,92,725.541232229,154853386.422,970290.213404,92662028.4297
1998,87,722.144150695,154853386.422,1001403.37087,92655265.2233
2249,97,95.142857265,154853386.422,959957.260487,92726180.4364
1975,94,98.2386118398,154853386.422,975489.826569,92721894.5187
2377,93,108.71208804,154853386.422,981692.237037,92715483.9397
2541,96,192.656051079,154853386.422,972321.355662,92717069.8296
2390,88,697.575285732,154853386.422,1000305.49968,92654646.5466
2869,97,0.0,154853386.422,964988.939971,92727371.5972
855,42,2348.96749217,135552561.248,1351464.49616,92532651.1248
2298,93,583.623410297,154843519.455,966209.852213,92677194.4837
2307,96,366.849056637,154853386.422,966237.086783,92715538.6486
3009,96,217.887265523,154853386.422,956971.401758,92725578.3374
2379,97,235.652808325,154843519.455,955002.100289,92724061.5629
2425,98,0.0,154843519.455,959967.908516,92727700.2505
2474,92,627.750542501,125768705.628,978723.286748,92675262.3315
2826,97,204.795789476,154853386.422,960966.738374,92713353.472
2393,94,362.364211055,154853386.422,960983.019517,92722160.7858
2425,94,269.658823301,154853386.422,970154.603758,92692676.8314
2401,95,88.2844843647,154843519.455,972378.212528,92723353.684
2589,96,186.808102469,154853386.422,979796.295949,92700504.251
2146,95,98.5407726832,154853386.422,977653.391062,92720437.0737
2557,97,162.170168217,154853386.422,959962.351114,92722865.3107
2568,96,97.4477613198,125768705.628,967035.709195,92724856.5289
2103,97,152.772152039,154853386.422,961970.56199,92724498.2349
2449,97,13.9511678108,125768705.628,965002.645734,92724804.0024
2326,97,247.21218512,154853386.422,959970.636634,92723952.4911
2311,97,413.952387045,154853386.422,953024.465561,92699822.5212
2440,87,544.906823297,154853386.422,998309.799098,92689349.5687
2174,96,198.591195114,154853386.422,959149.697169,92723900.1335
2186,96,884.129121467,154853386.422,948188.813882,92697352.4627
1819,76,1361.49134635,154853386.422,1044144.87065,92619713.3887
2062,96,251.79157932,154853386.422,960995.753895,92723801.6463
2707,92,115.650334119,125768705.628,988178.749434,92721671.0065
2342,94,481.68965979,154843519.455,972194.097224,92677674.8195
2511,97,246.530271645,154853386.422,956970.547153,92724422.3961
2139,93,399.71304813,154853386.422,983799.188211,92680499.7787
2432,97,7.4799154334,154853386.422,962995.633408,92726672.0819
2331,91,921.233551712,154853386.422,972501.59914,92669944.1147
