n,error,dist,nabla,sigma,hv
2482,92,604.105540911,49479512.7286,162188.800105,51217455.9476
2328,93,28.8085106979,49479512.7286,162994.790253,51222224.3881
1070,58,5444.57718164,48330790.1249,183695.050708,51116767.4422
2544,90,148.8907107,51523112.2667,168355.102639,51198788.6579
1323,89,319.249322661,49479512.7286,167431.128845,51202079.0844
2391,85,2145.66386559,49479512.7286,182869.294908,51025030.0135
2498,89,757.819149241,51523112.2667,163055.477636,51209595.1631
1128,46,14788.6714293,46006068.2692,184997.071203,50658996.7829
1459,64,4219.43492083,49459095.7293,165634.478086,51134576.2603
1301,76,3722.55757588,43769207.3212,217626.215114,50460133.4423
2005,93,238.205729227,51523112.2667,161257.552417,51221128.1115
1673,76,1210.75304977,49479512.7286,189337.449372,50874737.0676
2448,90,571.846361253,49479512.7286,149929.844317,51188076.8767
2864,87,613.317935086,51523112.2667,165371.81505,51210008.6618
2749,85,350.671348438,49459095.7293,151833.91544,51210365.3428
3104,91,156.745989314,49479512.7286,162914.062087,51224645.817
1238,74,9263.34770299,49479512.7286,186515.16268,50496848.4976
2540,93,1231.71128638,51523112.2667,161652.17133,51211240.7523
2470,92,332.544000386,46494719.8523,163411.183124,51208554.3394
1899,91,203.946809159,49479512.7286,162958.42424,51219638.1838
1877,91,659.123692873,48221134.471,145346.321979,51207781.1294
1583,85,433.62222237,49479512.7286,166669.835403,51210003.2284
2688,84,2381.08146085,49479512.7286,169103.17654,51042191.262
2409,93,462.67454087,54247090.4744,161564.752986,51208418.3963
2023,92,1304.09424121,49479512.7286,161421.408771,51203534.9276
2519,91,324.328877015,49479512.7286,164030.663488,51217966.7178
1705,70,2502.68037995,49468056.8723,182080.609589,51018546.2414
2370,89,2206.94165375,50511896.3078,162352.740047,51072841.9944
1254,75,13660.3423186,39121289.5586,204785.966364,50656279.4231
1066,73,1252.38181991,44742214.3824,178942.621751,50956319.6635
683,35,6565.09179031,51511175.5423,204045.359051,50841295.3538
1684,72,3953.54654702,49479512.7286,158898.671829,51107674.1587
2620,93,148.963158052,43130412.3272,145358.652275,51215461.2896
2162,94,58.8842105273,49479512.7286,146814.607893,51218745.6349
697,38,5482.2217203,43449217.5889,216108.540519,51001017.8098
1458,79,16443.1662665,49479512.7286,146655.449696,50186054.0481
2285,94,192.139535483,49479512.7286,160776.888168,51222983.6726
2487,94,341.154640952,54593674.5195,144322.274066,51212936.2424
2440,87,2038.53351227,49479512.7286,164611.588539,51153886.6082
2208,90,143.747282623,49479512.7286,148627.352508,51219240.5802
727,37,14398.5447502,42275255.8734,261247.46849,49877769.6802
2621,94,291.830769579,49479512.7286,144354.48808,51221703.4912
2399,88,257.839779017,39314546.3208,151213.591276,51189230.5827
2380,93,356.217054429,49691283.2068,144283.47619,51219040.0504
2198,83,997.797143911,49479512.7286,187777.434583,51006479.1494
2261,89,428.263587145,49479512.7286,148606.33069,51141489.5333
2460,93,124.575197906,42653772.8432,162251.249362,51214636.6313
2440,93,149.866666746,49479512.7286,148719.229385,51210001.6512
1316,68,3898.81818285,46006068.2692,178793.844656,51097225.4632
1608,79,1168.71385551,49479512.7286,196131.327887,51019097.6098
2700,93,129.257217891,49479512.7286,161570.007973,51216255.3604
656,36,17927.6278042,49468056.8723,306738.539924,49561718.0325
1112,55,10138.8479752,42834619.5322,248274.350168,50211010.0959
1380,76,17040.14528,49479512.7286,194417.680997,50180099.6119
2443,94,158.441558624,49479512.7286,145590.441785,51223022.4305
1008,43,15133.2491513,49479512.7286,222635.611201,50373123.206
1875,93,237.787565217,50511896.3078,160868.266915,51212825.8984
1296,60,1727.49110469,49479512.7286,203793.371448,50999884.4131
1578,76,3989.19764023,46063520.4675,189952.462759,51016726.2114
2763,95,122.5378591,46006068.2692,160918.091475,51218419.8434
1294,62,12377.500001,49479512.7286,225942.571382,50637510.9831
2392,96,116.915816363,49479512.7286,143741.101068,51226921.4281
2133,92,314.832461603,49479512.7286,147572.184389,51215399.3633
1243,76,927.716429626,54593674.5195,172373.675994,51185410.6182
2218,92,370.530504123,46116858.0652,162709.386876,51203417.6692
1119,59,2338.66783283,46116858.0652,188712.207705,51100412.782
1502,89,402.277929387,50511896.3078,165189.978369,51217321.8388
1019,36,11524.7773118,49479512.7286,177455.34809,50921070.765
2342,92,159.897637814,42662975.9822,161701.613512,51216425.5906
2557,90,162.540322651,49479512.7286,164489.80872,51219587.4914
2769,93,121.294429709,42031257.1927,162564.621081,51215025.1225
2458,95,9.26912928811,49479512.7286,162111.760215,51216887.8946
1176,74,1692.54005966,46494719.8523,175016.15058,51153323.5761
1547,78,13658.1269041,46063520.4675,162773.38862,50572391.9593
977,64,2364.14893626,49479512.7286,192490.9426,51135366.684
2897,92,207.88390527,51523112.2667,147197.176481,51212485.6239
1172,71,2659.50637034,50511896.3078,186548.075807,50874238.9969
2326,82,2038.18361784,49479512.7286,152245.450019,51103670.6515
1956,95,357.330769366,49479512.7286,144060.785123,51220167.5811
