n,error,dist,nabla,sigma,hv
2404,96,185.231598966,125768705.628,960985.417721,92718289.233
2774,97,0.0,154853386.422,963997.392544,92727224.3437
1114,46,2947.63669157,123220392.077,1239814.70505,92457431.9327
2432,97,95.5443039202,154853386.422,962131.575508,92725951.9519
2354,96,152.422505498,154853386.422,965022.705468,92723962.3449
2244,96,3.57387620288,154853386.422,969082.096091,92723434.9891
2142,96,86.7881371721,125768705.628,963996.668039,92726040.6993
2464,96,188.237687372,133752119.363,969092.154636,92722238.8455
1977,96,150.985263516,154853386.422,960994.217235,92725121.3494
2187,96,475.014648982,154853386.422,957953.259955,92682207.9634
2640,95,429.017057611,154853386.422,967038.530867,92722359.3407
2456,97,95.3431580172,154853386.422,960976.403555,92726172.9903
2349,97,95.3431580172,154853386.422,960962.847992,92725861.5679
2276,97,95.142857265,154853386.422,959961.691622,92726076.26
2345,88,658.061090709,154853386.422,1003652.74508,92654353.4265
1897,72,694.420911584,125768705.628,1083901.31077,92692235.2599
2903,95,432.058947527,125754344.977,968254.569377,92714661.4504
2507,97,736.102480594,154853386.422,948175.543301,92699653.163
1709,68,2116.10585213,123236332.548,1085381.8357,92601586.7243
2433,97,86.058825095,154853386.422,960116.716742,92725717.6909
1529,56,4612.16477252,142346075.021,1120704.34317,92534514.2236
2457,96,420.831228292,154853386.422,961967.772239,92683599.7432
2295,91,650.991194148,154853386.422,982799.905625,92668314.2886
2226,93,775.484215062,154853386.422,968262.26351,92659585.9403
2329,97,583.55625896,154853386.422,947217.720597,92697074.6563
2720,98,94.5469729815,154853386.422,956970.348401,92726259.9273
2360,96,10.0556745183,154853386.422,969090.902652,92726172.53
2292,94,258.401287831,154853386.422,970107.413059,92722353.1526
2137,93,745.767787338,154853386.422,965239.778354,92666837.4573
2358,93,270.004358886,154853386.422,977441.230016,92705968.8925
2117,92,650.937234261,154853386.422,974469.625163,92672996.274
2352,96,161.654812102,125768705.628,957975.927486,92724314.7698
2411,96,238.629475377,154853386.422,960970.814743,92723291.4661
2522,97,0.0,154853386.422,966013.38482,92726621.9633
2617,88,875.323082665,154853386.422,981891.21491,92655055.247
2365,88,596.40315791,154843519.455,1001411.05211,92669286.2444
2549,95,233.639830641,154853386.422,964146.423269,92724333.902
2462,95,273.476595896,154853386.422,966008.869265,92724553.3605
2323,92,410.186813587,154853386.422,989299.910275,92704404.933
