n,error,dist,nabla,sigma,hv
2600,95,466.576275818,154853386.422,963983.411008,92686110.2623
2728,95,387.960583204,125768705.628,954027.03021,92722321.0642
2716,96,103.885106507,154853386.422,966053.817037,92725425.7511
2544,96,68.365770881,125768705.628,962982.97098,92725608.151
2827,91,747.608606791,154853386.422,978545.588486,92663595.3791
2858,96,241.01467521,154843519.455,958963.467861,92725321.8192
2279,96,190.129512059,154853386.422,964995.060268,92722752.9525
2314,95,483.600438418,154853386.422,965390.123085,92712369.8835
2033,95,266.1559891,154853386.422,968102.000667,92698701.3987
2378,98,94.7447699962,154853386.422,957964.528352,92726334.2357
2279,97,56.9044586846,125768705.628,965024.561345,92724620.2608
2152,83,170.457627279,154853386.422,1030313.48074,92721943.4299
2860,97,43.6484226183,125768705.628,960969.266163,92724669.7242
2250,97,160.313278391,154853386.422,954012.594992,92726038.8122
2370,91,605.01954367,154853386.422,982927.667354,92707387.779
2491,96,96.1528663655,154853386.422,964998.726368,92725712.211
2474,96,14.0706638949,154853386.422,976432.828393,92722072.1292
2301,90,559.815384915,154853386.422,989153.096003,92686197.033
2559,97,382.46540921,154853386.422,959025.430107,92708651.9984
2246,98,85.698746329,154853386.422,957976.148241,92723738.5191
2273,94,441.339019319,154853386.422,967222.193205,92714475.9734
2525,97,105.67437009,154853386.422,959966.768542,92726101.1098
2852,97,154.044303947,154853386.422,961958.669133,92725656.861
2532,95,217.352568688,154853386.422,975397.428051,92693622.0638
2051,92,644.125004754,154853386.422,972382.386459,92668159.35
2435,97,0.0,154853386.422,965002.705573,92727367.3216
1137,48,4086.29794701,154853386.422,1232877.0216,92462208.663
2639,96,390.871640543,154853386.422,953040.983867,92695739.037
1439,62,1186.20000179,125768705.628,1128638.24091,92671128.7807
2520,96,87.3432851711,154843519.455,974370.765612,92721761.6775
2542,97,95.7463003344,154853386.422,962977.282879,92725797.026
813,34,5288.50832647,144863221.091,1386261.32168,92047618.0327
2312,98,253.583851199,154853386.422,953028.798242,92724701.973
779,34,5085.15539237,127105283.471,1339662.89446,92348171.1496
2321,97,0.0,154853386.422,963989.361919,92726882.8154
2557,97,237.956160368,154853386.422,956970.298615,92724303.6463
2095,91,637.461543298,154853386.422,981868.130958,92680552.9079
2641,97,86.058825095,125768705.628,959963.667662,92726384.2258
1957,90,925.393093449,154853386.422,973247.763906,92664075.797
2264,96,0.0,154853386.422,968063.779289,92726895.552
2597,97,14.7864693469,154843519.455,962969.551591,92726839.435
2255,93,838.089775123,154853386.422,956980.442082,92680980.336
1776,71,1683.41514977,154853386.422,1077550.00463,92598862.842
2610,96,0.0,125768705.628,972363.287276,92719049.148
2296,90,713.347925956,154853386.422,979744.479549,92663801.779
2330,93,87.7467250307,154853386.422,986092.582301,92719368.7824
2295,88,656.510162722,125768705.628,1002524.58615,92655959.7296
1368,54,4046.43518852,146760851.487,1154310.15233,92147780.8962
2418,97,374.951782095,154853386.422,958951.880054,92709540.1929
2782,96,218.800838963,154853386.422,958957.14487,92725695.5339
2323,96,154.567226946,125768705.628,959963.242887,92723788.8402
1230,50,3537.40264001,143496771.37,1201225.75913,92526558.8254
2537,96,86.972400733,154853386.422,964998.26252,92723888.848
1500,65,1444.2920215,138219494.652,1107421.32866,92637426.6933
2056,95,312.888172169,154853386.422,971322.468172,92720358.7143
2573,96,477.155794209,154853386.422,968275.653856,92693420.781
2859,98,92.5197520691,154853386.422,955018.166438,92726023.3389
2251,90,805.280357939,154853386.422,991493.847188,92663325.9167
3108,97,247.21218512,154853386.422,959971.194845,92724276.6096
2321,94,257.010869569,125768705.628,976551.554488,92720444.425
2187,96,87.1574483941,125768705.628,966024.619758,92722783.8997
