n,error,dist,nabla,sigma,hv
2076,93,343.121212225,154843519.455,981660.691033,92706843.8668
1816,76,1482.05544545,143461440.363,1058816.74298,92631965.6361
2380,96,90.6483052974,154853386.422,963997.852694,92725104.5992
2090,92,852.292892064,154853386.422,965280.934918,92671915.8691
2325,96,98.3898306575,154853386.422,964019.301655,92725931.4748
1941,92,316.293221454,154853386.422,986965.2579,92690553.3651
2003,95,88.6410272334,154853386.422,968234.472035,92720114.333
2219,96,277.861344809,154853386.422,959953.82272,92724226.4461
2244,97,0.0,154853386.422,962974.617457,92727301.6879
2002,97,95.9491526656,154853386.422,963994.053168,92722920.277
2130,94,376.844349931,154853386.422,967038.500311,92710573.2928
2143,99,0.0,154853386.422,956972.047745,92727606.9847
1188,57,1994.25789511,124600928.647,1174995.38143,92668425.1395
766,35,6450.88002518,146760851.487,1364150.73339,92045590.242
1955,90,663.42544358,154853386.422,980811.835298,92666403.5609
2034,98,94.9433963483,154843519.455,958948.619981,92726462.1585
2082,91,700.639917959,125768705.628,982779.61458,92656740.9521
2064,97,82.5569620677,154853386.422,961973.737414,92723689.8039
2282,87,897.192748644,154853386.422,1004770.14151,92653168.7397
2292,97,95.3431580172,154853386.422,960965.067554,92725680.6294
1871,89,1062.16776241,154853386.422,984856.890371,92656730.6222
2396,93,179.25538559,125768705.628,970278.75845,92723194.8853
1249,62,2077.28530302,125768705.628,1123658.20477,92656169.6677
1977,84,885.116014637,125768705.628,1016278.08581,92651237.2373
2392,98,0.0,154853386.422,961964.996578,92727452.1672
2238,92,887.320434995,154853386.422,978673.134682,92671495.4175
712,36,4602.43902746,142148090.463,1344362.01506,92343087.345
730,27,7046.2693051,145398844.894,1480776.48104,92246781.1896
2330,89,838.187229438,125768705.628,990235.312105,92657045.5391
2191,90,889.314433842,125754344.977,979033.771236,92671992.1951
2153,89,759.47778256,154853386.422,994773.514459,92653908.5756
2220,91,528.914665456,154853386.422,987266.350122,92680499.7756
1126,49,3682.43338452,154853386.422,1176881.44623,92488625.6383
437,17,10139.0516452,134689040.242,1738195.84006,91784319.9316
2168,91,214.929048546,125768705.628,986173.184098,92713624.1163
2056,89,748.665929068,154853386.422,995846.510001,92653368.6784
2124,94,254.555576106,154853386.422,968054.025232,92723274.1005
2067,90,672.182824088,154853386.422,990268.288099,92654017.6004
1937,92,133.966740722,125768705.628,993658.813684,92720901.2382
2143,95,417.412262305,154853386.422,962975.060515,92714973.6866
2179,95,155.332618152,143496771.37,970140.088209,92723070.9564
2004,90,649.591616087,125768705.628,991334.817554,92661934.309
2033,88,713.853937379,154853386.422,1000284.1174,92653452.1633
1992,92,609.624468175,154853386.422,970312.085322,92682732.1986
2166,95,15.3182797946,125768705.628,971165.133435,92727207.3927
2031,90,855.354843623,154853386.422,978567.990307,92664243.8971
2075,87,945.73392954,154853386.422,993692.953615,92651327.2572
2123,94,441.129511991,154853386.422,964993.480049,92723773.0601
1209,62,1475.28080607,154853386.422,1129277.50239,92660221.3107
2087,87,663.636161156,154853386.422,996971.360179,92699224.188
1125,52,3454.6253659,153418425.855,1127513.87398,92422935.6614
2103,89,301.970521562,154853386.422,1004761.72033,92708160.8066
2065,93,446.235042891,125768705.628,975589.132015,92695665.0692
2323,97,239.979168581,154853386.422,956186.096575,92723073.092
2281,94,96.9439671237,125768705.628,972349.695743,92725523.0789
2112,88,712.08969084,154853386.422,999169.24775,92659855.2488
2194,88,1055.87692792,154853386.422,989307.631716,92653072.6496
1912,79,894.03608605,125768705.628,1034418.2919,92648681.1324
1230,53,2087.94720649,125768705.628,1201205.23725,92630527.442
1590,66,2362.33247375,143479929.175,1104463.99105,92538058.4719
714,28,7485.4352135,154019798.975,1464606.40389,92362110.0768
1841,87,925.29372754,154853386.422,999187.741312,92626551.6308
2034,86,1007.92617948,154853386.422,998092.791829,92650185.1006
2069,98,0.0,154853386.422,960968.846444,92726259.6609
530,15,9259.56759103,111894194.218,1806832.01372,91819285.3298
2111,89,503.091722608,154853386.422,998085.737683,92682655.5666
1936,95,666.518068942,154853386.422,965182.920121,92695020.0568
2091,92,258.672451327,154853386.422,982728.118583,92721055.5553
2364,97,153.397058973,154853386.422,967232.92842,92723354.8546
2350,95,488.27673395,154853386.422,958959.509264,92684618.2383
2094,96,1.34754800041,154853386.422,967058.375289,92725248.4243
2214,95,418.704259955,154853386.422,966038.838045,92684640.4486
779,32,4777.48912773,137345293.81,1389515.42441,92529730.0923
2125,95,164.942307844,154853386.422,968050.875302,92723329.7412
1824,90,929.11623298,154853386.422,988225.646114,92656504.2854
2067,88,753.701798546,154853386.422,999002.094615,92653366.1345
2232,97,241.747899448,154853386.422,959984.665466,92725602.037
2234,97,193.528321927,154853386.422,959000.098768,92720203.8985
2127,87,798.986491457,154853386.422,1001422.14459,92653074.7243
2334,97,237.131800846,154853386.422,957969.146936,92723547.4392
2449,96,210.141949363,154853386.422,964013.749764,92724232.1822
1889,89,1403.63235784,154853386.422,967412.608294,92655372.2722
1987,97,247.21218512,154853386.422,959969.814707,92724070.4871
2127,90,552.589800543,154853386.422,986147.397485,92702397.756
2224,95,0.062635005261,154853386.422,973230.568139,92726188.1226
1984,87,758.805873931,125768705.628,1002512.26703,92652613.9642
2334,94,365.528908052,154853386.422,969245.854438,92715806.0348
2246,90,388.883408625,154853386.422,991484.708611,92702376.9306
1934,90,644.929051205,154853386.422,993661.874261,92655328.5996
2474,96,249.307203638,154853386.422,964053.500478,92717290.3675
2419,96,57.2692308557,125768705.628,968069.78839,92724231.5461
2016,87,338.816513913,154843519.455,1002879.74124,92686337.2414
2020,95,240.656052663,154853386.422,965153.323938,92723974.3769
1071,44,4089.51852082,143479929.175,1242315.72508,92390003.2247
602,23,10480.9381705,137935240.23,1568408.94227,92017872.5016
1983,88,762.759471806,154853386.422,995855.443436,92654055.8936
2284,97,95.9491526656,154853386.422,964088.567406,92725255.5855
614,27,4068.20298169,124600928.647,1541824.64163,92276554.6063
2297,96,0.0,154853386.422,971168.902611,92726620.6248
2291,97,95.142857265,154853386.422,959959.622752,92726057.3694
