n,hit,dist,nabla,sigma,hv
1294,76,1690.24939621,125768705.628,1045193.08408,92711563.5886
1321,68,1902.25271842,143496771.37,1093437.18838,92612464.0989
537,21,14105.7754439,129647398.364,1637061.79048,91603245.1738
1374,78,1913.09832466,154853386.422,1026207.87968,92701511.351
1427,70,1506.96836735,154833482.229,1086740.90763,92589892.8825
1317,71,1308.12074387,154853386.422,1086103.08891,92616721.4303
1378,68,1533.25275458,154853386.422,1105677.99672,92592300.9385
1289,69,1435.26741607,125754344.977,1115035.31805,92540961.0615
1338,71,835.208108323,154853386.422,1102448.8553,92672223.5328
1351,63,2368.78223772,125768705.628,1123355.56153,92651153.691
1377,71,2189.97701242,125768705.628,1069172.94897,92552516.5919
1251,69,919.300282129,154843519.455,1106667.28858,92620153.414
1352,78,359.283544631,154853386.422,1054260.91871,92711291.6072
1320,66,2251.16536516,154853386.422,1103938.08797,92588931.3581
1294,53,2746.92288232,125768705.628,1171739.04401,92607162.2451
1287,74,512.853260871,154843519.455,1091058.42479,92699901.8726
1235,59,5701.37069795,132685100.577,1123908.63616,92615878.759
901,50,3696.50804132,153418425.855,1203064.15745,92578414.7479
1326,74,452.939340525,123236332.548,1090377.08191,92660360.968
1354,62,3469.34080156,135437513.48,1129908.61306,92221626.5897
1373,67,2431.04536005,153679636.402,1080578.86509,92627381.3452
1347,59,3091.16860982,154843519.455,1128302.66602,92541606.807
1278,71,1610.24213904,125754344.977,1084095.75075,92572342.8419
975,53,3266.91122651,125768705.628,1255422.56522,92359688.2771
1250,67,1538.29946705,125752472.28,1107327.01737,92571959.1084
1335,64,1822.69086564,125768705.628,1093508.04042,92652429.8724
1237,69,1384.00808644,153358879.228,1102808.32975,92675526.6379
1284,66,1250.11331464,154853386.422,1116856.23764,92563570.1678
1375,74,866.849765786,125768705.628,1085859.09173,92586193.342
1268,71,2409.57074737,154853386.422,1062361.23213,92518489.759
1348,77,1012.43170946,154853386.422,1034406.05071,92692057.2307
1302,70,912.333339193,154853386.422,1103364.93693,92641719.7182
1341,79,1228.06074884,154843519.455,1027439.70479,92685975.458
1367,74,872.696459416,126433362.581,1066864.30759,92650152.4215
1249,65,900.236996354,143496771.37,1140844.33821,92655115.5894
1395,80,1167.60101889,154853386.422,1039781.02964,92684928.9114
1302,56,3526.7592981,123236332.548,1202242.40252,92530993.5942
1320,70,2514.1256387,154853386.422,1059220.36835,92526363.7257
1262,62,2791.78572319,143496771.37,1106123.30115,92410914.7854
1179,61,3736.41257659,125085170.088,1094965.55373,92676592.7262
1336,76,1140.33498393,154853386.422,1046903.77871,92638427.5565
1329,69,2028.9725368,154853386.422,1056957.98638,92639490.8178
1325,76,854.937965529,154843519.455,1042751.79421,92656539.3484
1286,71,1139.30810853,125768705.628,1078934.06408,92616348.8642
1462,71,1481.62725837,154843519.455,1069822.72557,92617079.2125
1416,77,888.292215834,154853386.422,1057321.00469,92669713.9655
1316,71,4468.1250056,138686358.665,1061238.39495,92626757.8882
1419,69,2803.17931431,125768705.628,1051943.4186,92649935.9111
1301,72,1705.93132496,125768705.628,1081596.92942,92509618.5897
1322,68,1504.03723457,154853386.422,1095679.97885,92569524.8327
1246,63,2902.44876101,154853386.422,1110863.0472,92642912.9644
343,16,7988.29716045,116171615.182,1921939.74026,90994294.5316
1306,59,3314.7442204,125768705.628,1159210.91069,92276963.5359
1351,68,2111.41886373,125768705.628,1071091.34088,92609406.5319
1268,73,355.623000767,154833482.229,1104830.06437,92585498.9487
1328,67,1650.52000652,125768705.628,1089035.96369,92633023.8171
1217,72,990.200006358,154853386.422,1101627.80225,92582796.788
1353,68,1928.51656552,154853386.422,1056422.9339,92684621.8771
1373,70,1534.24541113,125768705.628,1074839.97821,92648619.7733
1312,65,3443.92207798,125768705.628,1100052.92203,92598125.8696
1294,68,1643.266667,154853386.422,1123915.57077,92476704.4542
1279,68,1620.96834364,125754344.977,1083643.44604,92547572.6693
1335,77,527.440420377,125768705.628,1065517.82388,92694578.6154
1354,73,685.000037621,143496771.37,1062826.7799,92620808.5046
1313,71,2446.43687567,125768705.628,1059843.07614,92625712.9034
