n,hit,dist,nabla,sigma,hv
586,27,20664.3681614,39846345.3732,286773.771727,49671134.6523
629,22,25430.0000076,45891880.3532,281535.421072,49897715.5108
508,20,16603.5731026,42737688.5579,260149.833309,50351142.4698
512,21,25045.0478486,46006068.2692,207329.305836,49699697.6086
540,18,13316.2812597,38998105.8133,285641.482616,50155245.3044
594,18,30899.5346584,54138002.4273,284595.201258,49774269.2306
533,25,10372.922163,44742214.3824,231470.925896,50335683.8196
607,29,31653.8644903,57403172.1128,229377.853321,50683285.5355
574,22,9865.2211099,50511896.3078,243246.447924,50679586.5406
567,12,38699.6666708,42401353.6882,301609.815625,49606504.6462
591,15,108984.910259,48809392.0649,346697.488989,50511774.6537
533,29,35806.1877947,40832986.5546,251049.892243,50405529.4833
598,19,14772.0462488,54737835.1036,216726.009759,50801362.5299
571,20,13182.5527988,41949431.0673,421904.853558,49410121.6119
610,28,7675.0150062,48209940.532,229323.484349,50805474.9031
562,28,45384.3135335,49384315.7484,268526.179579,50665124.1415
516,28,9287.27061076,46494719.8523,390560.998218,49673360.2432
561,30,12484.7474289,40093844.1493,276384.486006,50605142.5668
571,34,11810.3671528,42401353.6882,314241.723465,49874356.0996
458,15,16459.6170246,49468056.8723,365636.054078,49832038.5746
485,21,12973.2721535,54176741.7215,326368.288272,50316301.4732
579,32,4153.0526442,46052731.9067,242250.018672,50711108.707
567,22,35769.2209717,40745766.5004,279427.027597,49656082.1308
494,19,19748.2978744,39690170.1878,290632.10444,50525289.6392
668,32,11461.4279085,43061405.5389,319402.948673,49684920.3555
510,20,21919.8021403,43823042.4853,268074.073008,50427172.247
491,23,21019.2229349,39691355.0404,275495.729982,50835291.5724
534,28,8395.0662852,49479512.7286,285235.564122,50622652.1232
577,28,14580.1061464,41384546.6863,217443.223959,50677834.6462
569,24,12961.1117684,53046879.1387,275309.58497,50503273.1452
577,28,20500.9949268,40006914.836,277722.639816,49909798.53
573,34,9495.81122641,35928950.8046,325252.997805,49582530.3285
567,17,30530.8138332,42383534.4196,303387.296792,49668270.9757
564,19,24622.6608221,42730884.9491,309848.055899,50093502.5672
533,28,7649.40116444,36477910.4572,257947.630628,50771610.2488
