n,hit,dist,nabla,sigma,hv
1287,59,1596.3527275,49479512.7286,199015.036598,51135311.32
1495,72,10828.4191797,51523112.2667,209906.934668,50244482.7601
1172,58,17772.3936804,49479512.7286,211978.410319,50052496.1618
1375,74,1798.20348881,54247090.4744,172566.979603,51140465.7408
1287,79,1209.39080546,42834619.5322,171075.179932,51128993.0129
1448,73,1243.00313551,44102753.2375,177743.799602,51175275.5407
1424,71,10771.5310768,49479512.7286,216255.248833,50199737.0098
1746,70,969.87936803,41062758.1399,182158.413474,51142853.0413
1429,66,2926.01898898,51523112.2667,188725.682252,50860651.8882
1464,71,3242.57361994,42002533.6276,200909.402882,50956375.8469
1266,73,2722.04833894,43090853.2169,183901.856491,50933061.1134
1568,75,16110.0123561,50511896.3078,195967.004241,50175190.4224
1479,75,2779.96153873,49479512.7286,180755.22644,51053672.1573
1426,65,1940.52397242,49415732.6755,179916.988073,51183255.5056
1665,75,2697.21687,48330790.1249,191196.953642,50990594.0908
1360,72,1161.28302255,38794124.2881,182512.702412,50793233.1614
1635,79,1420.45845349,50511896.3078,170399.627384,51180213.5964
1567,81,754.046783805,43651921.0823,171849.294741,51127580.2306
1659,81,399.60705004,50511896.3078,155412.256757,51196906.166
1521,81,1182.22988506,49479512.7286,169606.135913,51206811.6415
974,48,29701.5462984,52025925.9895,222001.446393,50103056.7662
1542,75,2363.12765963,46494719.8523,184069.402035,51011727.9563
1513,68,1001.85084863,49479512.7286,183869.124266,51190910.6928
1259,76,1304.55828322,48221134.471,190185.1699,50947975.1959
1776,77,711.776786291,51523112.2667,172201.454776,51167972.4062
1256,74,2033.61904808,49479512.7286,172056.911877,51189375.0873
1671,82,969.300284167,51523112.2667,170475.91207,51195259.2289
945,56,5320.02491236,46052731.9067,248836.986351,50710276.0777
1622,80,6333.70026538,49479512.7286,167828.801536,51112634.2806
1397,73,2885.8553465,49691283.2068,192261.547678,50955448.4984
1298,73,929.697829822,49479512.7286,181552.468831,51173134.3741
1275,66,1804.89115973,54109465.3502,207332.11066,50577620.6827
1469,82,1304.3126775,49479512.7286,168996.697893,51201122.2561
1483,84,809.441096268,42031257.1927,166037.400206,51192074.7651
1760,82,228.462908188,46006068.2692,172249.630593,51197425.7767
1497,71,4313.73993832,43813433.4729,181043.220011,51106662.9998
1080,66,1994.04501719,50511896.3078,182829.720409,51015066.6725
1427,78,1991.67448694,49479512.7286,160099.187908,51089915.9489
1203,75,7922.09912559,49479512.7286,202291.987971,50546951.8502
1596,80,404.275660672,50511896.3078,170918.449765,51195534.827
1314,75,3113.22029315,40308358.5085,160537.082997,50947820.6203
1275,78,2045.4316125,46006068.2692,160337.145032,51134339.9705
1516,76,726.96296321,49479512.7286,174884.993136,51175929.5077
1503,77,548.702703706,51523112.2667,176257.566055,51163889.3711
1461,72,439.86495235,49479512.7286,181237.596263,51202041.7505
1642,69,19414.2406969,49479512.7286,196554.045726,50137039.23
1514,77,1148.89645,46116858.0652,174020.621564,51154075.6137
1681,74,9514.88857278,46063520.4675,178108.447964,50646139.9367
1456,75,1840.85196377,49468056.8723,174470.57836,51165698.4363
1399,84,652.900552964,51523112.2667,166967.821816,51197885.6842
1569,74,2335.41071452,54234449.4622,159320.683654,51142827.0826
1305,76,3800.40000326,42653772.8432,192380.555733,50301713.0032
1571,76,2607.10234232,54593674.5195,172714.142488,51152662.6168
441,19,38702.9640966,57423077.7894,299366.502316,50611255.2714
1778,81,798.971591604,46116858.0652,152713.174195,51172458.7938
1068,71,1760.23871222,49479512.7286,185866.786693,51122978.0297
1279,72,8557.71676506,54593674.5195,229423.418551,50126245.9178
1429,69,2626.82885922,49479512.7286,194192.266836,51105055.2142
1231,66,1984.57143029,49479512.7286,181477.735069,51073502.6929
1578,75,2987.81008969,42031257.1927,174778.075595,51003308.7877
1410,81,618.688046723,38813574.2941,155552.47137,51182041.5922
1270,73,3116.71052705,49479512.7286,171030.855499,51155641.3493
1493,78,903.154762845,49479512.7286,173546.04834,51096530.3468
1208,76,991.371518528,41384546.6863,193525.109446,50987925.5714
1300,74,4695.98176324,49479512.7286,203500.46705,50872415.9871
1474,80,362.675516991,43042688.7154,173336.216832,51194277.6673
1477,75,12526.9665908,49479512.7286,205109.454797,50507818.2109
1403,74,1495.91591626,49479512.7286,175534.274224,51122524.5207
1486,81,1324.48882717,51523112.2667,151544.803973,51118277.1609
1570,75,2116.56626692,54593674.5195,176020.586063,51039675.5392
1273,71,2987.35761603,42755625.7993,209364.20935,50853364.2143
1605,78,538.492402109,49479512.7286,174726.002262,51199596.1737
1741,79,582.883928648,49468056.8723,176481.358161,51203153.9293
833,27,20574.3700612,43758986.1053,201492.165655,50805964.3154
635,28,8672.2406439,48522591.8338,221137.542777,50604575.3528
1426,75,543.213415998,51523112.2667,175633.311383,51186732.0556
1411,70,5204.29003071,51511175.5423,175976.431027,50288334.9215
1123,48,22292.0152927,49479512.7286,221186.899463,50062343.8494
1690,84,622.345404243,49479512.7286,168184.508786,51207958.5898
1488,69,1943.02194408,51523112.2667,166387.554356,51132775.3911
1156,51,15790.2024579,39846345.3732,223882.822802,49972092.9188
1381,87,475.121547187,41901859.7638,166350.327215,51209411.3972
850,42,13103.6879467,43801216.2931,254668.883772,49783823.6426
1430,70,1411.85576957,49479512.7286,180616.685313,51114912.9377
796,41,24204.7786922,52007977.365,193389.412559,50955655.7839
828,55,2462.14963654,41976286.9811,193417.380997,51096832.9367
1678,84,487.754190074,49479512.7286,168446.436712,51211710.2152
1563,77,690.757397656,46116858.0652,171488.135453,51198325.8977
1690,80,1204.0701758,49479512.7286,172416.033694,51198043.2148
1032,59,8271.41196124,49468056.8723,180651.042598,50881194.0184
1360,78,1898.39595424,49479512.7286,171616.744754,51130065.8852
1608,69,16149.9762558,44746357.415,172633.254414,50132373.9411
1306,67,2566.52631697,49691283.2068,186840.183296,50911243.7343
1411,80,564.792285761,49479512.7286,174180.17758,51200395.9781
1532,75,2545.34242433,42817264.9199,178756.900264,51107114.7355
704,37,22368.6811645,39416275.6873,202210.067359,49734408.5763
1446,65,1119.87755185,49479512.7286,185744.512492,51177208.0315
1554,72,1842.34925487,51523112.2667,177919.551305,51107894.4292
1051,48,17142.5047342,49479512.7286,196341.340818,50483302.6151
1262,71,1058.30218108,51523112.2667,178128.150492,51171125.8768
1473,85,1907.13244195,49479512.7286,165133.264493,51186134.2672
1381,77,2544.24709323,49479512.7286,172801.876035,51157779.7396
