n,hit,dist,nabla,sigma,hv
1770,81,4298.27451184,49479512.7286,176718.968699,50783895.1972
3368,95,41.2931939258,49479512.7286,161619.022462,51224474.8763
3136,95,95.3808290298,49479512.7286,144716.536114,51228665.9428
2970,95,457.312028849,49479512.7286,143836.759781,51225519.2514
3053,96,254.364102707,51523112.2667,143726.513407,51220215.702
2603,90,791.104557654,49479512.7286,165469.119888,51207194.9817
2725,94,231.877284647,49479512.7286,145600.502869,51221515.6149
2443,93,297.28981736,46116858.0652,145372.548677,51215102.062
1423,65,14347.5350884,49479512.7286,164390.287369,50681100.5508
1306,91,109.690860284,49479512.7286,163758.381539,51220819.1415
3363,95,94.8831169595,49479512.7286,145067.928648,51222837.3114
4143,96,64.6333333421,49479512.7286,159544.507149,51226580.837
1402,83,2355.85286133,49479512.7286,165998.072914,51168154.6109
1100,56,16156.8012832,49479512.7286,227420.45163,49919235.7052
2268,92,378.330687844,49691283.2068,162912.581652,51210002.654
3842,95,97.1844155972,42653772.8432,144578.433749,51215782.1967
2174,94,239.620779236,42031257.1927,161014.546172,51216077.9783
748,39,5854.80751236,43130412.3272,213637.229266,50686927.2559
1507,58,3643.13090983,38471158.0049,198896.526171,50951026.3889
2749,87,1203.69210761,42031257.1927,148981.229267,51136067.0386
2975,93,267.444164477,44742214.3824,161078.345321,51217288.7056
2393,93,29.1187335149,49479512.7286,162079.701251,51225083.0402
3484,96,57.6917098535,49479512.7286,160322.029793,51225294.6324
1110,72,422.523963246,49479512.7286,180660.811686,51183707.3994
3633,95,22.6979167303,49479512.7286,160876.030462,51223515.3289
1745,83,1954.41040478,49479512.7286,183559.225184,51038260.7795
1103,57,17420.7485226,51523112.2667,215282.679087,50113320.5959
1840,89,1167.56164384,49479512.7286,166486.600673,51191263.7199
2784,94,1080.23650387,49479512.7286,144016.251763,51219185.9228
1370,58,6274.41666959,54185565.9093,202283.121069,50595166.3201
2897,96,11.9453125005,49479512.7286,145325.931431,51223572.6543
2253,78,2076.99423798,54593674.5195,173509.673446,51171423.6746
1010,64,3159.34365406,42002533.6276,176298.667686,51080875.7713
