n,hit,dist,nabla,sigma,hv
1735,87,314.400560268,49479512.7286,168132.836049,51214382.1604
1275,69,971.930922655,49479512.7286,181634.913392,51168664.6881
713,35,18504.4943873,48201177.7042,247384.439206,49794083.6769
997,44,6450.74485753,48330790.1249,216619.199278,50559071.4388
1983,88,439.33058769,43130412.3272,166113.760401,51197897.4971
1696,81,1133.26376922,46063520.4675,172574.694117,51000617.4462
1807,90,285.90835619,53580319.7903,163951.646369,51204431.2525
876,39,9599.04367009,49341441.3852,263133.872416,50538797.1541
1492,75,3353.20930292,49479512.7286,172330.304473,51161391.496
1438,76,1568.5087724,51523112.2667,155789.05447,51143444.1646
1709,84,357.117478721,41859563.1927,170830.804547,51155424.6514
1524,78,1777.75942045,49479512.7286,171827.227447,51159145.617
1798,88,714.532432456,49479512.7286,165338.859282,51207709.8415
1812,84,276.574344079,51511175.5423,153226.367832,51201361.1518
1576,86,566.571823278,46006068.2692,151929.621772,51193837.746
559,27,31228.8811917,57056721.2887,262295.619929,50516611.5563
1511,77,16270.1135811,51523112.2667,143524.56245,50383586.407
1674,81,6800.84594604,49479512.7286,185320.652932,50962826.8245
1694,87,509.497237884,50511896.3078,167988.724643,51181235.7447
2274,84,1134.63687153,41384546.6863,167850.276433,51150200.4089
1808,77,3335.36887756,51523112.2667,190427.502045,50795267.7244
1631,88,1692.28494632,49479512.7286,149314.909024,51187501.3348
1220,83,1549.83050893,53463423.1817,168815.868984,51182518.2453
1813,90,133.970189706,49479512.7286,165042.244975,51214067.7732
1829,71,17380.9175276,51523112.2667,201077.212411,50120952.3155
1211,70,9240.80654821,51523112.2667,182640.662505,50870449.1368
1820,87,436.795640629,50511896.3078,149141.313695,51206218.5222
1832,78,1161.06383022,54247090.4744,177151.439911,51169239.786
1749,79,1451.6704551,51523112.2667,170430.833459,51189588.2033
1432,72,14637.4095756,49479512.7286,206173.29164,50204533.6507
1071,50,10145.936028,49468056.8723,176669.311563,50973353.5051
1251,69,3440.93292749,51523112.2667,175751.733211,51146065.0087
1748,83,567.317143274,49479512.7286,175282.208578,51173537.7635
1455,76,14302.7493492,50511896.3078,204899.403097,49916972.0417
1626,89,742.820384452,49479512.7286,163923.049122,51135110.59
1820,86,555.409471046,42031257.1927,167243.165975,51197513.8951
1072,71,4716.13823551,42653772.8432,175926.381726,51122352.8149
1760,80,2854.04000035,42031257.1927,161330.794517,50940463.1614
814,41,8601.46640456,49479512.7286,179193.389531,51085762.4456
1544,76,6988.57183945,49479512.7286,163924.921231,50964678.9937
1877,82,581.494319209,50511896.3078,170280.896456,51166074.8785
1811,87,763.164894633,51523112.2667,163565.878582,51188791.6807
1379,61,18598.0626796,49479512.7286,218390.202023,50104208.5421
2024,80,1155.05780469,50511896.3078,171428.179426,51137597.3563
1793,84,454.369014334,49479512.7286,157989.40136,51109750.0533
1859,87,448.084699605,49479512.7286,166059.826081,51206618.1711
1545,77,3730.11953405,51523112.2667,178676.208137,50928907.3298
1541,80,4216.80571433,49479512.7286,176691.633408,51127747.7729
1735,83,585.863248268,51523112.2667,171375.794794,51122179.7045
1683,80,880.38709794,51523112.2667,173199.221455,51110347.273
1619,83,1184.1994224,51523112.2667,170336.692986,50838024.5271
1772,84,1392.30684989,44742214.3824,149014.80222,51195898.8118
1036,50,13334.989336,51511175.5423,216805.580064,50316467.2183
1422,76,4861.7076024,49479512.7286,184452.984159,50910238.9426
1164,62,2216.08571459,49468056.8723,219042.306358,50946490.0103
931,60,1363.69611722,51523112.2667,194198.645583,51058354.8342
1471,90,218.189840248,48221134.471,163082.739379,51217698.8972
1849,86,1281.09510879,49479512.7286,164162.163186,51213217.5169
1868,85,586.186111317,48221134.471,166452.17609,51213866.0365
1475,87,925.702479754,46006068.2692,166453.986171,51205426.1364
719,30,24233.6092464,38748311.4175,257993.815924,49803924.9699
1648,85,543.576179242,48221134.471,150343.919913,51187945.5337
1105,53,6924.52413965,48221134.471,193436.904592,50900553.1124
1931,79,888.222222559,49468056.8723,153328.644157,51188518.5698
1723,86,578.761111203,49479512.7286,168013.42275,51207108.0922
1774,84,665.42737487,40878298.7436,152203.032049,51162386.3705
1788,89,238.646739489,50500156.8411,149232.820345,51211294.279
622,30,22754.9449266,41116092.8585,268434.161837,50001248.4453
790,46,3657.76150745,50534232.935,209218.544401,51049312.3189
1487,82,1718.82285723,49479512.7286,167932.021204,51189826.5706
1569,83,819.242424814,51523112.2667,165769.326574,51200470.1122
1684,88,542.832433254,49479512.7286,165221.068213,51205140.328
1683,69,11788.088826,49679764.6177,194243.274009,50722271.8006
1586,79,2902.54466891,49479512.7286,172247.87351,51136842.9681
1750,81,1043.15384647,44742214.3824,171824.260223,51163789.881
1347,76,1703.34492784,43042688.7154,172062.861892,51136973.6593
1553,83,502.931232432,49479512.7286,189119.05525,51125316.6111
1134,63,11978.6515168,51523112.2667,169702.708551,50322356.774
926,56,16828.3949091,49459095.7293,225225.136301,49934035.6458
2158,86,239.551724233,46006068.2692,169196.766856,51210750.3868
1537,77,1136.86186417,50511896.3078,177955.799819,50996062.053
1663,74,4934.32739089,49479512.7286,192646.097355,50958071.0613
733,27,33370.2403884,60099359.1364,340347.611639,50569006.4979
566,32,4628.02645891,37729151.8184,250829.994077,50616427.4489
1759,81,674.780415504,42653772.8432,176536.268188,51158882.6285
1717,87,1640.95342495,50511896.3078,149703.890023,51188898.6558
1748,84,130.418338291,49479512.7286,171105.149402,51187764.9539
1955,84,532.778090497,49479512.7286,167536.774125,51208973.6042
1139,64,2651.63548392,39104810.5581,165924.577647,51097038.7031
1168,67,2232.92926085,46647396.1656,179832.984276,51158316.1699
1659,76,5682.13467131,49479512.7286,186566.791414,50963635.1188
1734,77,1537.7647062,51523112.2667,157898.856437,51107191.2217
1862,92,38.7780748732,49479512.7286,146659.274937,51214041.0403
681,48,5131.8734189,49415732.6755,287289.721049,50607527.4666
1687,85,550.299450984,46647396.1656,150591.769362,51198033.9796
1576,82,2079.45403946,49479512.7286,151981.682555,51127707.0734
1870,80,895.641620259,46063520.4675,155910.822694,51151639.7331
1605,82,1342.50862077,49479512.7286,153302.971807,51168636.3365
1101,69,2993.21019152,51501851.2378,185797.078248,51120181.4005
1757,86,347.571831635,49479512.7286,152445.648674,51186975.7923
1747,77,11324.2393624,46006068.2692,172453.533842,50730579.6868
1669,90,394.625000902,50511896.3078,147090.81928,51208785.2497
598,28,15176.165096,48409786.0794,246755.469112,50412688.2089
1296,70,5270.25610018,49479512.7286,163719.551313,50932428.8541
1329,70,12707.1661819,49468056.8723,194073.023349,50186677.1437
