n,hit,dist,nabla,sigma,hv
1575,87,446.17127097,49479512.7286,166338.51675,51183276.1094
2655,93,149.614361766,49479512.7286,164682.506671,51201149.956
1035,55,2556.44262492,49479512.7286,249916.068362,50223413.1382
2083,83,2555.86813327,51523112.2667,166332.618109,50962671.8139
2604,84,883.911428593,49479512.7286,153270.951595,51192078.7932
1770,88,318.925620013,49479512.7286,168120.798688,51200836.665
1127,66,14379.4576389,50490980.6334,211919.332456,50068821.6321
704,22,24184.9198307,49468056.8723,282717.811246,49831357.196
1999,77,6425.54213523,49479512.7286,192931.791382,50613957.9593
2067,95,12.5013055394,49479512.7286,145453.141737,51225116.1509
2205,96,9.12467532518,49479512.7286,160535.949838,51225340.1486
2599,93,101.484293558,51523112.2667,161181.895364,51221225.3568
1900,90,359.836021646,49479512.7286,148460.514626,51162958.9229
2663,95,147.950904467,48221134.471,144163.212212,51221848.5985
2338,92,1103.27851467,49479512.7286,162522.549465,51215290.7304
1140,47,13008.0365098,46006068.2692,224047.145175,50485469.1917
1336,73,2595.02702885,49479512.7286,186124.125589,51044874.439
2419,91,118.957219336,49691283.2068,163737.907632,51221729.722
893,37,19657.9022234,41105813.1311,238314.799468,50845153.0422
2691,90,367.95956883,46494719.8523,148053.734732,51214116.0012
926,51,10171.6726663,43750973.4564,267192.09517,49490607.8523
2527,93,37.9597855229,49479512.7286,163678.09992,51225609.914
1657,73,7946.52556921,49479512.7286,169528.19421,51007819.8438
1354,59,6125.0980397,51511175.5423,197060.514209,50984236.1709
2062,95,135.492146597,49479512.7286,161215.765657,51224771.0465
1046,62,11848.3282217,49479512.7286,195756.735513,50709657.647
2190,87,2532.51871698,50511896.3078,149959.781429,51142364.6564
2376,90,380.384000223,50511896.3078,163132.961168,51209109.8091
2255,86,379.474576453,49479512.7286,170542.580535,51146021.4509
2619,90,1370.25464192,49479512.7286,164478.194335,51209155.2612
2771,94,227.401041773,49479512.7286,145218.281141,51219697.4857
2118,94,106.816754003,42653772.8432,145534.656939,51215562.124
2085,93,33.8597884207,49479512.7286,162148.694297,51222123.3052
1390,73,16225.1424888,49479512.7286,165308.051514,50158995.1337
1579,76,12017.9338632,46494719.8523,172470.019754,50563213.5384
1476,71,16684.554975,42626517.0008,202097.544581,50166900.3668
1945,93,51.4748011083,49691283.2068,162468.985,51221895.6397
2010,88,532.73204421,49479512.7286,150129.76338,51168268.3349
1985,88,718.771350172,49479512.7286,168768.532986,51116361.721
2396,93,72.0684211593,51523112.2667,162099.113972,51224397.801
853,49,11312.5647524,49479512.7286,207159.327937,50494611.9393
1501,90,726.355091802,51523112.2667,161213.365084,51204023.9413
226,1,21038.7549589,45626020.4124,415893.596226,48646271.2429
2301,94,188.555844409,51523112.2667,144550.536803,51222049.1258
2145,93,393.618421058,39327149.1218,145806.588474,51213836.3455
374,15,16575.9513939,39507056.5281,378643.920417,48969270.6364
2496,90,367.44680861,49459095.7293,146565.499471,51218049.0093
