n,hit,dist,nabla,sigma,hv
914,40,32542.8495951,44080209.7416,275283.413199,50000454.3749
942,43,6272.06198931,41374813.6215,214848.424826,50810014.3012
813,43,2472.64285842,41859563.1927,251455.826713,50854359.2002
536,26,19640.3750046,52025925.9895,252717.405036,51002591.8676
771,36,8586.24887065,38775962.7514,196205.966682,50646245.4146
699,28,57489.4105298,64757221.5203,321182.481813,50695590.5844
901,50,14061.7480649,54102473.9702,206221.173033,51045678.074
865,42,14541.886863,54247090.4744,180310.650608,50237852.5373
886,48,3646.55201667,40408568.9732,209548.458799,50846419.027
955,37,4095.18660478,48330790.1249,223047.788172,51017156.9988
718,42,19114.0743826,45377813.8317,281543.9584,49540215.622
775,42,4384.71232983,54176741.7215,315406.627934,50500220.6583
899,51,8478.09886043,35955298.0327,239089.947629,50378448.0817
820,36,17786.5042744,39062380.1334,218597.459223,50759146.9058
920,48,17761.3788414,34788062.5412,252408.154715,50276171.9905
905,52,830.365147259,38766821.0725,207577.591901,51115429.9897
809,50,5469.44230974,49459095.7293,206337.070972,50989891.2335
368,13,13691.6500047,48396776.0175,407445.16152,49216642.8421
696,48,13613.6302533,52007977.365,212446.364765,50954584.7321
883,43,5889.27803306,49479512.7286,211379.808828,50818857.7558
863,50,5839.69629813,39314546.3208,201293.600546,50826334.5042
840,44,5287.54732983,54593674.5195,205863.743901,50600532.9535
942,45,15867.0925607,41384546.6863,243180.294905,49830502.358
900,50,4102.37931121,50511896.3078,198817.320731,51098190.7985
829,40,11636.6202586,51523112.2667,308183.465429,50041152.2741
826,46,16036.5215547,56921999.7843,215636.176776,50719596.6945
558,13,44555.902446,52025925.9895,284705.902075,49259433.0172
781,30,14372.7016835,54247090.4744,237543.622781,50737289.9338
855,47,16079.400004,44271782.3984,239054.638926,50057713.6015
873,41,20186.9160884,49966025.5307,190382.443249,50033642.8384
847,35,4728.25962709,46106062.3261,232597.0466,50750350.1484
766,27,21493.4107171,49479512.7286,241948.441431,50202219.1424
903,38,20750.4493406,43537136.5354,220375.744142,50955485.6102
755,37,8343.35814193,54178352.9012,241857.314753,50393807.5888
852,44,18817.1092189,41588361.378,232699.014163,49908663.4502
941,52,3823.81273524,41859563.1927,194129.026709,51130203.5173
927,35,20133.3268524,43773979.2517,248663.961091,50023156.3101
878,41,6470.37391729,40133032.5064,276226.738294,50369811.5725
887,33,16553.6049476,50511896.3078,192041.780167,50446840.1455
941,50,11311.2975801,44097007.605,200892.902923,50362551.9856
687,23,8924.63815984,49468056.8723,322370.793972,50712284.6565
826,37,3306.39151035,50500156.8411,199467.563837,50906668.6798
925,51,24302.0851095,43542093.5539,195987.081809,51069682.8214
716,30,7821.12617405,44221825.2059,221160.628358,50544167.3317
510,10,26646.5274037,41062758.1399,238369.426177,50106227.3998
907,39,13646.7808816,45995350.3991,214490.926782,50602193.6865
774,43,10138.0378329,42953913.1503,257081.956074,50640691.245
850,45,13730.6962993,38775962.7514,247854.208534,49917275.6829
918,52,3029.43165754,46494719.8523,198345.013684,51029413.4815
583,19,29497.4234712,48209940.532,188696.049502,50644164.249
728,30,7155.45596581,49479512.7286,214885.347955,50880110.2269
898,47,3705.52719791,44942198.3294,206566.774115,50872382.394
761,44,8179.30769399,51511175.5423,167279.285567,50993082.9389
767,33,10998.0840726,48366741.7151,225190.812942,50987710.2258
814,49,2150.56611843,47034543.5806,211213.072649,50954974.5913
899,46,17310.6785744,48891645.9574,291602.20233,49763168.1279
849,33,12476.7827966,42839357.324,233721.857066,50556439.5508
906,57,5289.70805452,46116858.0652,183351.518822,51036994.2767
580,29,23321.5454551,51298511.9038,248634.066673,50728108.3323
