n,hit,dist,nabla,sigma,hv
1297,67,6743.20370413,46006068.2692,195829.89527,50591396.1987
1324,77,2185.36599534,46494719.8523,155204.523441,51137708.7858
685,37,6160.98469481,39846345.3732,232907.767304,51007979.1829
1026,56,3231.83688092,49479512.7286,192953.272606,51053705.7114
1413,73,3787.28698372,48330790.1249,197329.802882,50958069.9258
547,16,25139.0509696,42883349.3313,233473.601029,49811983.8084
1309,59,1447.99642957,43662130.1009,168881.120934,51144704.5336
1276,58,7677.40939928,54247090.4744,201845.769869,50857630.2292
1254,55,4290.91729479,49479512.7286,208855.818939,50851866.1097
1405,73,724.634618289,46063520.4675,163557.978065,51135358.7046
1445,64,14714.8642675,46494719.8523,168822.688294,50519035.9233
1519,69,2038.94704171,46063520.4675,177752.655115,51074648.3092
816,51,5371.70472492,49479512.7286,219972.490125,50809628.151
772,32,16604.4577091,39707919.3915,267263.172865,49869470.9039
1498,72,3508.5389223,49691283.2068,154893.515108,51162959.6216
1341,57,10788.2744612,54252146.6119,170248.994233,50381831.2768
1467,81,785.473988733,49468056.8723,155346.108981,51118294.4473
1494,76,1176.94627061,50511896.3078,172580.557193,51187381.9083
1500,56,14600.9055389,51523112.2667,198860.732866,50323807.2778
1349,68,1426.06040271,39864189.7384,185060.697718,51141476.8943
1342,62,13234.1934543,49479512.7286,175029.849331,50106167.9846
1537,75,1390.53191511,39067070.8773,176907.60052,51106550.8754
1483,78,1782.29970357,42649054.7943,173870.750028,51172403.2244
1461,65,2527.49491553,47145652.3226,234614.477729,50655323.4627
1215,61,4291.96885848,42040326.0154,179733.690454,50988803.2364
1287,68,1789.85389648,50446547.1075,187142.031959,51118916.6273
1252,71,7242.81982032,51523112.2667,185926.794048,50989667.1825
1411,73,2092.3647419,38775962.7514,176141.426513,51148084.8872
1240,73,10723.562328,41859563.1927,183731.449853,50780260.5862
1389,81,600.005714804,41859563.1927,169416.698447,51203230.3532
1526,62,16875.2562705,42031257.1927,171435.355949,50155510.9072
1319,75,1948.15290637,49479512.7286,176509.705223,51121344.5625
1397,69,3939.88145974,46647396.1656,188139.612478,51073700.4736
1499,76,2130.10850465,51511175.5423,157774.525676,51157754.4593
1265,63,15727.0196103,44169523.6074,188078.237102,50989691.293
1273,62,1637.36986768,49691283.2068,168270.34147,51037978.2231
1329,68,1223.94352202,49459095.7293,176140.231057,50968486.3628
1362,78,1942.42608832,50511896.3078,172109.624002,51181409.6036
1410,71,4277.1036599,48221134.471,190367.945274,50741070.8988
1436,63,2432.91362184,41374813.6215,182605.446306,51163074.6016
1495,71,1049.86217974,38794124.2881,182091.123004,51090714.5913
1343,68,6691.99071314,49479512.7286,172961.975911,50393893.3191
1106,59,1201.67399298,49479512.7286,195290.647938,51165841.467
1132,69,2320.35855302,49479512.7286,207345.000116,50932765.2873
1207,60,9218.91475532,49468056.8723,234274.075487,50151704.1301
1459,67,2400.27722911,54200838.0344,192097.605295,50678662.4656
1351,61,19258.9893362,51523112.2667,204901.041499,50151714.9508
1237,57,10537.2679759,49479512.7286,186083.994689,50858940.2448
