n,hit,dist,nabla,sigma,hv
1039,59,14500.6635233,51523112.2667,239860.271659,50362332.6264
1004,56,2199.28464476,51523112.2667,175174.121568,51144122.0419
961,48,7527.20610764,41827041.1139,208317.719491,51003817.0208
729,31,22940.1042491,49479512.7286,245710.530627,49947512.4255
1190,50,14918.6228509,50511896.3078,196816.562315,50387691.3458
1263,54,5070.8703708,48337533.9979,200062.5379,50880817.978
1033,56,12171.78808,51523112.2667,252183.10535,50216330.5879
1184,60,2577.54666785,40570425.8345,184955.508146,51074415.331
985,43,2677.98684239,49479512.7286,215972.220985,51101364.7458
976,61,2788.47517743,46063520.4675,270125.57999,50545217.7071
1089,64,14203.3033035,41588361.378,223511.448458,50378247.1894
1200,57,2358.72463813,42031257.1927,192749.938063,51141310.6894
1190,58,1905.11636409,43061405.5389,173118.138668,51080325.8794
1112,55,5142.29432748,43411650.1649,193350.756822,51016033.3793
1218,56,4393.01773192,44261434.7236,177728.125132,50948215.5504
767,32,10080.8309889,51523112.2667,222536.541102,50933497.0309
1022,66,1604.38795993,49479512.7286,184149.721902,51019909.0816
1078,55,5528.04123852,47527246.5146,214362.919026,50453527.7568
1286,60,13128.73231,42013140.1308,196583.521033,50112832.9251
990,51,3573.87234438,51523112.2667,182579.396164,50841680.5009
1192,59,1762.13286827,41859563.1927,187611.444716,51180623.7962
879,35,17484.590248,51951322.8892,255301.865374,50790133.2329
1002,53,7248.38909304,38941270.1251,210954.016635,50901519.117
1144,56,3981.73826054,38769334.7684,188858.531357,50565882.0055
1067,59,13906.82596,49479512.7286,225753.092721,50545109.3125
838,35,24381.6911797,44089218.7191,239884.391694,50069229.2264
1067,60,11937.2382553,48908682.6025,197618.830957,51133033.8596
1175,56,19130.9799467,43769207.3212,219607.172707,50128566.9843
946,60,1803.03819604,35880416.6242,190547.057493,50950345.4047
1060,62,8458.04530779,44746357.415,188850.003764,50847568.7765
1056,57,6329.27402559,43662130.1009,246390.5881,49952991.1911
970,33,8225.32461177,42839357.324,213507.986886,50833681.0898
1135,71,1825.93188937,54247090.4744,178175.752059,51157859.9878
868,55,2749.51737469,49468056.8723,207285.797329,50990659.2374
1074,53,14493.3355488,49459095.7293,190238.893996,50833834.2895
998,55,5434.60068437,53463423.1817,172948.230903,50558187.2944
1202,57,4829.72852297,42013140.1308,195155.327203,51062477.8815
1224,53,2038.60317572,39836942.6166,201223.536508,51085236.3294
773,40,21502.6353426,54580972.1456,244982.421169,50122656.3831
1135,58,7753.56597406,43608359.7798,215897.355551,50295144.1764
300,9,33596.940603,41090014.7166,352990.593382,49914954.7046
1027,64,7487.41049533,46494719.8523,195258.393473,50797466.6964
1030,50,5199.85555248,51523112.2667,212005.489885,50936893.0331
1035,62,11392.428573,42971912.2947,202935.804178,50430586.7914
766,40,5421.34782637,39621165.1207,237694.816148,50634450.9236
1092,64,8354.87337701,43130412.3272,188802.93691,50888349.1034
996,54,3902.67279684,40514575.6731,209197.144511,50857000.6376
822,30,14062.109525,49468056.8723,246960.125247,50796050.5492
689,29,30563.8957369,54180248.6849,229284.400942,50431786.9975
1167,58,9079.9583338,44808609.1484,196400.870487,51150839.7611
1002,51,5662.43773626,48310748.0509,227462.699843,50821549.4506
1054,69,1413.46645463,39121289.5586,163872.761212,51090363.8478
1112,56,2850.43416653,40514575.6731,202524.524729,51032054.9872
889,40,23147.2222263,49479512.7286,226357.847147,50045269.4109
1176,61,3236.53287542,46116858.0652,185960.719791,50876860.9604
572,24,23690.8657231,42755625.7993,287015.684272,49694713.4806
960,50,44209.7480003,58628892.8556,265627.928923,51047152.6226
1074,63,2559.15679561,51523112.2667,194859.544988,51022934.3286
1153,61,8005.43086927,49627158.9512,204992.565906,50232420.7772
551,30,12238.7210545,52007977.365,243060.539695,51007347.1742
1115,56,1407.48249151,46106062.3261,195891.51064,51106937.6318
1032,57,2213.92474412,43399458.086,175286.151802,51054076.2042
1181,56,14729.9874645,46494719.8523,171995.186794,49812227.0559
