n,hit,dist,nabla,sigma,hv
2050,77,10277.1048477,43608359.7798,168835.904749,50593143.8207
3327,92,268.994694978,49691283.2068,146322.611283,51212144.8609
1908,83,3057.38753415,49479512.7286,167021.715708,50944774.7052
1285,80,6509.25690742,49479512.7286,171805.097465,50741945.9085
3195,93,390.176165967,49479512.7286,161013.8749,51218210.3923
3556,96,19.413436936,51523112.2667,160124.931177,51221429.2696
1298,49,1524.24166705,39121289.5586,206528.539232,51133684.5051
2799,94,954.434554979,49479512.7286,145216.004727,51221146.2263
1941,60,2516.19463106,46006068.2692,191672.108182,51102860.1652
3108,89,352.190082771,49479512.7286,168307.582277,51106284.3913
351,8,35504.3851966,46659097.3595,348817.63038,49328466.6375
4100,97,57.1000000088,49479512.7286,143609.307987,51225691.3785
3284,93,261.556430755,49479512.7286,161801.40929,51200583.7601
3344,95,118.536082567,51523112.2667,143922.22504,51222547.2025
3600,96,198.846547644,51523112.2667,143324.267039,51222313.3634
2146,95,79.1119793194,49479512.7286,160793.511509,51228003.3879
833,37,18245.3797018,48319546.4125,243088.379177,50071131.0904
2100,87,247.088642757,49479512.7286,149651.301014,51221625.7846
3754,95,58.2958115289,49479512.7286,161139.195781,51224945.2668
1377,74,15846.7096052,49479512.7286,198509.783184,50178128.6246
976,52,17556.419465,49468056.8723,186526.0852,50095647.0124
4198,96,127.925641177,49479512.7286,159972.574547,51226978.0396
2023,89,399.075881049,49479512.7286,149568.680793,51137476.1742
3085,94,480.860833347,49479512.7286,144457.006342,51213305.1108
1646,78,997.456647679,50511896.3078,155940.233735,51190585.7288
2374,95,132.867187501,46006068.2692,161243.087444,51220517.7398
2764,90,394.553200667,49479512.7286,146792.878076,51196411.004
1850,96,137.586126678,48221134.471,159852.173694,51218008.601
1364,77,14737.9265838,49479512.7286,200123.948398,50241843.3348
3831,96,16.626288662,49479512.7286,144413.403343,51228345.0521
3425,92,419.311518597,51523112.2667,161631.54928,51214275.4089
2040,96,11.4088542231,49479512.7286,160861.178253,51222874.0079
2363,80,1548.63017769,41859563.1927,157825.996745,51078390.8388
1598,93,157.761780125,49479512.7286,162899.683358,51224558.3299
1013,70,11122.7319903,51523112.2667,165540.189753,50184497.7657
2256,82,3036.46306824,49479512.7286,175730.521962,51011597.4855
3483,92,676.187500415,51523112.2667,144989.472065,51213769.4286
1682,94,105.264397922,49479512.7286,161642.296281,51221444.0918
2592,95,263.420918397,46116858.0652,143260.691098,51220144.8856
1764,61,1436.79513991,49479512.7286,195208.822241,51041649.3547
2606,88,487.084699515,49479512.7286,149193.945848,51220851.9784
1369,94,48.0677084032,49479512.7286,144849.472581,51223327.5006
3780,96,89.1056701143,49479512.7286,144526.557719,51227621.6382
3062,95,106.00516797,49479512.7286,161129.096288,51225619.5954
4034,94,106.256544785,51523112.2667,161071.662171,51220032.8315
2788,94,117.250000257,51523112.2667,145176.776107,51221486.0215
1077,52,5584.96577962,49479512.7286,202001.247154,51093885.0433
3386,94,210.411917319,49479512.7286,144823.835195,51216009.1821
2555,85,1380.3739849,51523112.2667,165516.46782,51174003.3372
1685,63,2950.57467741,42653772.8432,168373.766928,50806903.5091
911,64,5860.92356874,49479512.7286,184262.88592,51043396.6881
1391,80,8650.55200064,49479512.7286,171998.203665,51012009.4877
1307,50,16198.5189032,54234449.4622,201074.096082,49882477.6333
3188,96,32.5569948266,49479512.7286,160418.752914,51223249.1258
2456,80,1686.2493091,49479512.7286,166962.606345,51198797.2985
3117,95,106.00516797,49479512.7286,160410.875751,51226194.3725
1713,80,12881.0381695,49479512.7286,202082.557084,50139048.049
2671,94,58.602631588,49479512.7286,162018.250446,51223345.8788
1704,69,15574.6720025,54593674.5195,176510.891228,50498511.5935
3040,96,45.2904884334,49691283.2068,144287.168369,51228125.7698
3216,95,95.9201031055,49479512.7286,144811.441936,51222275.16
1461,93,424.044386645,50511896.3078,162122.674968,51214259.535
661,29,9652.66985743,49479512.7286,217772.6166,50658285.9133
2581,88,299.758904769,50511896.3078,150697.549748,51176019.5679
1181,65,5593.06148915,51523112.2667,222694.129727,50772201.7125
3483,88,935.741046966,49479512.7286,156074.600184,51068520.9775
3184,96,30.6701030975,49479512.7286,159954.816119,51224954.0298
1597,78,17670.8321535,49479512.7286,141463.100673,50189248.3866
2278,96,33.8737113423,49479512.7286,159958.8245,51226989.1228
1615,77,17611.0170747,49479512.7286,194818.900901,50184495.3157
2457,94,101.762402448,49479512.7286,161534.681912,51225048.3796
2573,93,236.110817959,46063520.4675,162631.889628,51201786.9635
1260,68,16980.2657911,49479512.7286,202981.084525,50108551.9199
2732,83,1485.57880511,42817264.9199,149851.35282,51148668.964
3439,90,3564.36623392,49479512.7286,147125.075244,51172355.5238
1219,71,1274.1942678,49479512.7286,179718.719021,51155045.9273
1694,58,1743.29562121,48221134.471,177920.979964,51082105.6023
3185,96,121.01288675,49479512.7286,143909.994681,51224680.6445
3068,88,1595.35405434,51523112.2667,151634.830374,51118374.0692
1853,82,2662.69315303,54593674.5195,165318.583186,51175893.1385
2841,93,149.559681714,49479512.7286,162178.099417,51225013.4622
2012,72,5424.52647185,43769207.3212,182361.599066,51106612.2652
2934,97,6.99230773249,51523112.2667,143552.044272,51227203.3759
4074,94,367.051813746,51523112.2667,144418.306273,51219283.1915
2358,77,820.183183494,44684015.1765,179888.385911,51157404.3469
2914,95,137.285347196,49479512.7286,160224.072227,51223651.2
2015,94,178.13246767,49479512.7286,144769.856308,51219852.9935
1313,73,17967.6111123,49479512.7286,200794.221288,50231313.0117
2233,76,2452.85294187,49479512.7286,174155.111693,51069631.3351
2699,96,16.7558441563,49479512.7286,160949.416313,51226705.5347
2297,81,2053.60907467,43130412.3272,171268.467464,51141334.3716
1292,78,4995.57584343,49479512.7286,172582.556012,51034676.3339
2105,85,1398.28370805,49479512.7286,176278.300304,50918279.3645
2984,93,66.9523809615,49479512.7286,146386.220352,51213926.2684
3382,94,276.943005443,51523112.2667,144860.886114,51218571.5856
3273,97,114.439897712,49479512.7286,159397.566968,51225887.6303
752,52,3443.58175028,46006068.2692,199480.975471,51097146.3112
1314,85,590.25633813,49479512.7286,169700.219537,51211531.2236
1080,54,16374.8359274,54593674.5195,166141.571191,50761347.98
3846,95,27.1012987091,49479512.7286,161704.326159,51225771.6794
1149,77,2561.40597095,49479512.7286,186377.74682,50889844.9846
1519,89,1521.44744988,54593674.5195,148772.761295,51196200.9008
2676,86,2263.29834297,51523112.2667,169755.033473,51149216.8185
2371,85,740.047222452,49479512.7286,153738.37158,51141014.0799
1340,68,18434.4736862,54138002.4273,198645.229898,50131601.2806
