n,hit,dist,nabla,sigma,hv
1258,62,3111.71180606,51523112.2667,185731.014949,51075378.5051
1849,82,1735.49171303,42002533.6276,167666.173587,51195667.5532
1641,74,9059.52136813,49479512.7286,181250.065294,51009448.675
1432,79,2166.92058849,49479512.7286,178404.440947,50977524.3817
725,34,15074.4166689,49459095.7293,272056.496087,50001482.7818
1148,61,4287.80935259,42040326.0154,207750.402444,50979654.0285
1778,88,1932.28272288,54322143.6789,162191.14248,51176303.3669
1866,79,1333.46820834,43662130.1009,170818.039175,51147355.2176
1708,79,3902.11931822,49691283.2068,170004.385392,51137292.3807
1137,60,12375.618466,51523112.2667,229929.989036,50374831.7303
1582,73,1457.72477172,49479512.7286,175340.420791,51160803.6412
1344,70,15496.6728741,51523112.2667,204406.195158,50152978.7976
904,48,9149.07843205,46116858.0652,249007.616213,50658522.9834
1866,89,122.117166385,49479512.7286,165423.789256,51209923.794
1908,74,3671.34049232,39327149.1218,185693.195827,50719618.8552
1579,83,1508.22222224,42013140.1308,153568.817938,51172367.6794
1644,83,1370.9885716,54200838.0344,172954.667618,51133494.9933
1223,75,867.379939551,50511896.3078,175255.815253,51180902.5508
1755,88,56.2527777911,49479512.7286,166801.223802,51222306.3366
989,61,2407.65771964,51511175.5423,188555.995645,51152731.9049
1084,55,13466.3959743,44663751.5924,184211.979009,50771796.9765
1314,77,773.817911138,42653772.8432,173519.804264,51174427.7232
1840,80,478.724340196,49479512.7286,171001.525026,51203151.4247
1101,40,23659.7212566,44089218.7191,242288.077308,50104031.7294
1501,90,1103.93766961,50511896.3078,166301.39691,51204421.678
1990,84,576.974931179,46006068.2692,166565.011667,51192876.1817
1786,91,252.392474069,50511896.3078,147334.498278,51218247.4349
1916,71,3662.91239696,49479512.7286,176698.009258,51095671.5427
1958,89,322.704109825,42031257.1927,166753.946788,51172922.2176
1767,79,7809.62702712,49479512.7286,151870.076826,50997798.5059
1282,66,17194.3571441,49479512.7286,208911.63886,50148522.0708
1770,84,364.704545802,44786937.9342,168747.290104,51210442.0909
2085,91,240.82479801,49479512.7286,164131.748895,51216489.3284
1844,81,1117.06034491,46116858.0652,153994.284331,51151168.8505
1676,89,217.797297374,49479512.7286,166073.968487,51187834.1905
1756,80,953.238372473,50511896.3078,170670.031515,51206110.5058
1022,52,2613.80241983,51523112.2667,207332.730628,50946012.5465
1425,77,8112.49008692,49479512.7286,158301.845117,50656617.1334
668,30,42962.317311,58808237.1695,375296.412709,49816131.9193
1641,81,3910.12112689,49479512.7286,172455.234181,51112851.9771
904,50,14969.9233357,49479512.7286,230314.668732,50114028.8891
2305,85,963.327027844,49691283.2068,164475.164621,51190382.9393
1947,86,832.489130474,44942198.3294,149542.438534,51192151.826
1429,71,3624.41212211,41272220.618,175833.460251,51140660.9788
1887,83,2759.99724634,49479512.7286,169061.85744,51012464.8741
952,63,2345.9965888,49479512.7286,193789.817032,51086976.4092
1889,82,746.674221265,48221134.471,168953.557026,51187292.9181
1747,86,1992.68010812,49479512.7286,146393.772787,51187473.8891
837,41,10702.5396885,54580972.1456,209293.93225,50678144.1279
1273,86,1417.85790914,51523112.2667,165647.256262,51191292.4999
1782,87,209.008333567,50511896.3078,167197.144168,51208349.2198
1161,42,11124.9856659,49479512.7286,200066.634475,50746827.3174
1207,69,2116.9776359,51523112.2667,161370.24423,51153847.6263
1078,45,29720.1161068,47268989.816,184498.119537,50742214.2844
2065,87,480.419178626,51523112.2667,166403.897429,51204910.7212
1570,76,17215.5307141,49479512.7286,148000.890564,50186413.2523
2055,85,497.908587531,49479512.7286,167515.550697,51209659.9217
2088,89,162.435616665,42004399.139,148851.900269,51206269.3796
1403,71,5308.74921686,49468056.8723,166328.011606,50961069.4692
1584,89,158.367847549,42031257.1927,164919.257915,51206206.0039
1796,88,332.617486342,49479512.7286,165498.888997,51214986.2257
1466,93,187.943152711,51523112.2667,161943.026869,51218342.2189
1870,85,436.784916491,41411546.341,167999.438433,51205638.2494
1768,83,421.336207128,50511896.3078,153936.775144,51185324.7741
1267,64,2652.62829,51523112.2667,185424.353552,50972399.9387
1137,42,15706.3191504,45348139.1524,225987.04916,50767461.8467
1937,84,1509.4929272,49479512.7286,171557.294315,51163398.5826
917,42,16919.5579741,51523112.2667,249777.01969,49852589.746
1869,80,2191.96883919,49479512.7286,162993.905912,51029099.8343
943,40,6890.61603478,49479512.7286,213045.001898,50954255.0343
1851,84,1243.28410024,49479512.7286,171626.241946,51139163.0165
1518,76,1255.132354,39846345.3732,156419.865877,51083413.4326
2436,82,761.03143073,54593674.5195,171888.260152,51187395.6542
1261,63,4260.39655177,49479512.7286,197336.668523,51074057.1284
931,51,5966.90944854,54580972.1456,216850.843767,50582680.1475
1822,88,633.235135525,49479512.7286,164315.59542,51172506.7132
2032,91,487.817460468,49479512.7286,162377.728708,51213386.4715
1874,91,9.5983606579,49479512.7286,164878.325142,51224746.0767
2473,86,204.243767872,43662130.1009,167958.669697,51205204.6904
665,27,18458.4901015,38766821.0725,282879.558029,49883381.0271
1826,88,224.728022079,51523112.2667,165634.371603,51216300.7273
1763,81,1823.62427788,40136827.9306,190384.703796,51004155.0225
1706,89,228.589674677,51523112.2667,165772.667541,51213842.962
1089,76,1912.60534146,49479512.7286,171886.625987,51202333.4111
1615,86,179.921126778,42040326.0154,171025.052099,51149922.1218
1321,71,17617.1813621,48221134.471,198862.836944,50106071.0075
1063,69,993.737705019,49479512.7286,184042.18912,51149616.6361
1547,75,14082.2623387,46647396.1656,204087.644292,50268632.1734
1646,84,456.047752912,49479512.7286,166843.238842,51212725.4957
1664,50,4160.77821101,50511896.3078,202797.923132,51055792.6266
1190,61,1962.68055633,54138002.4273,194870.459103,51148435.6643
2026,91,198.470744719,49691283.2068,163336.210057,51222993.0706
1799,76,2842.9912542,51523112.2667,183886.378642,50840557.9574
1762,81,169.88988107,46063520.4675,173628.58221,51145302.2912
1315,78,844.566667926,50511896.3078,184755.421664,50973908.5318
1889,83,458.923076942,49479512.7286,153679.632098,51201958.2809
1674,73,13603.146342,49479512.7286,201932.110379,50714455.9795
1778,75,2913.00882397,54247090.4744,188387.902843,51055711.5283
