n,hit,dist,nabla,sigma,hv
1474,62,1717.25510287,50511896.3078,187182.186914,51046592.7575
1191,73,1063.0571438,49479512.7286,194212.528419,51003161.175
1525,81,1134.29096082,48221134.471,153060.897225,51168048.6059
691,25,39560.8944769,51789608.0104,336606.180779,49570196.5714
1606,67,7086.4285732,49479512.7286,183318.893759,50370481.3752
1416,78,1255.52046853,42755625.7993,154710.690865,51172570.5934
1576,81,1110.76608196,39775468.9892,172433.621402,51171333.3407
1409,77,4408.77744866,48330790.1249,163474.717368,50954058.7603
1491,64,15748.4792258,42031257.1927,211267.460521,50352285.7553
1661,79,1954.98260875,49691283.2068,189301.3521,51009679.0145
635,26,21372.0622021,38712770.651,285566.926824,50402165.4227
1547,75,6848.01587486,54593674.5195,165677.063857,51019368.6655
1239,71,2496.53250862,49479512.7286,178313.225441,51165594.5662
1532,76,3102.83815078,49479512.7286,157518.12683,51071225.7847
1519,77,1328.16060609,48209940.532,183542.163394,51055195.0272
1821,75,851.35843479,51523112.2667,175543.660983,51190614.3787
1359,59,3317.50488697,44746357.415,194604.603862,51064286.9797
1693,78,1375.38483171,43388869.913,169479.154297,51184836.5398
962,40,11763.1411432,44742214.3824,211590.380492,50841424.663
729,41,11615.4369838,46494719.8523,284087.655082,49662937.8909
868,42,15035.9892507,49479512.7286,182182.789062,49965493.8004
1325,64,2970.24509885,49479512.7286,188180.893133,51004689.134
1389,71,6804.93093154,49479512.7286,209378.815642,50578658.3449
1345,76,2389.4259822,41975693.9283,175928.387137,51159716.5737
874,33,12548.4398165,46044279.3352,289604.846461,50313981.7332
1850,68,18176.9383051,46006068.2692,201248.972409,50119663.4969
1420,70,2222.33548425,48221134.471,193685.677074,50817623.9119
1557,81,569.614285895,49479512.7286,154387.56958,51174671.2965
1471,75,3166.29598924,54580972.1456,171358.696617,51092733.8827
1527,82,306.552631583,42653772.8432,174899.429516,51141986.1585
1541,77,1124.55393755,50511896.3078,154894.817267,51119964.8716
1482,71,1475.83596309,38380900.2496,191599.093361,51062647.3349
1493,76,405.978979881,49459095.7293,172760.711577,51207231.3056
1567,69,4183.82370858,54247090.4744,191592.006932,50891222.749
728,41,8589.90833495,42816625.8087,216138.814916,50585091.3861
1569,81,1022.19491575,39456827.1687,168561.665068,51207062.6272
1187,61,2688.74733253,46116858.0652,200846.992951,51076373.1454
1547,76,3477.30538987,48201177.7042,179016.37112,51079358.3031
1389,71,10734.7855156,48221134.471,208207.064088,50247631.4863
1459,83,262.367647201,49479512.7286,171349.272153,51215943.2551
1417,71,3054.02180928,49479512.7286,169728.624321,50804386.855
1634,76,1174.00000373,54593674.5195,193290.618472,50931618.5478
1466,83,1936.05177155,51523112.2667,164484.314689,51193549.2294
803,35,21890.3813589,49479512.7286,258899.805503,50015859.9108
1657,79,625.803030819,42653772.8432,179255.280004,51085598.5419
1372,74,6204.26392999,49479512.7286,183250.555713,50918067.9928
1330,65,920.051370611,49479512.7286,184510.457113,51182519.7027
1302,75,926.459627443,43130412.3272,179005.020384,51172012.5539
1416,77,5007.55807391,51523112.2667,179112.91569,50807937.1475
1704,72,1226.98466392,50500156.8411,178878.971123,51145562.9795
1465,83,895.136364172,49479512.7286,171412.067714,51124426.8525
1690,80,1697.75510205,46106062.3261,172492.249372,51187424.578
1641,80,1506.73537668,50511896.3078,168227.754349,51162931.6121
1565,80,495.397087104,47145652.3226,172486.111482,51101790.12
1714,76,1253.18695468,51523112.2667,157428.772061,51120126.3488
857,57,1915.33840316,49415732.6755,204395.142588,51074008.1915
1503,78,2096.05865227,49479512.7286,178140.777991,51034366.449
1526,85,437.483333481,51523112.2667,168072.799754,51208181.0279
1464,79,1860.90883236,49479512.7286,172383.406148,51156663.1345
1059,57,22508.5243921,52025925.9895,184069.577356,50196218.8184
1524,71,993.954693007,51523112.2667,185593.4661,51122904.2191
1525,64,19014.2945757,54247090.4744,201573.346757,50154609.9209
1525,78,2710.19186137,46006068.2692,172401.01481,51108900.6324
1170,71,5328.55418051,51523112.2667,186572.795868,50900746.9389
1806,66,14456.695068,54593674.5195,211173.064004,50326390.3901
1453,79,581.235820947,48330790.1249,175083.984005,51194448.7185
1591,73,14197.4330716,49468056.8723,149916.787337,50562080.3268
909,41,10864.4937914,46063520.4675,248861.872583,50591644.4902
1321,67,3060.21406238,38775962.7514,168008.498692,50839614.0636
1633,76,760.363915225,49479512.7286,177343.987289,51177854.5435
1535,77,2549.62898596,50511896.3078,169458.88521,51168462.784
1319,71,10896.0766973,49479512.7286,220316.989105,50349933.499
1466,62,12138.3470795,44218557.362,217160.11868,50896849.6536
1587,71,799.809061792,54247090.4744,183016.303104,51120152.4159
1035,43,4260.27822809,38492828.2495,190160.723897,50907971.6516
