n,hit,dist,nabla,sigma,hv
1366,49,3599.06792626,41638738.0707,196781.491087,51015959.158
365,8,28263.4259366,40397045.5032,341129.036042,49172904.7869
1242,66,7255.22291085,43449019.6511,164649.505552,50975935.5047
1355,62,4350.44186229,49479512.7286,189066.301714,50853568.5553
1264,70,5468.72783028,51523112.2667,181722.399772,51134226.862
1242,71,2106.47949646,50511896.3078,180851.255301,51176879.1497
1232,63,2122.51515235,42489254.3961,183977.419552,51095487.8429
759,22,23629.0950042,51501851.2378,293430.158006,49566840.0244
1159,63,1725.74000087,42002533.6276,186645.039917,51145725.214
1042,68,4873.14332269,43090853.2169,227753.515401,50720256.6359
1155,65,14437.8166202,46063520.4675,214370.340025,50074920.5159
1199,54,8500.41993714,46052731.9067,199430.482137,50910633.4186
1225,68,1341.52103598,49479512.7286,185062.279392,51108755.9318
860,38,3342.92783541,38783175.844,211996.130434,50821777.7078
1163,65,2309.62620904,49479512.7286,183824.147367,51105512.7232
1122,48,5660.39200123,46063520.4675,203419.11431,51079612.4062
1297,57,17768.6725287,54247090.4744,163769.937908,50044862.5685
971,49,1944.00000254,49479512.7286,205162.526058,51011978.4911
1093,64,1491.92764499,54593674.5195,182308.329737,51157077.9778
1205,61,19825.8355465,50511896.3078,203902.816352,50146133.2676
1100,79,558.852516981,40431167.1246,155472.935744,51165255.5879
1188,64,4085.18095331,39775468.9892,178903.629824,51086471.083
1033,52,3431.68131904,43388869.913,203741.958978,51068922.447
974,41,9151.7777788,48268186.606,233672.58032,50580159.0744
1249,59,3808.03146937,54390854.1828,179647.666433,50872768.8431
1235,63,8712.12893148,39121289.5586,194639.19389,50863637.6817
1170,63,4949.13961385,50500156.8411,163567.426022,50981560.5247
1235,65,1539.17275773,43378675.4631,185439.103128,51122883.1631
1198,45,8293.76628446,46116858.0652,200052.423248,50914302.886
778,31,7144.75893095,51523112.2667,246349.496677,50826831.8257
1281,63,1435.07191821,41984428.9467,188733.009005,51105974.9754
1243,67,2382.27187563,43712276.069,178668.127678,51177191.6829
1209,59,6478.51408506,41859563.1927,196317.081969,50966068.2623
894,46,5555.36015424,41384546.6863,216493.577691,50758965.1204
1090,67,5792.2402601,48330790.1249,246616.293441,50398063.1889
1129,60,19263.97721,42839357.324,211995.839789,50104934.4481
878,50,3998.67315282,49459095.7293,201560.396517,51124711.6401
1213,58,5479.30665671,38967424.786,269611.663065,49988328.8038
1024,56,4539.78571647,43598130.5892,183509.549787,51133923.9084
1135,67,1565.56410292,42755625.7993,183962.787801,51126764.8595
1115,64,4835.79047919,49479512.7286,239645.884467,50605118.3802
1155,53,10089.586442,41384546.6863,202349.752566,50860423.9721
1175,61,2440.33788666,51511175.5423,188549.827443,51054769.0845
997,61,1746.15734345,42653772.8432,174187.498953,51091311.2868
1213,58,16684.2972236,43826576.9879,170844.702513,50813981.6504
1231,50,5588.12406205,49479512.7286,195725.677251,50999484.0752
1133,68,2534.81731865,50511896.3078,179488.397248,51127511.9996
1106,63,1723.27908118,54322143.6789,184328.223635,51136046.5674
1078,52,12506.5116291,49479512.7286,197758.608414,50880625.1326
1248,58,2494.61564733,48221134.471,186402.632551,51107471.7647
1114,50,7472.05923524,48158803.1292,201957.261604,51057578.288
1309,72,2138.83596222,42626517.0008,180740.60583,51088189.2747
735,40,13186.6038491,49479512.7286,268502.212489,49619938.3048
1200,60,4116.68493302,46063520.4675,210247.091465,50890405.694
917,58,3033.41877359,38775962.7514,192353.374192,51007342.8476
1221,68,837.43751132,51523112.2667,181611.457539,51167169.0941
1246,60,5520.14930664,41804966.0914,213902.41584,50793481.4649
1127,55,2833.43416539,47981170.879,178466.713714,51101814.6069
576,12,24940.7047015,45873380.6663,346845.90722,50000778.3163
697,32,21586.2127674,44929127.3435,287777.227656,49949308.4655
1141,59,3016.13261678,42031257.1927,188533.283029,51037062.8543
1312,62,3660.9478902,46116858.0652,181705.408201,50929916.6562
744,37,6395.25322094,50500156.8411,185839.640146,50971639.6233
1226,70,1103.49230934,46494719.8523,160197.842969,51180112.6533
1112,59,2113.5878148,41374813.6215,189143.274591,51145001.1325
547,22,17627.0625015,46273797.6069,334912.143248,50693561.966
1212,69,1506.41390794,50511896.3078,185844.063956,51084336.7102
