n,hit,dist,nabla,sigma,hv
656,35,15800.234516,41588361.378,293977.503235,49874463.013
540,16,28608.1985306,51951322.8892,259793.861329,50481490.2849
657,33,6043.37438735,47527246.5146,206549.965539,50893195.2171
632,28,57337.9014824,41980496.9915,313521.921584,50804720.3983
663,31,12252.1588801,38766821.0725,234385.587759,50577390.1615
648,30,18396.4744926,41921956.8271,214522.641298,50944121.3147
531,25,8449.77778302,53088260.6942,279226.43356,50544120.0581
488,12,60653.5394212,55911842.4332,434999.268946,49073291.1703
629,30,11861.3798114,42643765.8838,317223.037436,49825653.0872
608,16,10905.0138917,41330304.9507,372065.448188,50068181.1678
636,37,4574.58461603,42726407.211,257582.068474,50815591.2888
611,31,8052.34694122,49679764.6177,236880.902604,50799674.136
702,44,5420.50000189,42755625.7993,207380.158542,50998208.5737
620,20,9487.03269062,50534232.935,250885.700708,50586286.6527
675,32,10649.2034653,38420293.9728,220529.213976,50740048.8092
606,27,8305.06215321,41859563.1927,230804.582967,50739116.83
672,28,10226.8265345,40843295.3789,298011.371262,50185721.3893
693,32,17831.4135059,41849766.0183,259613.552703,49819872.105
653,29,15661.2952488,46494719.8523,229855.492737,49762575.4183
666,31,17808.8282061,50010680.3419,225201.815663,49649498.9496
631,36,25540.4977606,49071783.5542,281330.586341,49716581.9959
639,30,32641.0104767,43207524.4537,266789.578577,50327948.8886
440,18,22036.4503502,41485461.9226,314836.543061,49749232.5793
593,22,19762.5396883,41859563.1927,237965.199533,50181380.0967
618,19,18610.1158588,38703578.6043,239945.672985,49866327.8111
699,23,18011.9639661,42112096.8929,269368.751259,50267167.7992
590,26,16292.764399,39327149.1218,270705.063007,50167490.3173
592,42,2352.07373818,54198191.061,227956.546201,50993877.323
589,26,6816.34682645,38271831.6347,245543.663941,50759474.478
594,22,27157.8092805,46116858.0652,204391.112212,49901414.0838
610,29,5707.58241872,33718294.4652,238804.242393,50923136.7346
557,27,14786.7439619,39045867.3669,188949.52035,50871069.8733
592,24,8367.66667923,39416275.6873,272512.502606,49997666.5026
694,23,42980.2785414,52025925.9895,279981.720365,49832870.0769
656,30,23899.4170563,54593674.5195,273449.698571,49778132.0966
598,33,8505.19139203,54593674.5195,270005.696905,50255610.9596
604,20,14264.8678204,48268186.606,278090.540616,49872634.8902
742,35,30587.3406144,61402361.2442,370117.331685,49716277.3732
635,26,19575.6231202,46804384.6958,294085.598001,49639121.8374
710,35,16747.365856,39979051.0975,225937.952882,50719161.852
604,27,8715.49450089,48330790.1249,254881.746089,50738776.1297
614,31,18255.3133067,41588361.378,273711.177952,49929800.5093
