n,hit,dist,nabla,sigma,hv
834,38,21397.9956339,42622306.6636,190233.538604,51051136.5341
945,48,13015.817545,49479512.7286,204132.5205,50607860.5873
1012,59,7807.20735908,50387281.7204,204158.001543,50825096.997
1037,40,17869.26718,41388279.8875,252182.003438,49990426.4694
874,48,4323.86770449,51511175.5423,176574.194602,51076865.6028
947,53,2989.87692476,39846345.3732,181531.175198,51058784.6831
985,61,2690.22382801,42004399.139,217832.382357,50962799.3322
553,24,12815.6779144,38804420.1846,373760.690194,49370254.8438
1128,56,3295.65000056,43090864.7902,201493.267145,51072227.1502
955,51,6120.90846254,54125377.9425,192120.951439,51065463.4277
937,45,7077.84943724,43598130.5892,214743.757777,50273157.8673
957,55,12032.5129102,46063520.4675,200466.565488,50029686.8894
680,30,21104.0043876,42755625.7993,274946.46908,49625074.8603
904,57,11922.6032265,49479512.7286,178027.680352,49988837.9229
1000,49,4411.93156124,47527246.5146,199742.097952,50995787.0825
1042,52,5260.22556432,42677626.6059,197282.466154,51072480.2656
1009,48,3331.02643065,40106375.8827,200595.730387,51002031.1924
1065,49,15957.115389,39156557.6267,241739.246625,49815537.7051
893,42,8394.11297199,51180508.4105,194918.394082,51063530.5392
1049,56,9570.62458515,42002533.6276,176299.564291,50330458.4178
1025,56,1915.05040154,46647396.1656,204811.527931,51076095.3299
999,55,14033.5261457,54200838.0344,240806.408396,50044787.3075
991,53,5129.31654828,44078914.8603,196150.803504,50589615.3946
1064,55,17123.1316627,48310748.0509,257468.133024,49905211.9536
831,43,9564.52777956,49468056.8723,239757.865051,50763011.4035
1034,43,20807.6521763,51456673.8206,237869.165659,49950919.5541
534,24,14684.6432174,48319546.4125,310236.123074,50068481.1822
1073,59,1080.12121244,42401353.6882,198790.525169,51132454.491
1004,51,5223.31274384,46844625.1506,185928.922198,50761986.3324
1016,30,26490.8382397,45986949.9267,244529.542364,49890741.2971
985,51,4911.67984699,39331499.6851,225708.403091,50138517.6053
1046,40,11510.1267626,43605251.1347,197326.154226,50544330.2943
977,55,6336.08421234,38813574.2941,206042.925446,51022038.9138
1017,56,4435.20504886,43388869.913,188929.322814,51068990.136
896,45,3162.70082459,46797909.2399,208423.317317,51003432.2009
964,54,3563.77586402,44617500.921,190226.705651,51021140.2912
1123,57,4161.68634791,49479512.7286,194192.380894,51136930.717
983,52,15026.1423619,37729151.8184,222848.735491,50606846.193
910,41,19273.0561426,44742214.3824,237913.898725,50282502.2035
1025,54,15034.68285,48201177.7042,235005.048696,50416288.5999
1033,59,3264.60283783,51501851.2378,206530.421872,51061815.7317
819,42,12075.1955613,45907107.0947,231970.534488,50671783.9377
1060,65,11207.4233137,42031257.1927,217050.402674,50664742.6502
1025,54,5331.59271674,43378675.4631,190430.866536,50795161.0518
931,44,12361.7292463,44731765.518,225679.861723,50711801.2378
1065,50,5836.69853044,46116858.0652,184225.00676,50993977.9813
1040,58,18985.7515926,46372484.0201,172205.110733,51077382.1057
951,49,17123.4485076,54138002.4273,229067.521396,50030130.172
1157,60,11722.3280771,42401353.6882,186815.75797,50970757.7635
915,60,4165.31507016,49479512.7286,193700.710294,50837691.4541
131,2,227452.360668,49369704.2642,678946.671648,48604739.9426
919,55,9362.9612769,42401353.6882,247695.02333,49467362.9364
1027,48,5306.35461129,51523112.2667,192980.843411,51028701.7069
511,31,9861.71597841,51951322.8892,271771.215788,50891647.361
847,39,3681.7695909,54461495.0031,219067.919028,51022358.7342
622,35,25584.9956517,48693619.3813,289035.792712,49533629.8516
421,18,35856.2142871,41509065.8368,285219.451832,50706912.1858
994,52,7402.77241656,37729151.8184,194685.680734,50904867.5274
953,58,19272.4421777,54667477.6077,225822.407777,51057234.8087
1001,46,3487.3206757,51523112.2667,219623.913077,51082413.9001
993,51,4011.43083376,39846345.3732,199856.306934,51025715.0456
730,35,21773.080468,49479512.7286,251347.193899,49334143.303
799,37,13521.9159671,49479512.7286,218200.475901,50469224.4737
1208,45,18588.4563788,41859563.1927,238382.839357,49956861.5621
963,43,3365.76126234,49479512.7286,219413.239687,50921667.7853
744,36,6903.61951328,42031257.1927,246146.966292,50880589.0597
713,21,30408.6767281,39223076.1534,262782.290245,49813443.9216
1067,58,2637.51428696,44078914.8603,190513.965759,51094849.2233
986,65,1896.25000031,42031257.1927,188796.352076,51118879.5447
847,48,13741.5955105,51523112.2667,257014.357516,49978309.9783
1003,48,27355.9074086,50707387.0514,202292.441571,51120745.6191
771,45,4594.63876817,44942198.3294,272451.483801,50773439.7892
1137,50,9799.22878357,41656237.7093,180647.781327,50901756.9062
1081,58,2820.1824596,46494719.8523,175931.93356,51025996.4522
903,40,7967.17094099,41849766.0183,174538.045293,50826679.4552
1004,59,3371.26259086,44942198.3294,195213.451464,51051048.2805
1140,55,5781.30605237,49468056.8723,205720.030724,50993882.3399
978,48,21345.2491931,43130412.3272,225632.630775,50087485.378
939,38,13642.0042921,39139389.6797,206260.060998,50605182.487
932,55,5110.74444486,40057580.5545,191999.165525,51095408.0885
1021,38,3664.47004733,51523112.2667,214052.961033,51040236.7368
1066,54,16479.2956822,46063520.4675,239969.239196,50094179.6924
1094,60,2239.9399302,51523112.2667,188895.172052,51130428.6022
1099,57,19841.5963319,49479512.7286,225199.33049,50272878.0649
799,41,7720.02564251,49479512.7286,214106.552004,50939588.7864
876,48,2570.74561711,44746357.415,196793.869686,51010448.0917
989,58,2671.98220687,41297684.7412,191448.208635,51044284.4236
963,56,7073.41007255,49691283.2068,222788.697691,50862359.971
963,39,22932.9510843,49479512.7286,237514.858196,49856076.4599
1054,52,18566.7453443,38813574.2941,222335.223402,49998558.5495
1080,56,2596.6515156,49479512.7286,205617.306637,50951195.6423
874,51,4335.06488739,46116858.0652,206756.164415,50880372.8074
1098,52,15879.3364822,42013649.1611,175558.274256,50078799.6629
538,15,23813.9560463,42600933.0416,306716.320523,49446176.802
1043,52,29549.1970181,48512592.2537,228549.773543,50061951.8666
939,59,1486.39051205,43758986.1053,173837.590826,51163513.162
912,53,2725.36900458,44860432.2233,188554.688194,50710904.5974
1075,57,3682.98214375,46106062.3261,190624.897758,51064857.0613
931,42,19084.9340692,40163860.2554,250816.743313,49845402.2767
