n,hit,dist,nabla,sigma,hv
1849,83,339.190751628,49479512.7286,169528.513718,51212599.2378
2147,87,465.606648425,49479512.7286,166190.348234,51136420.4615
1813,89,435.70540575,49479512.7286,165928.661635,51183192.9962
1768,82,427.546243247,48221134.471,170745.053991,51161451.0191
2038,89,321.356568459,49479512.7286,147698.487537,51215049.8692
1923,80,2891.57726038,50511896.3078,175598.565442,51134554.0943
616,26,6730.19500255,39301944.637,240205.479834,50757698.4394
2082,84,621.541310784,54390854.1828,172553.733221,51151063.9144
1983,83,2340.91876766,49479512.7286,179996.644963,51060206.7904
1954,89,408.189041125,49479512.7286,165300.957875,51214168.9388
1675,66,1834.94155948,54198191.061,182347.009253,51142944.4452
998,49,20386.2515002,49479512.7286,224703.894534,50105352.1351
1648,85,387.983155298,49468056.8723,169940.723669,51208869.4133
1185,61,1575.10309311,49479512.7286,187003.806281,51136454.6283
1921,92,287.60949931,46116858.0652,146004.645877,51206880.2628
2168,87,1284.12566886,49479512.7286,162901.929892,51194062.9243
2222,88,320.415300833,51523112.2667,149569.940559,51208202.9264
1777,87,509.691257514,54247090.4744,167217.246018,51198995.0876
1849,88,642.70509407,43042688.7154,164181.840914,51199418.0765
1923,78,12925.0226706,48330790.1249,179046.272026,50820971.0617
1952,78,6627.60683827,50511896.3078,184915.356674,50322661.5185
931,55,6065.39427775,43769207.3212,190351.006042,51049171.8263
2224,87,1276.42818584,46006068.2692,149406.182007,51207148.7782
1705,81,1972.16285739,49479512.7286,168973.406323,51168183.0555
1756,86,653.841666978,49479512.7286,170372.952949,51093866.9924
1674,75,5676.3304349,49479512.7286,159790.562758,50876584.2099
1626,81,7660.99734766,49479512.7286,185252.289574,50650873.994
1195,68,2407.13826453,49479512.7286,206736.147367,50980307.144
1359,63,8611.48598164,44271782.3984,184757.348781,50761159.1853
1727,87,1607.98910113,50511896.3078,149585.459592,51200094.3093
2134,85,586.333334599,46116858.0652,166932.044564,51169160.24
1734,74,2621.91317545,51523112.2667,180616.101838,50860492.4694
1846,75,12652.8756775,46116858.0652,210539.936651,50172448.0836
1930,89,705.879679397,46116858.0652,163884.34515,51201786.1868
1056,50,14571.688582,51511175.5423,257908.028606,50032638.7557
1764,81,1269.16185069,49479512.7286,173259.470086,51081857.9302
1595,83,2371.12702747,54138002.4273,147705.939077,51118488.7783
2136,87,2445.19354842,39096290.9797,163641.882105,51179471.5907
