n,hit,dist,nabla,sigma,hv
3205,94,1048.46134022,49479512.7286,144668.683208,51220035.4321
2092,75,2080.57317115,51523112.2667,184491.485301,51037072.855
1350,67,6364.11585396,43100937.6151,177992.136232,51111168.9464
1270,86,123.47206711,49479512.7286,166938.587103,51222154.3912
2129,96,74.020618566,49479512.7286,160026.476373,51225644.6286
2849,95,94.4473011944,51523112.2667,159785.175873,51224441.7902
2833,90,2773.63829792,49479512.7286,173600.733917,51168937.9697
2579,92,814.05866667,49479512.7286,164049.755783,51172332.4246
1912,70,3545.46061681,46494719.8523,174308.476557,51101831.8425
1152,76,4974.64306813,49479512.7286,181112.095392,50744827.7973
1107,61,14733.282488,51523112.2667,175318.638988,50770713.0926
3138,98,0.0,49479512.7286,159463.507409,51229112.5569
2891,94,344.370466416,54247090.4744,144727.791467,51218373.0585
1604,89,981.094995484,42031257.1927,161798.170288,51197018.9035
3385,96,77.4704370273,49479512.7286,144336.304672,51224946.5603
2511,92,293.617801407,51523112.2667,161161.149163,51211993.3054
1955,84,7739.07733396,51523112.2667,175207.457456,50897598.613
1342,55,3794.93818253,43378675.4631,192648.902156,50949058.0452
902,39,20847.9700397,49468056.8723,246626.581328,50207743.3347
3618,95,258.271318117,50511896.3078,144133.57858,51217526.2683
1418,76,16860.7284042,43608359.7798,202880.800765,50157947.4365
3525,97,57.1000000088,49479512.7286,159566.216486,51226284.0388
1309,89,622.590659361,49479512.7286,165271.418406,51216912.9636
2995,96,0.0,49479512.7286,144511.264182,51225412.1683
1009,64,4848.60317635,44031817.7016,181182.840234,51009723.9743
1321,74,12145.1510999,49479512.7286,184476.30254,50182407.4779
3748,97,120.498727825,49479512.7286,158969.172915,51225091.1011
1747,62,9053.4935078,51523112.2667,195778.631608,50956535.6956
1223,79,511.840116579,46006068.2692,170816.471237,51129749.4262
1674,64,2497.14864914,40067020.4556,197433.156134,50831509.3688
1737,90,618.310344865,41656237.7093,163279.227058,51199531.6233
3200,94,412.765625,49479512.7286,144957.330634,51223028.5413
2756,95,34.5260416676,49479512.7286,161208.184025,51226508.5387
1544,53,6919.04814915,49479512.7286,245859.677126,50351655.5767
1526,94,237.775457005,49479512.7286,161711.559483,51219651.47
2713,96,25.7467700268,49479512.7286,144668.878153,51225225.4471
3723,94,246.906250009,49479512.7286,144727.86936,51225775.736
1296,92,231.203166246,49479512.7286,162429.675488,51217547.0987
989,56,13603.0496902,49479512.7286,221827.18637,50617091.6816
3522,95,202.622108022,51523112.2667,159780.360517,51224379.5619
1774,84,1440.16714699,49479512.7286,181024.64167,50943362.3031
1750,95,151.728682314,49479512.7286,144564.159073,51224558.9673
949,55,3551.0000015,46116858.0652,186860.002838,51052629.589
1382,77,17015.8150864,49479512.7286,194967.142254,50173795.3589
2949,96,50.2010311382,50511896.3078,143951.45426,51222015.7749
1837,83,1644.17514127,49479512.7286,173830.613723,50980681.3937
2115,93,593.877984085,49479512.7286,147005.775428,51212026.3212
1525,65,4905.23529495,49479512.7286,191608.947164,50907086.0082
1957,60,1107.90845307,50511896.3078,188659.689369,51184501.2084
913,51,11236.8078313,49479512.7286,269072.12342,50051110.3562
3680,94,20.433862434,49479512.7286,146707.206158,51226450.2587
1606,93,80.9576719672,49479512.7286,162593.294994,51223830.124
1163,76,7750.83526023,49479512.7286,179831.792425,50806123.3882
1444,93,54.8664921632,49479512.7286,161628.676319,51225589.7081
1286,76,12563.0243906,49479512.7286,206148.003324,50168072.0768
1303,89,410.186813201,49479512.7286,166351.543132,51207411.2508
