n,hit,dist,nabla,sigma,hv
994,45,10964.9624088,46106062.3261,207859.064952,50879529.3111
877,48,18653.2211233,35160061.5655,196965.117462,50415945.8159
610,24,17202.5631596,44727624.4196,254694.620786,50531191.3134
975,55,25959.9900998,48457635.272,260298.704287,49813657.1315
557,22,12797.0909161,44031817.7016,252143.829577,50686744.724
1005,58,2010.82527993,41859563.1927,190402.573109,50894023.8596
964,51,15046.0429576,41374813.6215,233918.113641,49416311.2849
955,51,5733.1215695,49479512.7286,208481.869213,51013226.6805
947,47,17840.8543077,39543899.5005,183003.299174,50012678.1818
1110,53,4163.80496816,49459095.7293,194118.844419,50596191.7897
934,29,29463.8981199,43768542.7169,252572.217422,49575990.0769
1204,52,19107.7343771,42755625.7993,221106.163165,50123629.4263
926,51,4782.06201615,48221134.471,203935.0232,50852891.1352
1081,61,3434.12456922,51523112.2667,189206.639373,51045763.602
1135,62,1670.74490029,42401353.6882,169808.602164,51085276.9907
1000,52,9807.70134452,45300609.3563,241373.444817,50566751.4217
1027,58,1142.08988805,39846345.3732,199662.134063,51150833.9618
854,53,5007.72727415,43399458.086,195995.657212,50960112.6761
1069,59,12061.2262301,41859563.1927,201958.200143,50434655.5929
1008,61,1794.66071449,41384546.6863,206989.428699,50903342.4216
990,57,4853.60727418,42011596.2528,206064.949696,50678420.8788
725,32,10287.9631604,49479512.7286,257004.394987,50584090.9203
1014,55,13708.0772063,45970854.6531,204832.248407,51098422.4589
1040,56,5152.40344878,51523112.2667,180800.561161,50829467.4347
804,41,3024.33023273,39314939.1257,224295.1194,50979590.1254
1022,55,12880.6169501,46052731.9067,203758.635786,50796349.3543
820,41,5554.6901988,41384546.6863,199769.135713,50939751.7736
771,46,11568.0547481,43662130.1009,248828.690247,49669284.5508
1010,50,2705.32015863,49459095.7293,205466.107156,51027583.6564
923,52,15768.1237472,48221134.471,248920.627277,50139533.7184
832,39,7667.82553323,46006068.2692,214329.585156,50953960.3902
624,21,11797.9000033,43680184.4544,351376.208725,49312495.9197
962,59,5427.78853113,40321410.7067,235546.455594,50377860.8724
912,60,1423.36900422,40843295.3789,229810.252159,50941543.7324
1069,50,8739.33576695,49479512.7286,198100.459184,51015846.8555
1075,63,1153.02877953,40439784.0952,191202.428365,51148875.8951
1036,53,3716.26153924,49468056.8723,195367.918294,51099480.1197
923,29,22374.3452928,42778461.6067,237932.156526,50393799.2484
1011,37,4616.90988099,41913691.0219,209244.51634,50949188.9309
1077,53,13015.0383298,51456673.8206,181511.960382,50004080.1039
1035,50,10927.6254579,49479512.7286,215066.902974,50430011.3822
975,58,3986.76678558,41761834.8204,198572.857084,50939461.2357
1030,56,7534.79929853,42130187.3272,205111.329799,50240794.0392
681,37,16027.7106575,41384546.6863,269928.077069,49159146.4579
1126,48,4925.89338607,49691283.2068,200426.435689,50694165.26
